Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
مرکزي,,,,,455866,1429475,725751,703724
مرکزي,اراک,,,,188180,591756,300245,291511
مرکزي,اراک,مرکزي,,,179582,565357,286833,278524
مرکزي,اراک,مرکزي,امان آباد,,1410,4108,2095,2013
مرکزي,اراک,مرکزي,امان آباد,امان آباد,685,2135,1112,1023
مرکزي,اراک,مرکزي,امان آباد,انجدان,118,296,144,152
مرکزي,اراک,مرکزي,امان آباد,حسن آباد,40,97,52,45
مرکزي,اراک,مرکزي,امان آباد,رودباران,31,93,48,45
مرکزي,اراک,مرکزي,امان آباد,زالو,0,0,0,0
مرکزي,اراک,مرکزي,امان آباد,ساق,14,23,11,12
مرکزي,اراک,مرکزي,امان آباد,کاروانسرا,18,45,27,18
مرکزي,اراک,مرکزي,امان آباد,گيلي,58,122,53,69
مرکزي,اراک,مرکزي,امان آباد,جمالکه,5,13,8,5
مرکزي,اراک,مرکزي,امان آباد,کودزر,151,339,153,186
مرکزي,اراک,مرکزي,امان آباد,انجيرک,90,278,140,138
مرکزي,اراک,مرکزي,امان آباد,سوار آباد,200,667,347,320
مرکزي,اراک,مرکزي,اميريه,,2367,7379,3718,3661
مرکزي,اراک,مرکزي,اميريه,رباط ميربرات,*,*,*,*
مرکزي,اراک,مرکزي,اميريه,شمس آباد,80,264,133,131
مرکزي,اراک,مرکزي,اميريه,طرلان,144,407,182,225
مرکزي,اراک,مرکزي,اميريه,قزليجه,67,194,100,94
مرکزي,اراک,مرکزي,اميريه,هزاوه,438,1184,597,587
مرکزي,اراک,مرکزي,اميريه,داين,82,269,138,131
مرکزي,اراک,مرکزي,اميريه,مهر آباد,135,402,197,205
مرکزي,اراک,مرکزي,اميريه,تيمور آباد,*,*,*,*
مرکزي,اراک,مرکزي,اميريه,دربند مرزيجران,0,0,0,0
مرکزي,اراک,مرکزي,اميريه,ساقي,148,507,263,244
مرکزي,اراک,مرکزي,اميريه,پادگان امام علي ع,0,0,0,0
مرکزي,اراک,مرکزي,اميريه,مرزيجران,1270,4143,2104,2039
مرکزي,اراک,مرکزي,داودآباد,,906,2748,1359,1389
مرکزي,اراک,مرکزي,داودآباد,تکين آباد,0,0,0,0
مرکزي,اراک,مرکزي,داودآباد,خوشدون,96,281,136,145
مرکزي,اراک,مرکزي,داودآباد,ويسمه,199,567,273,294
مرکزي,اراک,مرکزي,داودآباد,شمس آباد,16,45,25,20
مرکزي,اراک,مرکزي,داودآباد,محمودآباد,0,0,0,0
مرکزي,اراک,مرکزي,داودآباد,نجم آباد,0,0,0,0
مرکزي,اراک,مرکزي,داودآباد,حسن آباد,0,0,0,0
مرکزي,اراک,مرکزي,داودآباد,زرينه,*,*,*,*
مرکزي,اراک,مرکزي,داودآباد,عباس آباد,*,*,*,*
مرکزي,اراک,مرکزي,داودآباد,ميره,0,0,0,0
مرکزي,اراک,مرکزي,داودآباد,ميرآباد,0,0,0,0
مرکزي,اراک,مرکزي,داودآباد,ده نمک,592,1846,919,927
مرکزي,اراک,مرکزي,سده,,2773,8103,4053,4050
مرکزي,اراک,مرکزي,سده,گوار,879,2578,1311,1267
مرکزي,اراک,مرکزي,سده,عقيل آباد,443,1338,647,691
مرکزي,اراک,مرکزي,سده,ايستگاه سمنگان,0,0,0,0
