Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
گيلان,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"851,382","2,530,696","1,267,597","1,263,099"
گيلان,آستارا,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"28,742","91,257","45,858","45,399"
گيلان,آستارا,مركزئ,                                                                                                    ,                                                                                                                                                                                                        ,"21,920","68,443","34,433","34,010"
گيلان,آستارا,مركزئ,حيران,                                                                                                                                                                                                        ,866,"2,718","1,399","1,319"
گيلان,آستارا,مركزئ,حيران,باسكم چال,4,10,4,6
گيلان,آستارا,مركزئ,حيران,دميراوغلي كش,75,237,117,120
گيلان,آستارا,مركزئ,حيران,زره ژيه,11,33,13,20
گيلان,آستارا,مركزئ,حيران,شاغلا,6,13,6,7
گيلان,آستارا,مركزئ,حيران,صيادلر,83,275,151,124
گيلان,آستارا,مركزئ,حيران,گودي اولر,5,17,11,6
گيلان,آستارا,مركزئ,حيران,مشند,168,518,261,257
گيلان,آستارا,مركزئ,حيران,هولستون,16,53,26,27
گيلان,آستارا,مركزئ,حيران,هوژيه,*         ,*         ,*         ,*         
گيلان,آستارا,مركزئ,حيران,بهارستان,31,103,60,43
گيلان,آستارا,مركزئ,حيران,لاتون,0,0,0,0
گيلان,آستارا,مركزئ,حيران,آق مسجد,19,55,29,26
گيلان,آستارا,مركزئ,حيران,چملر,58,182,95,87
گيلان,آستارا,مركزئ,حيران,حاجي اميرونه بين,72,233,120,113
گيلان,آستارا,مركزئ,حيران,حيران سفلي,25,67,33,34
گيلان,آستارا,مركزئ,حيران,حيران عليا,43,128,72,56
گيلان,آستارا,مركزئ,حيران,حيران وسطي,23,84,36,48
گيلان,آستارا,مركزئ,حيران,دگرمانكشي,39,110,53,57
گيلان,آستارا,مركزئ,حيران,سيج,49,156,84,72
گيلان,آستارا,مركزئ,حيران,فندق پشته,6,25,12,13
گيلان,آستارا,مركزئ,حيران,گيلاده,132,416,215,201
گيلان,آستارا,مركزئ,حيران,مومبي,0,0,0,0
گيلان,آستارا,مركزئ,حيران,ميناهوني,0,0,0,0
گيلان,آستارا,مركزئ,حيران,داش ديبي,0,0,0,0
گيلان,آستارا,مركزئ,ويرموني,                                                                                                                                                                                                        ,"4,358","14,146","7,161","6,985"
گيلان,آستارا,مركزئ,ويرموني,خشکه دهنه,519,"1,680",856,824
گيلان,آستارا,مركزئ,ويرموني,باغچه سرا,515,"1,567",805,762
گيلان,آستارا,مركزئ,ويرموني,بيجاربين,222,722,364,358
گيلان,آستارا,مركزئ,ويرموني,شيخ علي محله,27,79,42,37
گيلان,آستارا,مركزئ,ويرموني,قلعه,131,404,221,183
گيلان,آستارا,مركزئ,ويرموني,عنبران محله,639,"2,088","1,047","1,041"
گيلان,آستارا,مركزئ,ويرموني,بي بي يانلو,10,40,16,24
گيلان,آستارا,مركزئ,ويرموني,شونده چولا,4,10,5,5
گيلان,آستارا,مركزئ,ويرموني,شيخ محله,76,265,140,125
گيلان,آستارا,مركزئ,ويرموني,عسکرآباد,51,166,92,74
گيلان,آستارا,مركزئ,ويرموني,كشفي,27,96,47,49
گيلان,آستارا,مركزئ,ويرموني,ترك محله,0,0,0,0
گيلان,آستارا,مركزئ,ويرموني,جبرئيل محله,192,635,314,321
گيلان,آستارا,مركزئ,ويرموني,خانه هاي آسياب,93,326,159,167
گيلان,آستارا,مركزئ,ويرموني,سوژايه,0,0,0,0
گيلان,آستارا,مركزئ,ويرموني,شونان,10,38,17,21
گيلان,آستارا,مركزئ,ويرموني,عوض لرصيادلر,23,77,40,37
گيلان,آستارا,مركزئ,ويرموني,لميرمحله,138,456,233,223
گيلان,آستارا,مركزئ,ويرموني,هردشت,0,0,0,0
گيلان,آستارا,مركزئ,ويرموني,شاطارود,0,0,0,0
گيلان,آستارا,مركزئ,ويرموني,ويرموني,758,"2,440","1,218","1,222"
گيلان,آستارا,مركزئ,ويرموني,عباس آباد,508,"1,657",826,831
گيلان,آستارا,مركزئ,ويرموني,تله خان,25,88,41,47
گيلان,آستارا,مركزئ,ويرموني,دربند,106,334,174,160
