Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
مازندران,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"1,084,798","3,283,582","1,653,998","1,629,584"
مازندران,آمل,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"133,034","401,639","202,502","199,137"
مازندران,آمل,لاريجان,                                                                                                    ,                                                                                                                                                                                                        ,"3,135","8,684","4,531","4,153"
مازندران,آمل,لاريجان,بالالاريجان,                                                                                                                                                                                                        ,"1,398","3,746","1,982","1,764"
مازندران,آمل,لاريجان,بالالاريجان,پلور,151,302,192,110
مازندران,آمل,لاريجان,بالالاريجان,سدلار,0,0,0,0
مازندران,آمل,لاريجان,بالالاريجان,معدن پوكه قرقه,0,0,0,0
مازندران,آمل,لاريجان,بالالاريجان,شنگلده,49,137,70,67
مازندران,آمل,لاريجان,بالالاريجان,اب گرم,104,262,141,121
مازندران,آمل,لاريجان,بالالاريجان,اميراباد,17,65,36,29
مازندران,آمل,لاريجان,بالالاريجان,انهه,29,88,46,42
مازندران,آمل,لاريجان,بالالاريجان,كنارانجام,21,50,28,22
مازندران,آمل,لاريجان,بالالاريجان,كندلو,43,105,50,55
مازندران,آمل,لاريجان,بالالاريجان,گرنا,61,184,94,90
مازندران,آمل,لاريجان,بالالاريجان,گزانه,85,246,128,118
مازندران,آمل,لاريجان,بالالاريجان,گيلاس,26,77,35,42
مازندران,آمل,لاريجان,بالالاريجان,لزيرك,*         ,*         ,*         ,*         
مازندران,آمل,لاريجان,بالالاريجان,ملار,5,9,5,4
مازندران,آمل,لاريجان,بالالاريجان,پلمو ن,19,42,22,20
مازندران,آمل,لاريجان,بالالاريجان,نياك,61,166,83,83
مازندران,آمل,لاريجان,بالالاريجان,فيره,16,33,16,17
مازندران,آمل,لاريجان,بالالاريجان,شهرك صنعتي,4,8,5,3
مازندران,آمل,لاريجان,بالالاريجان,اخا,60,173,92,81
مازندران,آمل,لاريجان,بالالاريجان,ترا,36,93,46,47
مازندران,آمل,لاريجان,بالالاريجان,دينان,31,94,35,59
مازندران,آمل,لاريجان,بالالاريجان,شاهاندشت,31,69,33,36
مازندران,آمل,لاريجان,بالالاريجان,شمس اباد,35,86,42,44
مازندران,آمل,لاريجان,بالالاريجان,گل پاشا,29,80,43,37
مازندران,آمل,لاريجان,بالالاريجان,لارين,12,38,20,18
مازندران,آمل,لاريجان,بالالاريجان,نهر,16,45,24,21
مازندران,آمل,لاريجان,بالالاريجان,وانا,73,231,130,101
مازندران,آمل,لاريجان,بالالاريجان,هاره,35,103,54,49
مازندران,آمل,لاريجان,بالالاريجان,معدن ذغال سنگ,0,0,0,0
مازندران,آمل,لاريجان,بالالاريجان,اخازير,12,36,18,18
مازندران,آمل,لاريجان,بالالاريجان,اب اسك,158,454,238,216
مازندران,آمل,لاريجان,بالالاريجان,ايرا,29,69,36,33
مازندران,آمل,لاريجان,بالالاريجان,زيار,22,62,35,27
مازندران,آمل,لاريجان,بالالاريجان,كتل امامزاده هاشم,0,0,0,0
مازندران,آمل,لاريجان,بالالاريجان,لاسم,76,199,106,93
مازندران,آمل,لاريجان,بالالاريجان,نوا,24,51,24,27
مازندران,آمل,لاريجان,بالالاريجان,عباس اباد,0,0,0,0
مازندران,آمل,لاريجان,بالالاريجان,قلعه دختر,7,20,8,12
مازندران,آمل,لاريجان,بالالاريجان,مرغ,0,0,0,0
مازندران,آمل,لاريجان,بالالاريجان,افسانه سرا,0,0,0,0
مازندران,آمل,لاريجان,بالالاريجان,اردوگاه تيپ 65 ويژه نيروي هوا برد,*         ,*         ,*         ,*         
مازندران,آمل,لاريجان,بالالاريجان,پروانه,0,0,0,0
مازندران,آمل,لاريجان,بالالاريجان,کمپ سد لار,18,50,32,18
مازندران,آمل,لاريجان,لاريجان سفلي,                                                                                                                                                                                                        ,"1,282","3,637","1,903","1,734"
مازندران,آمل,لاريجان,لاريجان سفلي,اهن سر,55,154,84,70
مازندران,آمل,لاريجان,لاريجان سفلي,علي اباد,0,0,0,0
مازندران,آمل,لاريجان,لاريجان سفلي,مريجان,*         ,*         ,*         ,*         
مازندران,آمل,لاريجان,لاريجان سفلي,پنجاب,83,231,124,107
مازندران,آمل,لاريجان,لاريجان سفلي,كهرود,44,133,70,63
مازندران,آمل,لاريجان,لاريجان سفلي,تيران,11,26,13,13
مازندران,آمل,لاريجان,لاريجان سفلي,اطاق سرا,11,30,14,16
مازندران,آمل,لاريجان,لاريجان سفلي,امره,18,45,22,23
مازندران,آمل,لاريجان,لاريجان سفلي,سوا,42,94,47,47
مازندران,آمل,لاريجان,لاريجان سفلي,شيخ محله,36,114,56,58
مازندران,آمل,لاريجان,لاريجان سفلي,سرخ پل,0,0,0,0
مازندران,آمل,لاريجان,لاريجان سفلي,قلاپشت,0,0,0,0
مازندران,آمل,لاريجان,لاريجان سفلي,گيلاس,*         ,*         ,*         ,*         
مازندران,آمل,لاريجان,لاريجان سفلي,لهر,30,83,48,35
مازندران,آمل,لاريجان,لاريجان سفلي,پلريه,37,110,49,61
مازندران,آمل,لاريجان,لاريجان سفلي,دره كنار,5,13,8,5
مازندران,آمل,لاريجان,لاريجان سفلي,ديوران,44,113,53,60
مازندران,آمل,لاريجان,لاريجان سفلي,عبدالمناف,38,111,57,54
مازندران,آمل,لاريجان,لاريجان سفلي,كلري,27,73,37,36
مازندران,آمل,لاريجان,لاريجان سفلي,نسل,0,0,0,0
مازندران,آمل,لاريجان,لاريجان سفلي,نمار,71,211,110,101
مازندران,آمل,لاريجان,لاريجان سفلي,فيس,0,0,0,0
مازندران,آمل,لاريجان,لاريجان سفلي,كرچالك,0,0,0,0
مازندران,آمل,لاريجان,لاريجان سفلي,دريوك,0,0,0,0
مازندران,آمل,لاريجان,لاريجان سفلي,چمه بن,0,0,0,0
مازندران,آمل,لاريجان,لاريجان سفلي,كفا,22,60,33,27
مازندران,آمل,لاريجان,لاريجان سفلي,نوسر,142,399,207,192
مازندران,آمل,لاريجان,لاريجان سفلي,حاجي دلا,24,72,33,39
مازندران,آمل,لاريجان,لاريجان سفلي,رزون,8,16,8,8
مازندران,آمل,لاريجان,لاريجان سفلي,كيان,*         ,*         ,*         ,*         
مازندران,آمل,لاريجان,لاريجان سفلي,ميان ده,15,43,21,22
مازندران,آمل,لاريجان,لاريجان سفلي,ناندل,162,429,218,211
