Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
آذربايجان شرقي,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"1,223,028","3,909,652","1,989,400","1,920,252"
آذربايجان شرقي,اهر,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"46,202","154,530","77,756","76,774"
آذربايجان شرقي,اهر,مرکزي,                                                                                                    ,                                                                                                                                                                                                        ,"40,048","133,829","67,245","66,584"
آذربايجان شرقي,اهر,مرکزي,آذغان,                                                                                                                                                                                                        ,"1,901","6,204","3,179","3,025"
آذربايجان شرقي,اهر,مرکزي,آذغان,اورنگ,91,308,155,153
آذربايجان شرقي,اهر,مرکزي,آذغان,تازه کندچلان,0,0,0,0
آذربايجان شرقي,اهر,مرکزي,آذغان,چلان,*         ,*         ,*         ,*         
آذربايجان شرقي,اهر,مرکزي,آذغان,دغليان پايين,43,135,68,67
آذربايجان شرقي,اهر,مرکزي,آذغان,دغليان بالا,80,283,143,140
آذربايجان شرقي,اهر,مرکزي,آذغان,کسانق,146,411,205,206
آذربايجان شرقي,اهر,مرکزي,آذغان,محموداباد,0,0,0,0
آذربايجان شرقي,اهر,مرکزي,آذغان,هلان,14,46,22,24
آذربايجان شرقي,اهر,مرکزي,آذغان,اقاکندي,17,58,32,26
آذربايجان شرقي,اهر,مرکزي,آذغان,دوپيق,104,345,174,171
آذربايجان شرقي,اهر,مرکزي,آذغان,رشتابادجديد,7,22,13,9
آذربايجان شرقي,اهر,مرکزي,آذغان,رشتابادقديم,160,525,280,245
آذربايجان شرقي,اهر,مرکزي,آذغان,کنگل اباد,121,416,207,209
آذربايجان شرقي,اهر,مرکزي,آذغان,ارپاليق,6,15,9,6
آذربايجان شرقي,اهر,مرکزي,آذغان,سراجلو /سوروجر/,111,375,206,169
آذربايجان شرقي,اهر,مرکزي,آذغان,شيخ احمد,11,48,23,25
آذربايجان شرقي,اهر,مرکزي,آذغان,ابريق,61,191,84,107
آذربايجان شرقي,اهر,مرکزي,آذغان,ابللو,35,102,51,51
آذربايجان شرقي,اهر,مرکزي,آذغان,تازه کندمسقران,86,265,134,131
آذربايجان شرقي,اهر,مرکزي,آذغان,زنگ ملک,6,17,10,7
آذربايجان شرقي,اهر,مرکزي,آذغان,گلوجه ابللو,22,70,37,33
آذربايجان شرقي,اهر,مرکزي,آذغان,نهار,54,173,93,80
آذربايجان شرقي,اهر,مرکزي,آذغان,لامان,0,0,0,0
آذربايجان شرقي,اهر,مرکزي,آذغان,اذغان,346,"1,011",516,495
آذربايجان شرقي,اهر,مرکزي,آذغان,عليرضاچاي,56,216,125,91
آذربايجان شرقي,اهر,مرکزي,آذغان,برمس,49,182,91,91
آذربايجان شرقي,اهر,مرکزي,آذغان,رواسجان,273,984,498,486
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,                                                                                                                                                                                                        ,"1,318","4,407","2,144","2,263"
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,انجرد,101,366,186,180
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,جوبند,66,193,99,94
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,زنداباد,298,975,488,487
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,صومعه,26,77,35,42
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,بينق,8,25,12,13
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,پسته بيگ لو,53,175,81,94
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,زگليک سفلي,25,67,30,37
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,شيرين درق,44,174,83,91
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,قلعه ملک,21,69,33,36
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,قورشاقلو,6,21,9,12
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,کوسالار,22,76,39,37
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,ونه اباد,37,127,61,66
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,ياغ بستلو,18,64,30,34
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,يخفروزان,128,363,168,195
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,عليرضاکندي,0,0,0,0
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,جوان شيخ,4,16,11,5
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,چوبانلار,20,74,34,40
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,حاجي علي بيگ کندي,15,46,22,24
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,زگليک عليا,15,58,26,32
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,قلندر,179,563,276,287
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,کردلقان,44,162,71,91
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,گاودل,28,105,54,51
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,گنداب,0,0,0,0
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,مزرعه مزارع,19,67,31,36
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,مصطفي چاي,28,94,42,52
آذربايجان شرقي,اهر,مرکزي,اوچ هاچا,معدن سنگ مزارع,0,0,0,0
