Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
آذربايجان غربي,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"935,956","3,265,219","1,658,319","1,606,900"
آذربايجان غربي,اروميه,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"304,306","1,040,565","527,278","513,287"
آذربايجان غربي,اروميه,انزل,                                                                                                    ,                                                                                                                                                                                                        ,"6,825","25,599","13,825","11,774"
آذربايجان غربي,اروميه,انزل,انزل جنوبي,                                                                                                                                                                                                        ,"5,076","20,560","11,315","9,245"
آذربايجان غربي,اروميه,انزل,انزل جنوبي,بلارغو,70,282,136,146
آذربايجان غربي,اروميه,انزل,انزل جنوبي,حاجي بايرام,51,169,89,80
آذربايجان غربي,اروميه,انزل,انزل جنوبي,خرم اباد,63,239,117,122
آذربايجان غربي,اروميه,انزل,انزل جنوبي,شريفاباد,32,132,67,65
آذربايجان غربي,اروميه,انزل,انزل جنوبي,قهرمان,27,100,50,50
آذربايجان غربي,اروميه,انزل,انزل جنوبي,محمودان,0,0,0,0
آذربايجان غربي,اروميه,انزل,انزل جنوبي,علي كان,82,287,141,146
آذربايجان غربي,اروميه,انزل,انزل جنوبي,بهله,171,683,342,341
آذربايجان غربي,اروميه,انزل,انزل جنوبي,عمرآباد,20,72,34,38
آذربايجان غربي,اروميه,انزل,انزل جنوبي,زنگ آباد,46,200,98,102
آذربايجان غربي,اروميه,انزل,انزل جنوبي,سنجيليك,28,108,51,57
آذربايجان غربي,اروميه,انزل,انزل جنوبي,قويوجق,12,48,20,28
آذربايجان غربي,اروميه,انزل,انزل جنوبي,كاسب,49,209,116,93
آذربايجان غربي,اروميه,انزل,انزل جنوبي,قولنجي,"1,566","5,192","2,658","2,534"
آذربايجان غربي,اروميه,انزل,انزل جنوبي,گولان,302,"1,155",604,551
آذربايجان غربي,اروميه,انزل,انزل جنوبي,دلادر,105,496,234,262
آذربايجان غربي,اروميه,انزل,انزل جنوبي,شيركاني,12,44,22,22
آذربايجان غربي,اروميه,انزل,انزل جنوبي,كاني شوريك,14,62,28,34
آذربايجان غربي,اروميه,انزل,انزل جنوبي,كوره عليا,30,128,66,62
آذربايجان غربي,اروميه,انزل,انزل جنوبي,گلانيك سفلي,28,106,55,51
آذربايجان غربي,اروميه,انزل,انزل جنوبي,گلانيك  عليا,14,35,18,17
آذربايجان غربي,اروميه,انزل,انزل جنوبي,مشيك,36,158,81,77
آذربايجان غربي,اروميه,انزل,انزل جنوبي,نورالدين اباد,20,76,35,41
آذربايجان غربي,اروميه,انزل,انزل جنوبي,پيرگل,49,210,94,116
