Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
کرمانشاه,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"576,861","1,952,434","988,015","964,419"
کرمانشاه,اسلام آبادغرب,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"40,911","140,876","71,369","69,507"
کرمانشاه,اسلام آبادغرب,حميل,                                                                                                    ,                                                                                                                                                                                                        ,"4,747","15,912","7,996","7,916"
کرمانشاه,اسلام آبادغرب,حميل,منصوري,                                                                                                                                                                                                        ,"1,166","3,537","1,827","1,710"
کرمانشاه,اسلام آبادغرب,حميل,منصوري,چشمه کبود,52,174,93,81
کرمانشاه,اسلام آبادغرب,حميل,منصوري,دواردرميان عليا,0,0,0,0
کرمانشاه,اسلام آبادغرب,حميل,منصوري,مزرعه چشمه کبوداعظم,0,0,0,0
کرمانشاه,اسلام آبادغرب,حميل,منصوري,ميان چقا,16,52,31,21
کرمانشاه,اسلام آبادغرب,حميل,منصوري,امامزاده حسن,0,0,0,0
کرمانشاه,اسلام آبادغرب,حميل,منصوري,چهارمله سفلي,39,111,51,60
کرمانشاه,اسلام آبادغرب,حميل,منصوري,چهارمله عليا,56,158,71,87
کرمانشاه,اسلام آبادغرب,حميل,منصوري,روتوند,23,84,43,41
کرمانشاه,اسلام آبادغرب,حميل,منصوري,مزرعه پرويز,0,0,0,0
کرمانشاه,اسلام آبادغرب,حميل,منصوري,مزرعه سوليجه,0,0,0,0
کرمانشاه,اسلام آبادغرب,حميل,منصوري,مزرعه شيخي,0,0,0,0
کرمانشاه,اسلام آبادغرب,حميل,منصوري,مومنايي,101,326,174,152
کرمانشاه,اسلام آبادغرب,حميل,منصوري,کمانگير,16,60,28,32
کرمانشاه,اسلام آبادغرب,حميل,منصوري,مزرعه هزارچشمه,0,0,0,0
کرمانشاه,اسلام آبادغرب,حميل,منصوري,زعفران سفلي,14,35,23,12
کرمانشاه,اسلام آبادغرب,حميل,منصوري,زعفران عليا,117,373,195,178
کرمانشاه,اسلام آبادغرب,حميل,منصوري,قلاجي,6,23,15,8
کرمانشاه,اسلام آبادغرب,حميل,منصوري,بان درعليا,61,175,89,86
کرمانشاه,اسلام آبادغرب,حميل,منصوري,بان هزارسفلي,0,0,0,0
کرمانشاه,اسلام آبادغرب,حميل,منصوري,بان هزارعليا,0,0,0,0
کرمانشاه,اسلام آبادغرب,حميل,منصوري,داربيدمنصوري,135,410,206,204
کرمانشاه,اسلام آبادغرب,حميل,منصوري,دواب,0,0,0,0
کرمانشاه,اسلام آبادغرب,حميل,منصوري,دواردرميان سفلي,39,102,62,40
کرمانشاه,اسلام آبادغرب,حميل,منصوري,سرخه خاني,27,69,36,33
کرمانشاه,اسلام آبادغرب,حميل,منصوري,سياه پله سفلي,6,15,5,10
کرمانشاه,اسلام آبادغرب,حميل,منصوري,سياه پله عليا,0,0,0,0
کرمانشاه,اسلام آبادغرب,حميل,منصوري,شغل بهاراب,8,27,14,13
کرمانشاه,اسلام آبادغرب,حميل,منصوري,کلک جعفر,8,23,15,8
کرمانشاه,اسلام آبادغرب,حميل,منصوري,کمرسوراخ,37,103,47,56
کرمانشاه,اسلام آبادغرب,حميل,منصوري,ميان تنگ منصوري,34,89,40,49
کرمانشاه,اسلام آبادغرب,حميل,منصوري,باندرسفلي,30,71,37,34
کرمانشاه,اسلام آبادغرب,حميل,منصوري,خوکاب م نصوري,0,0,0,0
کرمانشاه,اسلام آبادغرب,حميل,منصوري,سربکوه,15,50,28,22
کرمانشاه,اسلام آبادغرب,حميل,منصوري,گاوراني,162,513,269,244
کرمانشاه,اسلام آبادغرب,حميل,منصوري,چشمه سنگي,164,494,255,239
کرمانشاه,اسلام آبادغرب,حميل,هرسم,                                                                                                                                                                                                        ,"1,697","5,767","2,900","2,867"
کرمانشاه,اسلام آبادغرب,حميل,هرسم,خمارتاج,50,155,79,76
کرمانشاه,اسلام آبادغرب,حميل,هرسم,گراوند,263,845,438,407
کرمانشاه,اسلام آبادغرب,حميل,هرسم,کندهر,313,"1,089",556,533
کرمانشاه,اسلام آبادغرب,حميل,هرسم,سراب هرسم,116,383,184,199
کرمانشاه,اسلام آبادغرب,حميل,هرسم,قلعه هرسم,111,368,173,195
کرمانشاه,اسلام آبادغرب,حميل,هرسم,بازگه,29,85,43,42
کرمانشاه,اسلام آبادغرب,حميل,هرسم,باقراباد,19,56,27,29
کرمانشاه,اسلام آبادغرب,حميل,هرسم,تازه اباد,21,65,36,29
کرمانشاه,اسلام آبادغرب,حميل,هرسم,ري بلک سفلي,29,100,51,49
کرمانشاه,اسلام آبادغرب,حميل,هرسم,علي ابادديزگران,47,186,86,100
کرمانشاه,اسلام آبادغرب,حميل,هرسم,گردي,20,72,31,41
کرمانشاه,اسلام آبادغرب,حميل,هرسم,منوري,23,85,47,38
کرمانشاه,اسلام آبادغرب,حميل,هرسم,ويسگه,35,132,62,70
کرمانشاه,اسلام آبادغرب,حميل,هرسم,رضااباد,0,0,0,0
کرمانشاه,اسلام آبادغرب,حميل,هرسم,ري بلک عليا,44,151,72,79
کرمانشاه,اسلام آبادغرب,حميل,هرسم,شادبلاغ,75,280,143,137
کرمانشاه,اسلام آبادغرب,حميل,هرسم,قلعه ترک سفلي,24,77,34,43
کرمانشاه,اسلام آبادغرب,حميل,هرسم,قلعه ترک عليا,38,146,71,75
کرمانشاه,اسلام آبادغرب,حميل,هرسم,مله هار,69,251,136,115
کرمانشاه,اسلام آبادغرب,حميل,هرسم,هشت جفته,26,84,43,41
کرمانشاه,اسلام آبادغرب,حميل,هرسم,باريکه نظام عليا,108,358,180,178
کرمانشاه,اسلام آبادغرب,حميل,هرسم,تولابي,116,371,195,176
کرمانشاه,اسلام آبادغرب,حميل,هرسم,چهارده جفته,78,276,136,140
کرمانشاه,اسلام آبادغرب,حميل,هرسم,باريکه صادقي,43,152,77,75
کرمانشاه,اسلام آبادغرب,حميل,حميل,                                                                                                                                                                                                        ,"1,507","5,291","2,626","2,665"
کرمانشاه,اسلام آبادغرب,حميل,حميل,خپگه,142,472,240,232
کرمانشاه,اسلام آبادغرب,حميل,حميل,سراب شوهان,45,149,76,73
کرمانشاه,اسلام آبادغرب,حميل,حميل,شوهان عليا,11,37,21,16
کرمانشاه,اسلام آبادغرب,حميل,حميل,شوهان سفلي,44,144,69,75
کرمانشاه,اسلام آبادغرب,حميل,حميل,توه سرخک سفلي,174,611,287,324
کرمانشاه,اسلام آبادغرب,حميل,حميل,توه سرخک عليا,39,141,68,73
کرمانشاه,اسلام آبادغرب,حميل,حميل,توه سرخک نسار,35,132,68,64
کرمانشاه,اسلام آبادغرب,حميل,حميل,مله سرخ,71,251,129,122
کرمانشاه,اسلام آبادغرب,حميل,حميل,پلنگرد,160,530,268,262
کرمانشاه,اسلام آبادغرب,حميل,حميل,توميانه,62,196,94,102
کرمانشاه,اسلام آبادغرب,حميل,حميل,سراب ميله سر,86,326,171,155
کرمانشاه,اسلام آبادغرب,حميل,حميل,ظهراب,*         ,*         ,*         ,*         
کرمانشاه,اسلام آبادغرب,حميل,حميل,مزرعه توه سرخک سيدي,0,0,0,0
کرمانشاه,اسلام آبادغرب,حميل,حميل,تازه آبادبدرگرد,46,190,92,98
کرمانشاه,اسلام آبادغرب,حميل,حميل,قوچمي,86,325,168,157
کرمانشاه,اسلام آبادغرب,حميل,حميل,ميله سر,182,614,306,308
کرمانشاه,اسلام آبادغرب,حميل,حميل,چقاجنگه سفلي,44,151,75,76
کرمانشاه,اسلام آبادغرب,حميل,حميل,چقاجنگه عليا,78,270,133,137
کرمانشاه,اسلام آبادغرب,حميل,حميل,گردنگاه قوچمي,182,686,333,353
کرمانشاه,اسلام آبادغرب,حميل,حميل,بدره گردسليمي,17,57,23,34
کرمانشاه,اسلام آبادغرب,حميل,حميل,                                                                                                                                                                                                        ,377,"1,317",643,674
کرمانشاه,اسلام آبادغرب,مرکزي,                                                                                                    ,                                                                                                                                                                                                        ,"35,993","124,304","62,994","61,310"
کرمانشاه,اسلام آبادغرب,مرکزي,حسن آباد,                                                                                                                                                                                                        ,"2,477","8,783","4,419","4,364"
کرمانشاه,اسلام آبادغرب,مرکزي,حسن آباد,ده کريشه,156,598,326,272
کرمانشاه,اسلام آبادغرب,مرکزي,حسن آباد,مزرعه قلندرلکي,*         ,*         ,*         ,*         
کرمانشاه,اسلام آبادغرب,مرکزي,حسن آباد,سياه خور,140,490,248,242
