Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
خوزستان,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"1,280,645","4,710,509","2,388,674","2,321,835"
خوزستان,آبادان,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"85,015","298,090","149,510","148,580"
خوزستان,آبادان,اروندکنار,                                                                                                    ,                                                                                                                                                                                                        ,"7,789","27,461","13,730","13,731"
خوزستان,آبادان,اروندکنار,مينوبار,                                                                                                                                                                                                        ,"3,003","10,574","5,305","5,269"
خوزستان,آبادان,اروندکنار,مينوبار,ابوخضراوي,186,647,325,322
خوزستان,آبادان,اروندکنار,مينوبار,ابوغزلان,215,745,350,395
خوزستان,آبادان,اروندکنار,مينوبار,آلبوحميد,480,"1,793",883,910
خوزستان,آبادان,اروندکنار,مينوبار,نهرسليم,326,"1,189",594,595
خوزستان,آبادان,اروندکنار,مينوبار,نهرعفادله,98,363,194,169
خوزستان,آبادان,اروندکنار,مينوبار,ابوديره,502,"1,705",886,819
خوزستان,آبادان,اروندکنار,مينوبار,کوت شنوف,463,"1,629",819,810
خوزستان,آبادان,اروندکنار,مينوبار,خزعل آباد,173,619,314,305
خوزستان,آبادان,اروندکنار,مينوبار,ابوشکر,282,"1,002",510,492
خوزستان,آبادان,اروندکنار,مينوبار,ابوعقاب,196,613,294,319
خوزستان,آبادان,اروندکنار,مينوبار,خسروآباد,32,109,61,48
خوزستان,آبادان,اروندکنار,مينوبار,نهرکوت,50,160,75,85
خوزستان,آبادان,اروندکنار,مينوبار,ايستگاه راديو و تلويزيون,0,0,0,0
خوزستان,آبادان,اروندکنار,مينوبار,طرح تامين آب نخلستانهاي آبادان,0,0,0,0
خوزستان,آبادان,اروندکنار,مينوبار,مرغداري غضباني,0,0,0,0
خوزستان,آبادان,اروندکنار,مينوبار,دامداري ثامن الحجج ع,0,0,0,0
خوزستان,آبادان,اروندکنار,مينوبار,ايستگاه عملياتي هوا دريا,0,0,0,0
خوزستان,آبادان,اروندکنار,مينوبار,مرغداري طاهر,0,0,0,0
خوزستان,آبادان,اروندکنار,مينوبار,شرکت گلزار خوزستان,0,0,0,0
خوزستان,آبادان,اروندکنار,مينوبار,شرکت ستاره دام آبادان,0,0,0,0
خوزستان,آبادان,اروندکنار,مينوبار,پرواربندي شاکر هندالي,0,0,0,0
خوزستان,آبادان,اروندکنار,نصار,                                                                                                                                                                                                        ,"1,590","5,585","2,849","2,736"
خوزستان,آبادان,اروندکنار,نصار,نهر ابوعظيم,89,318,171,147
خوزستان,آبادان,اروندکنار,نصار,نهر ازرق,122,439,222,217
خوزستان,آبادان,اروندکنار,نصار,نهر طليب,82,276,141,135
خوزستان,آبادان,اروندکنار,نصار,نهر عريض,86,316,152,164
خوزستان,آبادان,اروندکنار,نصار,پمپ بنزين,0,0,0,0
خوزستان,آبادان,اروندکنار,نصار,ستاد گردان 759 ارتش,0,0,0,0
خوزستان,آبادان,اروندکنار,نصار,شرکت تبريد محاسب,0,0,0,0
خوزستان,آبادان,اروندکنار,نصار,فرخ پي/سعدوني,93,412,208,204
خوزستان,آبادان,اروندکنار,نصار,نهر حميد,64,192,99,93
خوزستان,آبادان,اروندکنار,نصار,رفيع,74,271,136,135
خوزستان,آبادان,اروندکنار,نصار,نهر سن,112,388,202,186
خوزستان,آبادان,اروندکنار,نصار,نهر ابوفلفل,145,473,256,217
خوزستان,آبادان,اروندکنار,نصار,ابوعراضه,0,0,0,0
خوزستان,آبادان,اروندکنار,نصار,ابوصدرين,65,231,122,109
خوزستان,آبادان,اروندکنار,نصار,ابوعبود,83,276,143,133
خوزستان,آبادان,اروندکنار,نصار,نهر حميسه,24,87,48,39
خوزستان,آبادان,اروندکنار,نصار,نهر کوت,63,238,115,123
خوزستان,آبادان,اروندکنار,نصار,نهر مچري نصار,120,413,214,199
خوزستان,آبادان,اروندکنار,نصار,عراضه,24,81,38,43
خوزستان,آبادان,اروندکنار,نصار,نقشه نصار,31,109,53,56
خوزستان,آبادان,اروندکنار,نصار,نهر ابودهن,22,83,38,45
خوزستان,آبادان,اروندکنار,نصار,نهر ابوشانک,111,355,188,167
خوزستان,آبادان,اروندکنار,نصار,نهر عوج آلبوحيه,68,234,117,117
خوزستان,آبادان,اروندکنار,نصار,نهر عوج آلبوصيد,30,113,52,61
خوزستان,آبادان,اروندکنار,نصار,نهر المساعدي,4,9,4,5
خوزستان,آبادان,اروندکنار,نصار,نهر سيديوسف,26,98,49,49
خوزستان,آبادان,اروندکنار,نصار,نهر کريم,22,72,32,40
خوزستان,آبادان,اروندکنار,نصار,نهر محيسن,10,35,20,15
خوزستان,آبادان,اروندکنار,نصار,نهر مسجد,*         ,*         ,*         ,*         
خوزستان,آبادان,اروندکنار,نصار,نهر ناصر,17,56,26,30
خوزستان,آبادان,اروندکنار,نوآباد,                                                                                                                                                                                                        ,40,129,74,55
خوزستان,آبادان,اروندکنار,نوآباد,بچاچره سفلي,6,20,13,7
خوزستان,آبادان,اروندکنار,نوآباد,بچاچره عليا,*         ,*         ,*         ,*         
خوزستان,آبادان,اروندکنار,نوآباد,عياش شنوف,0,0,0,0
خوزستان,آبادان,اروندکنار,نوآباد,علم,0,0,0,0
خوزستان,آبادان,اروندکنار,نوآباد,عوفي,*         ,*         ,*         ,*         
خوزستان,آبادان,اروندکنار,نوآباد,ناهي,*         ,*         ,*         ,*         
خوزستان,آبادان,اروندکنار,نوآباد,ابطر,8,27,15,12
خوزستان,آبادان,اروندکنار,نوآباد,ابوفلوس,0,0,0,0
خوزستان,آبادان,اروندکنار,نوآباد,نهر حاجي محمد,18,56,32,24
خوزستان,آبادان,اروندکنار,نوآباد,قاسميه,0,0,0,0
خوزستان,آبادان,اروندکنار,نوآباد,نشمي,0,0,0,0
خوزستان,آبادان,اروندکنار,نوآباد,نهر حاج علي,*         ,*         ,*         ,*         
خوزستان,آبادان,اروندکنار,نوآباد,پادگان دريايي,0,0,0,0
خوزستان,آبادان,اروندکنار,نوآباد,پادگان دريايي,0,0,0,0
خوزستان,آبادان,اروندکنار,نوآباد,پادگان دريايي سپاه,0,0,0,0
خوزستان,آبادان,اروندکنار,نوآباد,پادگان تيپ تکاور ذوالفقار,0,0,0,0
خوزستان,آبادان,اروندکنار,نوآباد,پاسگاه مرزي اسکله عيناوي,0,0,0,0
خوزستان,آبادان,اروندکنار,نوآباد,اسکله صيادي فجر اروند,0,0,0,0
خوزستان,آبادان,اروندکنار,اروندکنار,                                                                                                                                                                                                        ,"3,156","11,173","5,502","5,671"
خوزستان,آبادان,مرکزي,                                                                                                    ,                                                                                                                                                                                                        ,"77,221","270,622","135,775","134,847"
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,                                                                                                                                                                                                        ,"2,793","9,943","5,216","4,727"
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,ملاکه,199,641,348,293
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,رده سادات,499,"1,815",930,885
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,تنگه يک/بهارتنگه,855,"3,119","1,623","1,496"
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,تنگه سه,371,"1,298",679,619
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,پادگان شهيد رجايي,0,0,0,0
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,پادگان دريايي بهمنشير,4,50,49,1
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,تعميرگاه شهيد اسدي,0,0,0,0
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,بندر چويبده/گمرک چويبده,0,0,0,0
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,پاسگاه انتظامي گوبان,*         ,*         ,*         ,*         
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,مجتمع تکثير ميگوي اروند,0,0,0,0
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,شرکت لنج سازي دلوار کشتي,0,0,0,0
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,پاسگاه دريايي سپاه,0,0,0,0
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,پاسگاه مرز دريايي گوارين,*         ,*         ,*         ,*         
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,تنگه دو,240,937,492,445
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,ابوشانک/شانک,352,"1,173",614,559
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,دلگه,92,301,156,145
خوزستان,آبادان,مرکزي,بهمنشيرجنوبي,رده سيحان,179,589,305,284
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,                                                                                                                                                                                                        ,"1,452","5,306","2,732","2,574"
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,آلبوعبادي/فرخزاد,256,941,497,444
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,مرکز بازديدکنندگان تالاب شادگان,*         ,*         ,*         ,*         
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,شرکت مديريت نيروي برق جنوب غرب,0,0,0,0
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,خرخره/جزيره خرخره,233,887,452,435
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,رده مدن,328,"1,174",598,576
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,اداره راه و ترابري آبادان,0,0,0,0
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,شرکت ايران گاز,0,0,0,0
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,فرستنده صدا و سيما,5,20,8,12
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,کارخانه آسفالت شهرداري,0,0,0,0
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,شهرک صنعتي آبادان,11,40,23,17
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,ايستگاه تقليل فشار گاز سي جي اس آبادان,0,0,0,0
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,بيمارستان صحراي علي بن ابيطالب,*         ,*         ,*         ,*         
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,زندان آبادان,*         ,*         ,*         ,*         
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,شرکت افزودنيهاي صنعتي,0,0,0,0
خوزستان,آبادان,مرکزي,بهمنشيرشمالي,پست برق ميلاد آبادان,0,0,0,0
