Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
فارس,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"1,443,027","4,851,274","2,461,251","2,390,023"
فارس,آباده,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"31,672","100,831","50,991","49,840"
فارس,آباده,مرکزي,                                                                                                    ,                                                                                                                                                                                                        ,"31,667","100,820","50,986","49,834"
فارس,آباده,مرکزي,ايزدخواست,                                                                                                                                                                                                        ,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,اب بنه,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,اب ميان,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,ابسر,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,اشکا,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,پاقلعه,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,ترسا,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,باغ چشمه,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,چشمه ريزه,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,خسرواباد,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,دفري,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,سيبيان,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,شيرازک,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,صالح اباد,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,علي اباد,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,قلي اباد,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,قنات کلاره,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,قنات گزلا,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,قنات نو,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,کوشک حرا,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,گودگيري,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,گنبدلاله,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,مزرعه ملوان,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,ويژه دانه,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,ده کاييد,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,قلعه قشلاق,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,قلعه گوري,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,سرباغ,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,شورچشمه,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,شيرين چشمه,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,کرسالي,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,چغوران,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,قنات مندعلي خان,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,ايستگاه مخابراتي تل پلويي,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,شرکت راه سازي توچال,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,شرکت کترا ( سدسازي ),0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,مسجدامام سجاد(ع ),0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,قلقل,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,شرکت بتن سازي راه آهن آسفالت,0,0,0,0
فارس,آباده,مرکزي,ايزدخواست,دامداري محمد,0,0,0,0
فارس,آباده,مرکزي,بهمن,                                                                                                                                                                                                        ,981,"4,135","2,432","1,703"
فارس,آباده,مرکزي,بهمن,جعفراباد,*         ,*         ,*         ,*         
فارس,آباده,مرکزي,بهمن,شورجستان,170,496,242,254
فارس,آباده,مرکزي,بهمن,علي ابادشوراب بالا,0,0,0,0
فارس,آباده,مرکزي,بهمن,مزرعه اکبراباد,0,0,0,0
فارس,آباده,مرکزي,بهمن,مزرعه محمديه,0,0,0,0
فارس,آباده,مرکزي,بهمن,مزرعه حجت اباد,0,0,0,0
فارس,آباده,مرکزي,بهمن,ارون ماهيدان,0,0,0,0
فارس,آباده,مرکزي,بهمن,بدرون,0,0,0,0
فارس,آباده,مرکزي,بهمن,تنگ فيروز,0,0,0,0
فارس,آباده,مرکزي,بهمن,چشمه علي,0,0,0,0
فارس,آباده,مرکزي,بهمن,چشمه کان,0,0,0,0
فارس,آباده,مرکزي,بهمن,چشمه کبکي,0,0,0,0
فارس,آباده,مرکزي,بهمن,ده گردو,0,0,0,0
فارس,آباده,مرکزي,بهمن,سياهان,0,0,0,0
فارس,آباده,مرکزي,بهمن,قنات قلعه اياز,0,0,0,0
فارس,آباده,مرکزي,بهمن,قنات پشت بره,0,0,0,0
فارس,آباده,مرکزي,بهمن,کاسه پشت,0,0,0,0
فارس,آباده,مرکزي,بهمن,کلستان,0,0,0,0
فارس,آباده,مرکزي,بهمن,مزرعه حضرت اباد,0,0,0,0
فارس,آباده,مرکزي,بهمن,مزرعه رزک,0,0,0,0
فارس,آباده,مرکزي,بهمن,قلعه کربلايي خلفعلي,0,0,0,0
فارس,آباده,مرکزي,بهمن,مزرعه کوشک,0,0,0,0
فارس,آباده,مرکزي,بهمن,مزرعه محمداباد,0,0,0,0
فارس,آباده,مرکزي,بهمن,اسداباد,0,0,0,0
فارس,آباده,مرکزي,بهمن,تلمبه اميرآبادي,0,0,0,0
فارس,آباده,مرکزي,بهمن,رحيم اباد,*         ,*         ,*         ,*         
فارس,آباده,مرکزي,بهمن,قوزي اباد,0,0,0,0
فارس,آباده,مرکزي,بهمن,مزرعه احمداباد,0,0,0,0
فارس,آباده,مرکزي,بهمن,ايستگاه مخابراتي بيداعلم,0,0,0,0
فارس,آباده,مرکزي,بهمن,صادق آباد عليا,0,0,0,0
فارس,آباده,مرکزي,بهمن,مزرعه عزيزاباد,0,0,0,0
فارس,آباده,مرکزي,بهمن,قلعه شولاتي,0,0,0,0
فارس,آباده,مرکزي,بهمن,مزرعه,22,52,25,27
