Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
كرمان,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"932,721","3,164,718","1,617,688","1,547,030"
كرمان,بافت,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"26,543","84,103","42,409","41,694"
كرمان,بافت,مركزئ,                                                                                                    ,                                                                                                                                                                                                        ,"21,051","67,520","33,998","33,522"
كرمان,بافت,مركزئ,بزنجان,                                                                                                                                                                                                        ,"3,266","9,959","4,967","4,992"
كرمان,بافت,مركزئ,بزنجان,اورسوييه,0,0,0,0
كرمان,بافت,مركزئ,بزنجان,باغ فخروييه,148,390,200,190
كرمان,بافت,مركزئ,بزنجان,بركنان عليا,90,261,120,141
كرمان,بافت,مركزئ,بزنجان,تلخه چار,36,78,35,43
كرمان,بافت,مركزئ,بزنجان,چمن لاخ,0,0,0,0
كرمان,بافت,مركزئ,بزنجان,ده سالار,0,0,0,0
كرمان,بافت,مركزئ,بزنجان,ده ناي,0,0,0,0
كرمان,بافت,مركزئ,بزنجان,زردنوييه,0,0,0,0
كرمان,بافت,مركزئ,بزنجان,قنات كوه,0,0,0,0
كرمان,بافت,مركزئ,بزنجان,قنات مروان,113,342,181,161
كرمان,بافت,مركزئ,بزنجان,گهين,0,0,0,0
كرمان,بافت,مركزئ,بزنجان,معدن سرب,0,0,0,0
كرمان,بافت,مركزئ,بزنجان,مورتوت,0,0,0,0
كرمان,بافت,مركزئ,بزنجان,ده محمود,0,0,0,0
كرمان,بافت,مركزئ,بزنجان,بركنان سفلي,134,394,200,194
كرمان,بافت,مركزئ,بزنجان,بيدان,151,448,232,216
كرمان,بافت,مركزئ,بزنجان,تيتوئيه3,0,0,0,0
كرمان,بافت,مركزئ,بزنجان,بنگان,356,"1,113",530,583
كرمان,بافت,مركزئ,بزنجان,چغارچوئيه,148,492,254,238
