Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
خراسان رضوئ,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"1,938,703","6,434,501","3,245,185","3,189,316"
خراسان رضوئ,تايباد,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"30,718","117,564","60,007","57,557"
خراسان رضوئ,تايباد,مركزئ,                                                                                                    ,                                                                                                                                                                                                        ,"24,159","92,205","47,071","45,134"
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,                                                                                                                                                                                                        ,"1,720","6,586","3,361","3,225"
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,اوليا,0,0,0,0
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,چاه محمدآبادقدس,39,143,73,70
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,سرداب,48,214,103,111
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,سفيدبالا,4,13,8,5
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,شمس اباد,29,123,65,58
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,كشگك,154,597,294,303
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,كلاته حضرت,11,38,19,19
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,دوست محمدي /مرغداري حسين دوست محمدي /م,0,0,0,0
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,عباس اباد,0,0,0,0
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,چاه مهروس كريمدادي,0,0,0,0
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,پاسگاه شهيدصارم بافنده,0,0,0,0
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,ارزنچه سفلي,330,"1,368",692,676
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,ارزه عليا,185,709,339,370
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,پاسگاه نيروي انتظامي پيش رباط,*         ,*         ,*         ,*         
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,پاسگاه نيروي انتظامي تپه سفيد,*         ,*         ,*         ,*         
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,پاسگاه نيروي انتظامي چشمه وزيري,*         ,*         ,*         ,*         
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,پاسگاه نيروي انتظامي قلعه اكبر,*         ,*         ,*         ,*         
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,ذبيح الله شيباني /چاه اسماعيل شيباني /,0,0,0,0
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,چاه احمد شاه /چاه سيدعبدالرحمان /,0,0,0,0
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,چاه عميق حنفي,0,0,0,0
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,فيض اباد,75,260,142,118
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,محسن اباد,324,"1,171",604,567
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,ميراقابيك,29,108,58,50
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,پاسگاه نيروي انتظامي كال سنگ,*         ,*         ,*         ,*         
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,پاسگاه تپه سنجدي,*         ,*         ,*         ,*         
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,پاسگاه نيروي انتظامي تپه سياه,*         ,*         ,*         ,*         
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,پاسگاه حاجي اباد,*         ,*         ,*         ,*         
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,حاجي اباد,311,"1,150",579,571
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,دوغارون,33,117,61,56
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,قومي,136,503,254,249
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,حوزه انتظامي كال سنگ,*         ,*         ,*         ,*         
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,گمرك دوقارون,0,0,0,0
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,ماوي,*         ,*         ,*         ,*         
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,پاسگاه تپه سنجدي جديد,*         ,*         ,*         ,*         
خراسان رضوئ,تايباد,مركزئ,پائين ولايت,پاسگاه انتظامي مرزئ دوقارون,*         ,*         ,*         ,*         
خراسان رضوئ,تايباد,مركزئ,كرات,                                                                                                                                                                                                        ,"4,624","17,955","9,099","8,856"
خراسان رضوئ,تايباد,مركزئ,كرات,فرمان اباد,739,"2,969","1,536","1,433"
خراسان رضوئ,تايباد,مركزئ,كرات,اسداباددربند/دربند,653,"2,646","1,343","1,303"
