Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
اصفهان,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"1,607,482","5,120,850","2,599,477","2,521,373"
اصفهان,اردستان,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"14,140","42,105","21,281","20,824"
اصفهان,اردستان,مرکزي,                                                                                                    ,                                                                                                                                                                                                        ,"9,960","29,427","14,822","14,605"
اصفهان,اردستان,مرکزي,برزاوند,                                                                                                                                                                                                        ,"1,161","2,972","1,491","1,481"
اصفهان,اردستان,مرکزي,برزاوند,بيدشک,13,27,14,13
اصفهان,اردستان,مرکزي,برزاوند,سليمان آباد,7,12,6,6
اصفهان,اردستان,مرکزي,برزاوند,سهر,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,برزاوند,سيانچه,0,0,0,0
اصفهان,اردستان,مرکزي,برزاوند,علي آباد,19,51,27,24
اصفهان,اردستان,مرکزي,برزاوند,قهساره,58,129,58,71
اصفهان,اردستان,مرکزي,برزاوند,کهنگ,219,511,250,261
اصفهان,اردستان,مرکزي,برزاوند,مار,28,55,30,25
اصفهان,اردستان,مرکزي,برزاوند,ماربين,56,118,55,63
اصفهان,اردستان,مرکزي,برزاوند,مبارکه,24,50,29,21
اصفهان,اردستان,مرکزي,برزاوند,گرنه,0,0,0,0
اصفهان,اردستان,مرکزي,برزاوند,خونيه,0,0,0,0
اصفهان,اردستان,مرکزي,برزاوند,مرغداري کريم نجفي,0,0,0,0
اصفهان,اردستان,مرکزي,برزاوند,شورابه,0,0,0,0
اصفهان,اردستان,مرکزي,برزاوند,گارحسنه,0,0,0,0
اصفهان,اردستان,مرکزي,برزاوند,کسايون,0,0,0,0
اصفهان,اردستان,مرکزي,برزاوند,نوک آباد,0,0,0,0
اصفهان,اردستان,مرکزي,برزاوند,نيسيان,480,"1,369",714,655
اصفهان,اردستان,مرکزي,برزاوند,اشينه,11,19,8,11
اصفهان,اردستان,مرکزي,برزاوند,ايران شکن,0,0,0,0
اصفهان,اردستان,مرکزي,برزاوند,حيدرآباد,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,برزاوند,خيرآباد,68,214,112,102
اصفهان,اردستان,مرکزي,برزاوند,ديزيچه,6,8,2,6
اصفهان,اردستان,مرکزي,برزاوند,رفيع آباد,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,برزاوند,سنآباد,5,7,3,4
اصفهان,اردستان,مرکزي,برزاوند,سنجدوآقاعلي,0,0,0,0
اصفهان,اردستان,مرکزي,برزاوند,طوران,9,12,2,10
اصفهان,اردستان,مرکزي,برزاوند,فران,29,73,37,36
اصفهان,اردستان,مرکزي,برزاوند,کچي,7,11,4,7
اصفهان,اردستان,مرکزي,برزاوند,مارچوبه,24,71,38,33
اصفهان,اردستان,مرکزي,برزاوند,نهوج,93,224,96,128
اصفهان,اردستان,مرکزي,برزاوند,برزگر,0,0,0,0
اصفهان,اردستان,مرکزي,عليا,                                                                                                                                                                                                        ,545,"1,453",723,730
اصفهان,اردستان,مرکزي,عليا,اشکنه بالا,0,0,0,0
اصفهان,اردستان,مرکزي,عليا,باقرآباد,62,196,97,99
اصفهان,اردستان,مرکزي,عليا,پيناوند,0,0,0,0
اصفهان,اردستان,مرکزي,عليا,جنبه,101,350,182,168
اصفهان,اردستان,مرکزي,عليا,چاه ريسه,17,46,22,24
اصفهان,اردستان,مرکزي,عليا,حسن آباد,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,عليا,حسن آباد,0,0,0,0
اصفهان,اردستان,مرکزي,عليا,خاصه تراش,5,16,9,7
اصفهان,اردستان,مرکزي,عليا,ديزلو,33,92,47,45
اصفهان,اردستان,مرکزي,عليا,عباس آباد,24,55,26,29
اصفهان,اردستان,مرکزي,عليا,فسخود,19,41,19,22
اصفهان,اردستان,مرکزي,عليا,کمشچه,14,29,13,16
اصفهان,اردستان,مرکزي,عليا,گل ومل,13,27,16,11
اصفهان,اردستان,مرکزي,عليا,شرکت سيمان اردستان,0,0,0,0
اصفهان,اردستان,مرکزي,عليا,اونج,35,59,25,34
اصفهان,اردستان,مرکزي,عليا,بغم,44,119,60,59
اصفهان,اردستان,مرکزي,عليا,توتگان,43,98,49,49
اصفهان,اردستان,مرکزي,عليا,زايين,21,39,15,24
اصفهان,اردستان,مرکزي,عليا,علي آباد,4,7,2,5
اصفهان,اردستان,مرکزي,عليا,لاسيب,29,65,31,34
اصفهان,اردستان,مرکزي,عليا,ماست بندي,49,140,70,70
اصفهان,اردستان,مرکزي,عليا,مونيه,13,30,17,13
اصفهان,اردستان,مرکزي,عليا,ومکان,15,38,20,18
اصفهان,اردستان,مرکزي,عليا,مجموعه مرغداريهاي تک,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,کچو,                                                                                                                                                                                                        ,612,"1,483",712,771
اصفهان,اردستان,مرکزي,کچو,پنج,16,33,14,19
اصفهان,اردستان,مرکزي,کچو,دستجرد,5,22,10,12
اصفهان,اردستان,مرکزي,کچو,زيارتگاه,4,9,3,6
اصفهان,اردستان,مرکزي,کچو,ظفرقند,66,124,41,83
اصفهان,اردستان,مرکزي,کچو,کاشانک,7,12,4,8
اصفهان,اردستان,مرکزي,کچو,گزلا,5,14,5,9
اصفهان,اردستان,مرکزي,کچو,گزلا بالا,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,کچو,مهراندو,12,31,17,14
اصفهان,اردستان,مرکزي,کچو,ميشاب,4,6,2,4
اصفهان,اردستان,مرکزي,کچو,مهرآباد,20,42,17,25
اصفهان,اردستان,مرکزي,کچو,هندوآباد,116,343,176,167
اصفهان,اردستان,مرکزي,کچو,اردوگاه قدس,0,0,0,0
اصفهان,اردستان,مرکزي,کچو,سردخانه هدايتي,0,0,0,0
اصفهان,اردستان,مرکزي,کچو,باب الباغ(درباغ),36,78,35,43
اصفهان,اردستان,مرکزي,کچو,بيدون,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,کچو,تل آباد,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,کچو,زاغل,8,12,8,4
اصفهان,اردستان,مرکزي,کچو,سنجدو,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,کچو,سهرويه,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,کچو,مزدآبادبالا,20,44,20,24
اصفهان,اردستان,مرکزي,کچو,نصرند,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,کچو,بابااحمد,5,8,4,4
اصفهان,اردستان,مرکزي,کچو,چرمهين,10,21,11,10
اصفهان,اردستان,مرکزي,کچو,سرابه,41,109,55,54
اصفهان,اردستان,مرکزي,کچو,کچومثقال,193,487,247,240
اصفهان,اردستان,مرکزي,کچو,گزستان,7,14,6,8
اصفهان,اردستان,مرکزي,کچو,ونين,26,55,26,29
اصفهان,اردستان,مرکزي,گرمسير,                                                                                                                                                                                                        ,"1,061","3,218","1,650","1,568"
اصفهان,اردستان,مرکزي,گرمسير,خرم آباد,20,47,23,24
اصفهان,اردستان,مرکزي,گرمسير,سرهنگچه,30,80,41,39
اصفهان,اردستان,مرکزي,گرمسير,گلستان شهيدبهشتي شماره 6,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,مصطفي آباد,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,موغار,385,"1,139",581,558
اصفهان,اردستان,مرکزي,گرمسير,گلستان خميني,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,مجموعه چاههاي اسلام آباد,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,آريا دشت - مزرعه مهابادي,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,گرمسير,حسن آباد,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,تقي آباد,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,جعفرآباد,53,157,84,73
اصفهان,اردستان,مرکزي,گرمسير,حسن آباد,79,279,140,139
اصفهان,اردستان,مرکزي,گرمسير,حيدرآباد,96,323,173,150
اصفهان,اردستان,مرکزي,گرمسير,خشک آباد,91,284,142,142
اصفهان,اردستان,مرکزي,گرمسير,دولت آباد,28,67,33,34
اصفهان,اردستان,مرکزي,گرمسير,رحمت آباد,121,381,192,189
اصفهان,اردستان,مرکزي,گرمسير,شلوغ آباد,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,گرمسير,شمس آباد,4,22,10,12
اصفهان,اردستان,مرکزي,گرمسير,علي آبادسردار,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,گرمسير,نصرت آباد,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,مزرعه علي بن موسي الرضا(مزرعه کرماني),*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,گرمسير,بلهور,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,گرمسير,گروه سرهنگچه,7,16,7,9
اصفهان,اردستان,مرکزي,گرمسير,چاه گسترش,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,سريجهن,10,28,17,11
اصفهان,اردستان,مرکزي,گرمسير,کسوج,36,98,49,49
اصفهان,اردستان,مرکزي,گرمسير,گل انجيره,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,گرمسير,اميديه,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,گرمسير,دشت سجاديه,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,مجموعه چاههاي گروه آل محمد,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,دشت آزادگان,4,17,5,12
اصفهان,اردستان,مرکزي,گرمسير,دولاب,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,سهاميه,7,19,11,8
اصفهان,اردستان,مرکزي,گرمسير,سيدآباد,4,18,9,9
اصفهان,اردستان,مرکزي,گرمسير,طرح صاحب الزمان,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,گروه رضامعيني,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,گروه مشاع شهيدبهشتي,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,شن و ماسه شهرداري اردستان,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,پليس راه اردستان,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,گرمسير,شرکت توليدي گچ واهک مدرس,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,ده نايب,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,اعتضادي,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,حسين آباد,69,206,108,98
اصفهان,اردستان,مرکزي,گرمسير,کارخانجات نساجي مهابادريس,0,0,0,0
اصفهان,اردستان,مرکزي,گرمسير,مرغداري رضا سرمدي,0,0,0,0
اصفهان,اردستان,مرکزي,همبرات,                                                                                                                                                                                                        ,330,830,407,423
اصفهان,اردستان,مرکزي,همبرات,اردرانچه,12,23,11,12
اصفهان,اردستان,مرکزي,همبرات,ارست,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,همبرات,استانه,45,120,56,64
اصفهان,اردستان,مرکزي,همبرات,استحرق,0,0,0,0
اصفهان,اردستان,مرکزي,همبرات,اکبرآباد,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,همبرات,بروني,0,0,0,0
اصفهان,اردستان,مرکزي,همبرات,بنداستانه,4,10,5,5
اصفهان,اردستان,مرکزي,همبرات,بيلت,*         ,*         ,*         ,*         
اصفهان,اردستان,مرکزي,همبرات,پنارت,4,5,3,2
اصفهان,اردستان,مرکزي,همبرات,حرمي,0,0,0,0
