Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
سيستان وبلوچستان,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"704,888","2,775,014","1,401,931","1,373,083"
سيستان وبلوچستان,ايرانشهر,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"62,625","254,314","127,692","126,622"
سيستان وبلوچستان,ايرانشهر,بزمان,                                                                                                    ,                                                                                                                                                                                                        ,"3,089","11,827","5,701","6,126"
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,                                                                                                                                                                                                        ,426,"1,621",791,830
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,رامكان(مسجدابوالفضل),69,258,130,128
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,گيگان,8,14,5,9
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,چاه قزلباش,10,43,25,18
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,چاه قربان,24,90,42,48
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,ده جلال,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,چاه گز,4,9,4,5
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,پايگاه انتظامي,13,45,22,23
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,پاگ,41,165,77,88
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,شندگنان,12,59,28,31
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,شاشکان,33,145,72,73
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,گل کن,*         ,*         ,*         ,*         
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,حسين آباد شيهکي,15,45,23,22
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,شوراب,15,82,37,45
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,هنجيرك,*         ,*         ,*         ,*         
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,پاسگاه ژاندارمري سهركان,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,چاه نلي,5,13,4,9
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,نوك آباد,4,17,9,8
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,حبيب اباد,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,ده جهيل,17,59,32,27
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,خيراباد,26,93,49,44
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,توکل اباد,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,شريف اباد,*         ,*         ,*         ,*         
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,زبراباد,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,غريب اباد,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,ده گمي,10,40,23,17
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,مهيم اباد,*         ,*         ,*         ,*         
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,شاه مرادآباد,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,چشمه گلزار(بلوچ آباد),0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,يوسف اباد,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,محمداباد,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,نورآباد(الله يارآباد),0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,ده پكير,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,ده رحيم,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,عباس اباد,50,221,93,128
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,حاجي اباد,4,15,4,11
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,شاه آباد(حليم آباد),0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,مچك لشكري,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,ريگك,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,عيسي اباد,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,فقيرابادبالا,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,فقيرابادپايين,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,كريم اباد شهيكي,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,عيسي اباد شهيكي,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,رادوابادشه بخش,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,حبيب اباد شه بخش,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,ولي اباد,12,35,19,16
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,ناگتك,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,ميان چاه,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,چاه پوده,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,حنجره,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,چاه شيرخان,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,پايگاه انتظامي,*         ,*         ,*         ,*         
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,چاه رحيم,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,علي اباد,19,55,27,28
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,حوض انبار,16,58,28,30
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,كافه جنگيان,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,پايگاه انتظامي,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,الله آباد,10,21,11,10
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,موتورحمزه شه بخش,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,موتورشمشير,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,موتورنورمحمدنارويي,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,آب رئيس,موتورنظر,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,                                                                                                                                                                                                        ,"1,308","5,014","2,460","2,554"
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,اسپوست,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,پوزه باغ,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,تيغ اب,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,چاهان,*         ,*         ,*         ,*         
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,خشكي,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,درآهو,63,259,135,124
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,دردزدان,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,درگيابان,20,71,37,34
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,دره كشكين,9,31,17,14
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,ده دادل,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,سياه گر,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,شسران,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,كرودان,20,77,36,41
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,مدهان,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,ميرگلي,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,نرازاد,11,40,23,17
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,ملك مراد,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,اسداباد,0,0,0,0
سيستان وبلوچستان,ايرانشهر,بزمان,بزمان,استخرك,6,20,10,10
