Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
كردستان,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"471,310","1,603,011","812,776","790,235"
كردستان,بانه,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"43,772","158,690","80,622","78,068"
كردستان,بانه,آرمرده,                                                                                                    ,                                                                                                                                                                                                        ,"2,501","9,359","4,861","4,498"
كردستان,بانه,آرمرده,پشت آربابا,                                                                                                                                                                                                        ,"1,239","4,606","2,338","2,268"
كردستان,بانه,آرمرده,پشت آربابا,بار آور,13,50,24,26
كردستان,بانه,آرمرده,پشت آربابا,برويشكاني,7,27,15,12
كردستان,بانه,آرمرده,پشت آربابا,توكل,55,220,117,103
كردستان,بانه,آرمرده,پشت آربابا,دوله گوير,23,75,39,36
كردستان,بانه,آرمرده,پشت آربابا,ساطيار,*         ,*         ,*         ,*         
كردستان,بانه,آرمرده,پشت آربابا,كارستم,11,49,25,24
كردستان,بانه,آرمرده,پشت آربابا,كاني چولكه,16,50,24,26
كردستان,بانه,آرمرده,پشت آربابا,كاني گلي,10,36,17,19
كردستان,بانه,آرمرده,پشت آربابا,كوچر,41,148,76,72
كردستان,بانه,آرمرده,پشت آربابا,كوخ مامو,73,280,150,130
كردستان,بانه,آرمرده,پشت آربابا,گندمان,56,205,99,106
كردستان,بانه,آرمرده,پشت آربابا,نيزه رود,63,229,121,108
كردستان,بانه,آرمرده,پشت آربابا,كاني بناو,*         ,*         ,*         ,*         
كردستان,بانه,آرمرده,پشت آربابا,كاني سيب,9,42,24,18
كردستان,بانه,آرمرده,پشت آربابا,بايزيد آباد,33,131,64,67
كردستان,بانه,آرمرده,پشت آربابا,قره بلاغ,13,52,27,25
كردستان,بانه,آرمرده,پشت آربابا,كاني بند,76,256,121,135
كردستان,بانه,آرمرده,پشت آربابا,كاني گويز,101,376,181,195
كردستان,بانه,آرمرده,پشت آربابا,كوخ شيخ الاسلام,98,370,199,171
كردستان,بانه,آرمرده,پشت آربابا,كوخ كاني گويز,22,108,53,55
كردستان,بانه,آرمرده,پشت آربابا,ماسي در,5,14,8,6
كردستان,بانه,آرمرده,پشت آربابا,ميرحسام,31,103,54,49
كردستان,بانه,آرمرده,پشت آربابا,نوده,37,172,77,95
كردستان,بانه,آرمرده,پشت آربابا,كوخ صوفي رشيدپيروز,19,83,43,40
كردستان,بانه,آرمرده,پشت آربابا,سالوك سفلي,30,99,51,48
كردستان,بانه,آرمرده,پشت آربابا,سالوك عليا,44,167,95,72
كردستان,بانه,آرمرده,پشت آربابا,اتابك,*         ,*         ,*         ,*         
كردستان,بانه,آرمرده,پشت آربابا,تاژان,65,225,109,116
كردستان,بانه,آرمرده,پشت آربابا,تاژبان,56,194,94,100
كردستان,بانه,آرمرده,پشت آربابا,چروش,8,28,13,15
كردستان,بانه,آرمرده,پشت آربابا,دونيس,*         ,*         ,*         ,*         
كردستان,بانه,آرمرده,پشت آربابا,ديمه,6,31,17,14
كردستان,بانه,آرمرده,پشت آربابا,زربنه,33,120,64,56
كردستان,بانه,آرمرده,پشت آربابا,كاني ابراهيم,7,24,14,10
كردستان,بانه,آرمرده,پشت آربابا,كاني بيد,20,65,31,34
كردستان,بانه,آرمرده,پشت آربابا,گوئيل,21,85,38,47
كردستان,بانه,آرمرده,پشت آربابا,موچه,4,12,6,6
كردستان,بانه,آرمرده,پشت آربابا,ميريوسف سفلي,9,32,15,17
كردستان,بانه,آرمرده,پشت آربابا,ميريوسف عليا,25,97,49,48
كردستان,بانه,آرمرده,پشت آربابا,نيروان,60,212,107,105
كردستان,بانه,آرمرده,پشت آربابا,واژه,14,45,22,23
كردستان,بانه,آرمرده,پشت آربابا,سپيداره,0,0,0,0
كردستان,بانه,آرمرده,پشت آربابا,كاني سماقان,0,0,0,0
كردستان,بانه,آرمرده,پشت آربابا,كوخ رستم,4,10,5,5
كردستان,بانه,آرمرده,پشت آربابا,سوره بان,15,45,19,26
كردستان,بانه,آرمرده,بله كه,                                                                                                                                                                                                        ,649,"2,448","1,329","1,119"
كردستان,بانه,آرمرده,بله كه,بانوان,37,140,68,72
كردستان,بانه,آرمرده,بله كه,بله كه,186,716,419,297
كردستان,بانه,آرمرده,بله كه,چمپاراو,0,0,0,0
كردستان,بانه,آرمرده,بله كه,سربرد,29,98,55,43
كردستان,بانه,آرمرده,بله كه,سرداو,71,246,130,116
كردستان,بانه,آرمرده,بله كه,سوراو,61,243,126,117
كردستان,بانه,آرمرده,بله كه,سيسارك,18,58,29,29
كردستان,بانه,آرمرده,بله كه,كاني سيف,12,43,20,23
كردستان,بانه,آرمرده,بله كه,كاني مامر,9,45,21,24
كردستان,بانه,آرمرده,بله كه,كنده سوره,195,736,388,348
كردستان,بانه,آرمرده,بله كه,گرماب,31,123,73,50
كردستان,بانه,آرمرده,آرمرده,                                                                                                                                                                                                        ,613,"2,305","1,194","1,111"
كردستان,بانه,مركزئ,                                                                                                    ,                                                                                                                                                                                                        ,"33,921","122,439","61,941","60,498"
كردستان,بانه,مركزئ,شوئ,                                                                                                                                                                                                        ,"3,178","12,221","6,332","5,889"
كردستان,بانه,مركزئ,شوئ,بلوه,5,22,14,8
كردستان,بانه,مركزئ,شوئ,دروله,8,30,17,13
كردستان,بانه,مركزئ,شوئ,رشيدقلعه,158,737,435,302
كردستان,بانه,مركزئ,شوئ,مجسه,30,112,60,52
كردستان,بانه,مركزئ,شوئ,نوده كهنه,0,0,0,0
كردستان,بانه,مركزئ,شوئ,ترخان آباد,154,557,300,257
كردستان,بانه,مركزئ,شوئ,دمامه,*         ,*         ,*         ,*         
كردستان,بانه,مركزئ,شوئ,كاني ناو,57,228,126,102
كردستان,بانه,مركزئ,شوئ,سد بانه,0,0,0,0
كردستان,بانه,مركزئ,شوئ,بروژه كهنه,*         ,*         ,*         ,*         
كردستان,بانه,مركزئ,شوئ,خواجه مير,372,"1,433",727,706
كردستان,بانه,مركزئ,شوئ,احمد آباد,0,0,0,0
كردستان,بانه,مركزئ,شوئ,بنه رزان,228,856,443,413
كردستان,بانه,مركزئ,شوئ,ده كهنه,0,0,0,0
كردستان,بانه,مركزئ,شوئ,باروران,0,0,0,0
كردستان,بانه,مركزئ,شوئ,سبدلو,432,"1,620",796,824
كردستان,بانه,مركزئ,شوئ,بنه خوي,72,286,156,130
كردستان,بانه,مركزئ,شوئ,سرسونج,11,44,23,21
كردستان,بانه,مركزئ,شوئ,سونج,27,99,45,54
كردستان,بانه,مركزئ,شوئ,قوري چاي,4,8,4,4
كردستان,بانه,مركزئ,شوئ,ساوان,220,953,499,454
كردستان,بانه,مركزئ,شوئ,عمرشال,53,205,104,101
كردستان,بانه,مركزئ,شوئ,خشكه دره,41,203,100,103
كردستان,بانه,مركزئ,شوئ,سرقول,6,21,10,11
كردستان,بانه,مركزئ,شوئ,سويرو,65,251,132,119
كردستان,بانه,مركزئ,شوئ,شرگه,18,65,33,32
كردستان,بانه,مركزئ,شوئ,صدبار,104,355,193,162
كردستان,بانه,مركزئ,شوئ,مير آباد سفلي,78,288,149,139
كردستان,بانه,مركزئ,شوئ,نژو,52,206,102,104
كردستان,بانه,مركزئ,شوئ,شوي,446,"1,613",842,771
كردستان,بانه,مركزئ,شوئ,كوپيچ سفلي,199,740,370,370
كردستان,بانه,مركزئ,شوئ,كوپيچ عليا,10,35,21,14
كردستان,بانه,مركزئ,شوئ,برده رشه,*         ,*         ,*         ,*         
كردستان,بانه,مركزئ,شوئ,سيچان,42,160,77,83
كردستان,بانه,مركزئ,شوئ,قائي برد,228,885,457,428
كردستان,بانه,مركزئ,شوئ,كوپيچ,53,194,90,104
كردستان,بانه,مركزئ,بانه,                                                                                                                                                                                                        ,"30,743","110,218","55,609","54,609"
كردستان,بانه,نمشير,                                                                                                    ,                                                                                                                                                                                                        ,"4,832","17,423","8,921","8,502"
كردستان,بانه,نمشير,كاني سور,                                                                                                                                                                                                        ,"1,533","5,435","2,832","2,603"
كردستان,بانه,نمشير,كاني سور,اوغل,112,388,188,200
كردستان,بانه,نمشير,كاني سور,بندژاژ,42,145,79,66
كردستان,بانه,نمشير,كاني سور,حمزه لان,64,246,136,110
كردستان,بانه,نمشير,كاني سور,دارينه سفلي,0,0,0,0
كردستان,بانه,نمشير,كاني سور,رشكي,28,113,56,57
كردستان,بانه,نمشير,كاني سور,سارتكه سفلي,12,46,26,20
كردستان,بانه,نمشير,كاني سور,سارتكه عليا,27,92,54,38
كردستان,بانه,نمشير,كاني سور,كاني برد,33,107,52,55
كردستان,بانه,نمشير,كاني سور,كاني هلوچه,48,179,102,77
كردستان,بانه,نمشير,كاني سور,ويسك,0,0,0,0
كردستان,بانه,نمشير,كاني سور,بايزيد,23,93,47,46
كردستان,بانه,نمشير,كاني سور,كنده شين,0,0,0,0
كردستان,بانه,نمشير,كاني سور,دارينه عليا,23,70,33,37
كردستان,بانه,نمشير,كاني سور,سيا حومه,157,547,275,272
كردستان,بانه,نمشير,كاني سور,سياحومه كهنه,15,60,27,33
كردستان,بانه,نمشير,كاني سور,شيديله,0,0,0,0
كردستان,بانه,نمشير,كاني سور,مامال,106,347,180,167
كردستان,بانه,نمشير,كاني سور,نمازگاه,31,96,48,48
كردستان,بانه,نمشير,كاني سور,يعقوب آباد,52,174,92,82
كردستان,بانه,نمشير,كاني سور,زرواوسفلي,175,665,395,270
كردستان,بانه,نمشير,كاني سور,زرواوعليا,78,276,134,142
كردستان,بانه,نمشير,كاني سور,صالح آباد,15,48,26,22
كردستان,بانه,نمشير,كاني سور,كندل,12,44,19,25
كردستان,بانه,نمشير,كاني سور,گوزله,16,61,34,27
كردستان,بانه,نمشير,كاني سور,سيدصارم,84,289,147,142
كردستان,بانه,نمشير,كاني سور,مير آباد عليا,50,166,87,79
كردستان,بانه,نمشير,كاني سور,بيلو,48,194,103,91
كردستان,بانه,نمشير,كاني سور,سيوچ سفلي,218,723,372,351
كردستان,بانه,نمشير,كاني سور,سيوچ عليا,64,266,120,146
كردستان,بانه,نمشير,نمه شير,                                                                                                                                                                                                        ,"1,360","5,090","2,561","2,529"
كردستان,بانه,نمشير,نمه شير,نجنه عليا,184,688,337,351
كردستان,بانه,نمشير,نمه شير,پياوين,54,179,89,90
كردستان,بانه,نمشير,نمه شير,سپيداره,52,186,100,86
كردستان,بانه,نمشير,نمه شير,سماقان,28,133,68,65
كردستان,بانه,نمشير,نمه شير,شهينان,33,113,52,61
كردستان,بانه,نمشير,نمه شير,كشنه,20,64,34,30
كردستان,بانه,نمشير,نمه شير,منيجلان,115,409,203,206
كردستان,بانه,نمشير,نمه شير,نجنه سفلي,80,311,164,147
كردستان,بانه,نمشير,نمه شير,حسن آباد,12,62,29,33
كردستان,بانه,نمشير,نمه شير,زيويه,138,518,258,260
كردستان,بانه,نمشير,نمه شير,كوخان,152,612,305,307
كردستان,بانه,نمشير,نمه شير,گشكسه,34,145,78,67
كردستان,بانه,نمشير,نمه شير,نمه شير,48,185,91,94
كردستان,بانه,نمشير,نمه شير,سرتزين,0,0,0,0
كردستان,بانه,نمشير,نمه شير,كاني پزمكه,18,71,32,39
كردستان,بانه,نمشير,نمه شير,برده رش,97,423,217,206
كردستان,بانه,نمشير,نمه شير,بناويله كهنه,0,0,0,0
كردستان,بانه,نمشير,نمه شير,بيكش,52,181,98,83
كردستان,بانه,نمشير,نمه شير,پرشه,33,104,53,51
كردستان,بانه,نمشير,نمه شير,دول ارزن,119,402,202,200
كردستان,بانه,نمشير,نمه شير,سوتو,29,105,55,50
كردستان,بانه,نمشير,نمه شير,كاني سماقان,0,0,0,0
كردستان,بانه,نمشير,نمه شير,هلو,31,97,48,49
كردستان,بانه,نمشير,نمه شير,هورازه,31,102,48,54
كردستان,بانه,نمشير,بوالحسن,                                                                                                                                                                                                        ,"1,571","5,614","2,871","2,743"
كردستان,بانه,نمشير,بوالحسن,انجينه ابراهيم شمالي,81,273,129,144
كردستان,بانه,نمشير,بوالحسن,انجينه سفلي,72,257,134,123
كردستان,بانه,نمشير,بوالحسن,برده رش,86,307,159,148
كردستان,بانه,نمشير,بوالحسن,خجك,0,0,0,0
كردستان,بانه,نمشير,بوالحسن,صاله,71,239,129,110
كردستان,بانه,نمشير,بوالحسن,كيوه رود,45,153,83,70
كردستان,بانه,نمشير,بوالحسن,گله سوره,43,157,89,68
كردستان,بانه,نمشير,بوالحسن,مالته,73,224,117,107
كردستان,بانه,نمشير,بوالحسن,انجينه ابراهيم جنوبي,28,101,43,58
كردستان,بانه,نمشير,بوالحسن,آلوت,240,870,432,438
كردستان,بانه,نمشير,بوالحسن,چومان,106,371,204,167
كردستان,بانه,نمشير,بوالحسن,زلي,78,266,141,125
كردستان,بانه,نمشير,بوالحسن,سرسول,76,228,120,108
كردستان,بانه,نمشير,بوالحسن,عمره سيت,24,91,42,49
كردستان,بانه,نمشير,بوالحسن,آلي مكان,11,49,22,27
كردستان,بانه,نمشير,بوالحسن,برده بوك,30,111,52,59
كردستان,بانه,نمشير,بوالحسن,بوالحسن,347,"1,298",673,625
كردستان,بانه,نمشير,بوالحسن,كاني سيب,35,136,69,67
كردستان,بانه,نمشير,بوالحسن,گوره دار,69,278,137,141
كردستان,بانه,نمشير,بوالحسن,مزرلان,56,205,96,109
كردستان,بانه,نمشير,كاني سور,                                                                                                                                                                                                        ,368,"1,284",657,627
كردستان,بانه,ننور,                                                                                                    ,                                                                                                                                                                                                        ,"2,518","9,469","4,899","4,570"
كردستان,بانه,ننور,بوئين,                                                                                                                                                                                                        ,"1,198","4,467","2,336","2,131"
كردستان,بانه,ننور,بوئين,سورين,117,458,241,217
كردستان,بانه,ننور,بوئين,كويره گويزه,10,36,20,16
كردستان,بانه,ننور,بوئين,هواره خول,47,154,82,72
كردستان,بانه,ننور,بوئين,بادمجان,31,118,57,61
كردستان,بانه,ننور,بوئين,بياندره,118,433,229,204
كردستان,بانه,ننور,بوئين,كاني پري,14,40,22,18
كردستان,بانه,ننور,بوئين,وزمله,48,191,98,93
كردستان,بانه,ننور,بوئين,هفت تاش,48,181,93,88
كردستان,بانه,ننور,بوئين,مرقد,14,57,26,31
كردستان,بانه,ننور,بوئين,انجيله,42,144,71,73
كردستان,بانه,ننور,بوئين,بژي,50,207,114,93
كردستان,بانه,ننور,بوئين,بوئين عليا,91,338,177,161
كردستان,بانه,ننور,بوئين,پيرغني,0,0,0,0
كردستان,بانه,ننور,بوئين,چي چوران,78,339,180,159
كردستان,بانه,ننور,بوئين,دوسينه,61,225,108,117
كردستان,بانه,ننور,بوئين,سفيدكمره,21,80,41,39
كردستان,بانه,ننور,بوئين,كيوله,41,151,81,70
كردستان,بانه,ننور,بوئين,قلي قرزان,0,0,0,0
كردستان,بانه,ننور,بوئين,باشوان,27,97,53,44
كردستان,بانه,ننور,بوئين,كلاه دول,7,22,13,9
كردستان,بانه,ننور,بوئين,وشترمل,0,0,0,0
كردستان,بانه,ننور,بوئين,درگاه شيخان,26,91,51,40
كردستان,بانه,ننور,بوئين,كاني خراط,*         ,*         ,*         ,*         
كردستان,بانه,ننور,بوئين,كاني سيف,6,22,14,8
كردستان,بانه,ننور,بوئين,كاني شيلان,13,51,31,20
كردستان,بانه,ننور,بوئين,كريم آباد,76,295,153,142
كردستان,بانه,ننور,بوئين,كوخ حاجي كريم,*         ,*         ,*         ,*         
كردستان,بانه,ننور,بوئين,گويزله,78,258,135,123
كردستان,بانه,ننور,بوئين,محمد علي آباد,14,62,30,32
كردستان,بانه,ننور,بوئين,ناوه,42,159,83,76
كردستان,بانه,ننور,بوئين,ولي آباد,73,241,123,118
كردستان,بانه,ننور,ننور,                                                                                                                                                                                                        ,917,"3,484","1,762","1,722"
كردستان,بانه,ننور,ننور,برويشكاني,24,84,43,41
كردستان,بانه,ننور,ننور,خوري آباد,163,580,287,293
كردستان,بانه,ننور,ننور,سرتزين,22,75,37,38
كردستان,بانه,ننور,ننور,ششه,27,108,52,56
كردستان,بانه,ننور,ننور,شيلمان,16,65,28,37
كردستان,بانه,ننور,ننور,قول استر,76,302,148,154
كردستان,بانه,ننور,ننور,ميرگلاب,0,0,0,0
كردستان,بانه,ننور,ننور,ندر,5,11,6,5
كردستان,بانه,ننور,ننور,ننور,178,679,353,326
كردستان,بانه,ننور,ننور,اشتر آباد,47,185,93,92
كردستان,بانه,ننور,ننور,سيران بند,*         ,*         ,*         ,*         
كردستان,بانه,ننور,ننور,قلي آباد,13,54,29,25
كردستان,بانه,ننور,ننور,كاني سور,7,41,26,15
كردستان,بانه,ننور,ننور,كيله عباس آباد,289,"1,122",557,565
كردستان,بانه,ننور,ننور,هلاله ابراهيم,0,0,0,0
كردستان,بانه,ننور,ننور,هنگه ژال,45,162,95,67
كردستان,بانه,ننور,ننور,كاني شيلمه,4,12,5,7
كردستان,بانه,ننور,ننور,بازارچه مرزي سيران بند,0,0,0,0
كردستان,بانه,ننور,بوئين سفلي,                                                                                                                                                                                                        ,403,"1,518",801,717
كردستان,بيجار,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"27,759","89,162","44,832","44,330"
كردستان,بيجار,چنگ الماس,                                                                                                    ,                                                                                                                                                                                                        ,"3,248","10,737","5,309","5,428"
كردستان,بيجار,چنگ الماس,بابارشاني,                                                                                                                                                                                                        ,687,"2,050","1,012","1,038"
كردستان,بيجار,چنگ الماس,بابارشاني,باباكرم,11,27,15,12
كردستان,بيجار,چنگ الماس,بابارشاني,چلانه,0,0,0,0
كردستان,بيجار,چنگ الماس,بابارشاني,خان آباد,0,0,0,0
كردستان,بيجار,چنگ الماس,بابارشاني,ده بنه,11,31,19,12
كردستان,بيجار,چنگ الماس,بابارشاني,رضا آباد,0,0,0,0
كردستان,بيجار,چنگ الماس,بابارشاني,علي آباد,0,0,0,0
كردستان,بيجار,چنگ الماس,بابارشاني,قاضي آباد,0,0,0,0
كردستان,بيجار,چنگ الماس,بابارشاني,گراچقا,23,74,33,41
كردستان,بيجار,چنگ الماس,بابارشاني,ميل سفيد,0,0,0,0
كردستان,بيجار,چنگ الماس,بابارشاني,چهل اميران,0,0,0,0
كردستان,بيجار,چنگ الماس,بابارشاني,دولت يار,*         ,*         ,*         ,*         
كردستان,بيجار,چنگ الماس,بابارشاني,سيرلان,22,64,35,29
كردستان,بيجار,چنگ الماس,بابارشاني,آغكند سفلي,0,0,0,0
كردستان,بيجار,چنگ الماس,بابارشاني,آغكند عليا,45,133,57,76
كردستان,بيجار,چنگ الماس,بابارشاني,باقر آباد,7,16,8,8
كردستان,بيجار,چنگ الماس,بابارشاني,جوروندي,32,101,55,46
كردستان,بيجار,چنگ الماس,بابارشاني,چشمه آدينه,0,0,0,0
كردستان,بيجار,چنگ الماس,بابارشاني,دارغياث,93,280,133,147
كردستان,بيجار,چنگ الماس,بابارشاني,سبزوار,0,0,0,0
كردستان,بيجار,چنگ الماس,بابارشاني,شبرتو,37,106,50,56
كردستان,بيجار,چنگ الماس,بابارشاني,شوشتري,9,29,16,13
كردستان,بيجار,چنگ الماس,بابارشاني,طهمورث,15,44,23,21
كردستان,بيجار,چنگ الماس,بابارشاني,قزل آغاج,22,67,32,35
كردستان,بيجار,چنگ الماس,بابارشاني,هزارخان,0,0,0,0
كردستان,بيجار,چنگ الماس,بابارشاني,جبرئيل,107,336,156,180
كردستان,بيجار,چنگ الماس,بابارشاني,سلامت آباد,13,37,16,21
كردستان,بيجار,چنگ الماس,بابارشاني,كهريز,65,196,96,100
كردستان,بيجار,چنگ الماس,بابارشاني,قره دربند,18,56,29,27
كردستان,بيجار,چنگ الماس,بابارشاني,كنامار,5,13,8,5
كردستان,بيجار,چنگ الماس,بابارشاني,گوجه كند,40,141,80,61
كردستان,بيجار,چنگ الماس,بابارشاني,خانباغي,66,174,86,88
كردستان,بيجار,چنگ الماس,بابارشاني,كلوچه,21,48,23,25
كردستان,بيجار,چنگ الماس,بابارشاني,سيف آباد,10,35,17,18
كردستان,بيجار,چنگ الماس,بابارشاني,قوري چاي,13,34,21,13
كردستان,بيجار,چنگ الماس,پيرتاج,                                                                                                                                                                                                        ,"1,083","3,845","1,912","1,933"
كردستان,بيجار,چنگ الماس,پيرتاج,همايون,98,340,152,188
كردستان,بيجار,چنگ الماس,پيرتاج,حاجي آباد,0,0,0,0
كردستان,بيجار,چنگ الماس,پيرتاج,خدايي,0,0,0,0
كردستان,بيجار,چنگ الماس,پيرتاج,خوجوندگنجينه,0,0,0,0
كردستان,بيجار,چنگ الماس,پيرتاج,شاه گدارسفلي,12,35,18,17
كردستان,بيجار,چنگ الماس,پيرتاج,شاه گدارعليا,0,0,0,0
كردستان,بيجار,چنگ الماس,پيرتاج,شيرين سو,0,0,0,0
كردستان,بيجار,چنگ الماس,پيرتاج,قزانقره,117,370,177,193
كردستان,بيجار,چنگ الماس,پيرتاج,گاوبازه,94,315,162,153
كردستان,بيجار,چنگ الماس,پيرتاج,ينگي كند,44,176,82,94
كردستان,بيجار,چنگ الماس,پيرتاج,كاكاعباس,120,450,229,221
كردستان,بيجار,چنگ الماس,پيرتاج,كچه گنبد,32,105,56,49
كردستان,بيجار,چنگ الماس,پيرتاج,گوگقاش,18,51,25,26
كردستان,بيجار,چنگ الماس,پيرتاج,آقبلاغ چنگ الماس,46,153,73,80
كردستان,بيجار,چنگ الماس,پيرتاج,چشمه آدينه,97,363,184,179
كردستان,بيجار,چنگ الماس,پيرتاج,سد تلوار,0,0,0,0
كردستان,بيجار,چنگ الماس,پيرتاج,جعفر آباد,43,142,69,73
كردستان,بيجار,چنگ الماس,پيرتاج,حسن تيمورعليا,120,423,210,213
كردستان,بيجار,چنگ الماس,پيرتاج,فتح آباد,16,56,24,32
كردستان,بيجار,چنگ الماس,پيرتاج,زينل,226,866,451,415
كردستان,بيجار,چنگ الماس,خسروآباد,                                                                                                                                                                                                        ,956,"3,134","1,531","1,603"
كردستان,بيجار,چنگ الماس,خسروآباد,اشرف آباد قوچ,40,120,55,65
كردستان,بيجار,چنگ الماس,خسروآباد,چشمه خليل,*         ,*         ,*         ,*         
كردستان,بيجار,چنگ الماس,خسروآباد,چشمه روباه,58,193,93,100
كردستان,بيجار,چنگ الماس,خسروآباد,حاجي آباد,18,53,29,24
كردستان,بيجار,چنگ الماس,خسروآباد,خسرو آباد,148,432,209,223
كردستان,بيجار,چنگ الماس,خسروآباد,دوسر,24,91,46,45
كردستان,بيجار,چنگ الماس,خسروآباد,قديم خان,49,139,67,72
كردستان,بيجار,چنگ الماس,خسروآباد,امين آباد,9,28,15,13
كردستان,بيجار,چنگ الماس,خسروآباد,بودلا,31,101,49,52
كردستان,بيجار,چنگ الماس,خسروآباد,چشمه قلي,29,105,52,53
كردستان,بيجار,چنگ الماس,خسروآباد,خزردين,18,59,32,27
كردستان,بيجار,چنگ الماس,خسروآباد,زرين آباد,22,78,34,44
كردستان,بيجار,چنگ الماس,خسروآباد,صادق آباد,7,24,13,11
كردستان,بيجار,چنگ الماس,خسروآباد,قرخلر,41,132,60,72
كردستان,بيجار,چنگ الماس,خسروآباد,خودلان,75,221,115,106
كردستان,بيجار,چنگ الماس,خسروآباد,زرين جوب,11,35,20,15
كردستان,بيجار,چنگ الماس,خسروآباد,شهرك سفلي,62,231,117,114
كردستان,بيجار,چنگ الماس,خسروآباد,گاودانه زار,4,11,8,3
كردستان,بيجار,چنگ الماس,خسروآباد,محمد آباد نيل,57,197,85,112
كردستان,بيجار,چنگ الماس,خسروآباد,چشمه منتش,250,876,427,449
كردستان,بيجار,چنگ الماس,بابارشاني,                                                                                                                                                                                                        ,160,509,253,256
كردستان,بيجار,چنگ الماس,پيرتاج,                                                                                                                                                                                                        ,362,"1,199",601,598
كردستان,بيجار,كراني,                                                                                                    ,                                                                                                                                                                                                        ,"3,800","12,537","6,367","6,170"
كردستان,بيجار,كراني,طغامين,                                                                                                                                                                                                        ,908,"3,137","1,595","1,542"
كردستان,بيجار,كراني,طغامين,آغكند,41,151,79,72
كردستان,بيجار,كراني,طغامين,بستاندره,54,201,91,110
