Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
همدان,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"538,803","1,738,234","880,318","857,916"
همدان,تويسركان,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"33,537","101,666","51,037","50,629"
همدان,تويسركان,قلقل رود,                                                                                                    ,                                                                                                                                                                                                        ,"5,178","16,773","8,505","8,268"
همدان,تويسركان,قلقل رود,قلقل رود,                                                                                                                                                                                                        ,"1,429","4,686","2,384","2,302"
همدان,تويسركان,قلقل رود,قلقل رود,برفيان,34,112,51,61
همدان,تويسركان,قلقل رود,قلقل رود,جرا,169,626,303,323
همدان,تويسركان,قلقل رود,قلقل رود,گليان,26,72,37,35
همدان,تويسركان,قلقل رود,قلقل رود,منجان,124,429,238,191
همدان,تويسركان,قلقل رود,قلقل رود,برگچه,72,243,117,126
همدان,تويسركان,قلقل رود,قلقل رود,چاشت خوره,212,681,348,333
همدان,تويسركان,قلقل رود,قلقل رود,سادات آباد,15,45,22,23
همدان,تويسركان,قلقل رود,قلقل رود,حاجي تو,111,324,163,161
همدان,تويسركان,قلقل رود,قلقل رود,فتح آباد,34,130,70,60
همدان,تويسركان,قلقل رود,قلقل رود,کريم آباد,137,438,237,201
همدان,تويسركان,قلقل رود,قلقل رود,اکبرآباد,26,83,41,42
همدان,تويسركان,قلقل رود,قلقل رود,قاسم آباد,145,504,253,251
همدان,تويسركان,قلقل رود,قلقل رود,قلي لاله سفلي,97,303,155,148
همدان,تويسركان,قلقل رود,قلقل رود,قلي لاله عليا,14,59,33,26
همدان,تويسركان,قلقل رود,قلقل رود,هزاره,0,0,0,0
همدان,تويسركان,قلقل رود,قلقل رود,سوتلق,213,637,316,321
همدان,تويسركان,قلقل رود,كمال رود,                                                                                                                                                                                                        ,715,"2,330","1,162","1,168"
همدان,تويسركان,قلقل رود,كمال رود,ابودردا,28,82,43,39
همدان,تويسركان,قلقل رود,كمال رود,احمدآباد,52,190,96,94
همدان,تويسركان,قلقل رود,كمال رود,باباكمال,209,610,324,286
همدان,تويسركان,قلقل رود,كمال رود,بوستاندر,0,0,0,0
همدان,تويسركان,قلقل رود,كمال رود,درواز,17,50,23,27
همدان,تويسركان,قلقل رود,كمال رود,زاغه,0,0,0,0
همدان,تويسركان,قلقل رود,كمال رود,گل زرد,8,24,12,12
همدان,تويسركان,قلقل رود,كمال رود,هرهره,7,24,13,11
همدان,تويسركان,قلقل رود,كمال رود,يعقوب آباد,58,169,95,74
همدان,تويسركان,قلقل رود,كمال رود,حميل آباد,63,216,110,106
همدان,تويسركان,قلقل رود,كمال رود,ميانده,273,965,446,519
همدان,تويسركان,قلقل رود,ميان رود,                                                                                                                                                                                                        ,"2,577","8,231","4,212","4,019"
همدان,تويسركان,قلقل رود,ميان رود,شان آباد,247,733,363,370
همدان,تويسركان,قلقل رود,ميان رود,مين آباد,76,264,145,119
همدان,تويسركان,قلقل رود,ميان رود,هوش,48,158,83,75
همدان,تويسركان,قلقل رود,ميان رود,تقي آباد,67,216,120,96
همدان,تويسركان,قلقل رود,ميان رود,سازيان,77,272,147,125
همدان,تويسركان,قلقل رود,ميان رود,سگاوي,78,251,121,130
همدان,تويسركان,قلقل رود,ميان رود,تپه كبود,0,0,0,0
همدان,تويسركان,قلقل رود,ميان رود,كنجوران سفلي,137,414,215,199
همدان,تويسركان,قلقل رود,ميان رود,كنجوران عليا,59,203,101,102
همدان,تويسركان,قلقل رود,ميان رود,كنجوران وسطي,15,55,32,23
همدان,تويسركان,قلقل رود,ميان رود,مزرعه مياندره/ملک منصور,0,0,0,0
همدان,تويسركان,قلقل رود,ميان رود,ولاشجرد,288,934,444,490
همدان,تويسركان,قلقل رود,ميان رود,باقرآباد,8,25,14,11
همدان,تويسركان,قلقل رود,ميان رود,علي آباد,41,133,65,68
همدان,تويسركان,قلقل رود,ميان رود,گاوكران,44,134,63,71
همدان,تويسركان,قلقل رود,ميان رود,مبارک آباد ويله,0,0,0,0
همدان,تويسركان,قلقل رود,ميان رود,مراد آباد,179,599,303,296
همدان,تويسركان,قلقل رود,ميان رود,قلعه نو,227,726,371,355
همدان,تويسركان,قلقل رود,ميان رود,كمانكران,67,185,86,99
همدان,تويسركان,قلقل رود,ميان رود,معتصم آباد(جواديه),70,245,131,114
همدان,تويسركان,قلقل رود,ميان رود,لاميان,600,"1,876",980,896
همدان,تويسركان,قلقل رود,ميان رود,قشلاق پوست شوران,59,206,114,92
همدان,تويسركان,قلقل رود,ميان رود,قصبستان,115,372,194,178
همدان,تويسركان,قلقل رود,ميان رود,كارخانه,75,230,120,110
همدان,تويسركان,قلقل رود,فرسفج,                                                                                                                                                                                                        ,457,"1,526",747,779
همدان,تويسركان,مرکزي,                                                                                                    ,                                                                                                                                                                                                        ,"28,326","84,742","42,448","42,294"
همدان,تويسركان,مرکزي,حيقوق نبي,                                                                                                                                                                                                        ,"3,551","10,169","5,063","5,106"
همدان,تويسركان,مرکزي,حيقوق نبي,گل آباد,95,205,101,104
همدان,تويسركان,مرکزي,حيقوق نبي,مبارک آباد,167,417,200,217
همدان,تويسركان,مرکزي,حيقوق نبي,ايستگاه تقويت تلويزيون,0,0,0,0
همدان,تويسركان,مرکزي,حيقوق نبي,آرتيمان,380,"1,033",525,508
همدان,تويسركان,مرکزي,حيقوق نبي,داراني سفلي,146,430,224,206
همدان,تويسركان,مرکزي,حيقوق نبي,داراني عليا,160,469,230,239
همدان,تويسركان,مرکزي,حيقوق نبي,راهدارخانه اداره راه,0,0,0,0
همدان,تويسركان,مرکزي,حيقوق نبي,فرمانيه,0,0,0,0
همدان,تويسركان,مرکزي,حيقوق نبي,امام زاده زيد,471,"1,344",681,663
همدان,تويسركان,مرکزي,حيقوق نبي,ريواسيجان,78,195,90,105
همدان,تويسركان,مرکزي,حيقوق نبي,دورودان/قلعه آجل بيگ,20,61,29,32
همدان,تويسركان,مرکزي,حيقوق نبي,قلعه قاضي,159,451,220,231
همدان,تويسركان,مرکزي,حيقوق نبي,نجفيه,84,190,89,101
همدان,تويسركان,مرکزي,حيقوق نبي,رودآور,198,529,250,279
همدان,تويسركان,مرکزي,حيقوق نبي,قلعه شيخ,26,55,24,31
همدان,تويسركان,مرکزي,حيقوق نبي,جعفريه,487,"1,495",742,753
همدان,تويسركان,مرکزي,حيقوق نبي,نقده,112,342,182,160
همدان,تويسركان,مرکزي,حيقوق نبي,اريكان,155,466,238,228
همدان,تويسركان,مرکزي,حيقوق نبي,چالاب,0,0,0,0
همدان,تويسركان,مرکزي,حيقوق نبي,سهام آباد,108,302,142,160
همدان,تويسركان,مرکزي,حيقوق نبي,قلعه بختيار,9,26,13,13
همدان,تويسركان,مرکزي,حيقوق نبي,ماليچه,130,369,149,220
همدان,تويسركان,مرکزي,حيقوق نبي,محمودآباد,186,605,317,288
همدان,تويسركان,مرکزي,حيقوق نبي,فريازان,380,"1,185",617,568
همدان,تويسركان,مرکزي,خرم رود,                                                                                                                                                                                                        ,"3,212","8,751","4,423","4,328"
همدان,تويسركان,مرکزي,خرم رود,كهنوش,479,"1,077",504,573
همدان,تويسركان,مرکزي,خرم رود,وردآوردعليا,350,865,429,436
همدان,تويسركان,مرکزي,خرم رود,تيميجان,74,170,88,82
همدان,تويسركان,مرکزي,خرم رود,شهرستانه,173,440,214,226
همدان,تويسركان,مرکزي,خرم رود,مزرعه آلوزار,0,0,0,0
همدان,تويسركان,مرکزي,خرم رود,سيستانه,55,110,54,56
همدان,تويسركان,مرکزي,خرم رود,قلعه استيجان,76,161,84,77
همدان,تويسركان,مرکزي,خرم رود,وردآوردسفلي,54,132,69,63
همدان,تويسركان,مرکزي,خرم رود,وردآوردوسطي,79,169,76,93
همدان,تويسركان,مرکزي,خرم رود,کندر,397,"1,171",579,592
همدان,تويسركان,مرکزي,خرم رود,ابدالان,88,315,161,154
همدان,تويسركان,مرکزي,خرم رود,ابرلاق سفلي,36,100,54,46
همدان,تويسركان,مرکزي,خرم رود,ابرلاق عليا,31,97,55,42
همدان,تويسركان,مرکزي,خرم رود,نجف آباد,34,100,46,54
همدان,تويسركان,مرکزي,خرم رود,اشتران,362,"1,074",593,481
همدان,تويسركان,مرکزي,خرم رود,حاجي آباد,233,630,312,318
همدان,تويسركان,مرکزي,خرم رود,قلقل,387,"1,212",637,575
همدان,تويسركان,مرکزي,خرم رود,ترميانك,111,356,172,184
همدان,تويسركان,مرکزي,خرم رود,سوري,34,99,48,51
همدان,تويسركان,مرکزي,خرم رود,بهاراب,57,163,85,78
همدان,تويسركان,مرکزي,خرم رود,گنبله,102,310,163,147
همدان,تويسركان,مرکزي,سيدشهاب,                                                                                                                                                                                                        ,"2,412","7,854","4,055","3,799"
همدان,تويسركان,مرکزي,سيدشهاب,شوق آباد,59,197,89,108
همدان,تويسركان,مرکزي,سيدشهاب,پيرغيب,56,157,78,79
همدان,تويسركان,مرکزي,سيدشهاب,سيدشهاب,"1,026","3,408","1,758","1,650"
همدان,تويسركان,مرکزي,سيدشهاب,اشترمل,537,"1,774",920,854
همدان,تويسركان,مرکزي,سيدشهاب,بادامك,149,430,219,211
همدان,تويسركان,مرکزي,سيدشهاب,خير آباد,56,154,83,71
همدان,تويسركان,مرکزي,سيدشهاب,دولايي,69,253,129,124
همدان,تويسركان,مرکزي,سيدشهاب,سنگ سفيد,39,116,65,51
همدان,تويسركان,مرکزي,سيدشهاب,جيجان كوه,421,"1,365",714,651
همدان,تويسركان,مرکزي,كرزان رود,                                                                                                                                                                                                        ,"1,368","3,432","1,628","1,804"
همدان,تويسركان,مرکزي,كرزان رود,زيوج,*         ,*         ,*         ,*         
همدان,تويسركان,مرکزي,كرزان رود,قلعه نوروز,75,213,103,110
همدان,تويسركان,مرکزي,كرزان رود,كرزان,171,440,195,245
همدان,تويسركان,مرکزي,كرزان رود,كلنجان,49,114,58,56
همدان,تويسركان,مرکزي,كرزان رود,مزرعه محمدآباد,0,0,0,0
همدان,تويسركان,مرکزي,كرزان رود,باباپيرعلي,220,606,308,298
همدان,تويسركان,مرکزي,كرزان رود,بوجان,98,262,123,139
همدان,تويسركان,مرکزي,كرزان رود,ارزووج,58,130,59,71
همدان,تويسركان,مرکزي,كرزان رود,سنجوزان,79,174,73,101
همدان,تويسركان,مرکزي,كرزان رود,گشاني,207,541,254,287
همدان,تويسركان,مرکزي,كرزان رود,باباپير,408,946,452,494
همدان,تويسركان,مرکزي,تويسركان,                                                                                                                                                                                                        ,"16,291","50,455","25,388","25,067"
همدان,تويسركان,مرکزي,سركان,                                                                                                                                                                                                        ,"1,492","4,081","1,891","2,190"
همدان,ملاير,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"89,762","288,685","145,199","143,486"
همدان,ملاير,جوكار,                                                                                                    ,                                                                                                                                                                                                        ,"11,326","37,046","18,808","18,238"
همدان,ملاير,جوكار,المهدي,                                                                                                                                                                                                        ,"2,667","8,101","3,969","4,132"
همدان,ملاير,جوكار,المهدي,حسن آباد قوش بلاغ,57,169,87,82
همدان,ملاير,جوكار,المهدي,ده شاكر,138,435,216,219
همدان,ملاير,جوكار,المهدي,زمان آبادمحمدآباد,14,44,25,19
همدان,ملاير,جوكار,المهدي,زيرابيه,36,113,64,49
همدان,ملاير,جوكار,المهدي,كوسج خليل,63,192,103,89
همدان,ملاير,جوكار,المهدي,حسين آبادشاملو,592,"1,799",866,933
همدان,ملاير,جوكار,المهدي,دهنو علي آباد,384,"1,210",603,607
