Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
چهارمحال وبختيارئ,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"270,434","947,763","482,356","465,407"
چهارمحال وبختيارئ,بروجن,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"36,238","122,483","62,141","60,342"
چهارمحال وبختيارئ,بروجن,گندمان,                                                                                                    ,                                                                                                                                                                                                        ,"4,694","15,803","8,193","7,610"
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,                                                                                                                                                                                                        ,"1,393","4,622","2,403","2,219"
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,بيژگرد,168,572,295,277
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,چرمينه,8,18,8,10
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,سناجان,51,145,72,73
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,معموره,148,491,250,241
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,قطب صنعتي گندمان,4,6,5,1
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,كنارك بالا,299,"1,058",554,504
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,كنارك پائين,78,292,149,143
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,مورچگان,196,635,338,297
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,وستگان,150,514,269,245
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,حسين اباد,84,271,144,127
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,كتك سفلي,20,57,29,28
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,كتك عليا,40,133,68,65
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,نصيراباد,147,430,222,208
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,                                                                                                                                                                                                        ,"1,449","4,890","2,548","2,342"
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,چشمه علي,24,50,24,26
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,دوراهان,207,712,407,305
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,ده باغ,0,0,0,0
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,ده توت,24,73,40,33
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,ده خدا,24,70,36,34
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,ده علي,0,0,0,0
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,سرپير,0,0,0,0
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,گردبيشه,16,31,16,15
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,له دراز,44,135,68,67
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,شمس اباد,0,0,0,0
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,تگرگ اب,18,78,38,40
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,كردشامي,180,627,336,291
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,گداركبك,32,112,54,58
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,سولگان,81,244,119,125
چهارمحال وبختيارئ,بروجن,گندمان,دوراهان,امام قيس,799,"2,758","1,410","1,348"
چهارمحال وبختيارئ,بروجن,گندمان,گندمان,                                                                                                                                                                                                        ,"1,852","6,291","3,242","3,049"
