Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
لرستان,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"509,025","1,760,649","892,889","867,760"
لرستان,اليگودرز,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"38,503","137,534","70,579","66,955"
لرستان,اليگودرز,ززوماهرو,                                                                                                    ,                                                                                                                                                                                                        ,"2,455","9,584","5,113","4,471"
لرستان,اليگودرز,ززوماهرو,ززشرقي,                                                                                                                                                                                                        ,"1,268","4,904","2,619","2,285"
لرستان,اليگودرز,ززوماهرو,ززشرقي,اب گرمگ,6,32,15,17
لرستان,اليگودرز,ززوماهرو,ززشرقي,اذروند,*         ,*         ,*         ,*         
لرستان,اليگودرز,ززوماهرو,ززشرقي,بنگ,10,34,19,15
لرستان,اليگودرز,ززوماهرو,ززشرقي,تيرنان,5,29,14,15
لرستان,اليگودرز,ززوماهرو,ززشرقي,چال گرد,21,87,46,41
لرستان,اليگودرز,ززوماهرو,ززشرقي,چکان حسين اباد,16,68,37,31
لرستان,اليگودرز,ززوماهرو,ززشرقي,دستگرد,42,117,73,44
لرستان,اليگودرز,ززوماهرو,ززشرقي,دشت خاني,4,25,13,12
لرستان,اليگودرز,ززوماهرو,ززشرقي,دهقادي,19,81,44,37
لرستان,اليگودرز,ززوماهرو,ززشرقي,زيبا,9,50,21,29
لرستان,اليگودرز,ززوماهرو,ززشرقي,فيروزآباد,62,296,154,142
لرستان,اليگودرز,ززوماهرو,ززشرقي,کيگوران,65,161,93,68
لرستان,اليگودرز,ززوماهرو,ززشرقي,گل سفيد,13,59,33,26
لرستان,اليگودرز,ززوماهرو,ززشرقي,گله يار,54,233,115,118
لرستان,اليگودرز,ززوماهرو,ززشرقي,گلي چاس,46,204,120,84
لرستان,اليگودرز,ززوماهرو,ززشرقي,ماديان مرده,*         ,*         ,*         ,*         
لرستان,اليگودرز,ززوماهرو,ززشرقي,نصراباد,19,75,41,34
لرستان,اليگودرز,ززوماهرو,ززشرقي,رشکان,4,17,9,8
لرستان,اليگودرز,ززوماهرو,ززشرقي,ورگ,9,30,20,10
لرستان,اليگودرز,ززوماهرو,ززشرقي,گلال زراع,7,12,7,5
لرستان,اليگودرز,ززوماهرو,ززشرقي,نمک چال,0,0,0,0
لرستان,اليگودرز,ززوماهرو,ززشرقي,پرپيش,*         ,*         ,*         ,*         
لرستان,اليگودرز,ززوماهرو,ززشرقي,تاوبر,7,35,18,17
لرستان,اليگودرز,ززوماهرو,ززشرقي,رضودر,*         ,*         ,*         ,*         
لرستان,اليگودرز,ززوماهرو,ززشرقي,سيلاو,7,23,12,11
لرستان,اليگودرز,ززوماهرو,ززشرقي,شاهرود,27,107,52,55
لرستان,اليگودرز,ززوماهرو,ززشرقي,قاديان,34,147,83,64
لرستان,اليگودرز,ززوماهرو,ززشرقي,کاداود,4,21,14,7
لرستان,اليگودرز,ززوماهرو,ززشرقي,کديور,50,250,135,115
لرستان,اليگودرز,ززوماهرو,ززشرقي,کانکره,14,34,18,16
لرستان,اليگودرز,ززوماهرو,ززشرقي,مواره,*         ,*         ,*         ,*         
لرستان,اليگودرز,ززوماهرو,ززشرقي,موس,26,98,48,50
لرستان,اليگودرز,ززوماهرو,ززشرقي,سرکول,*         ,*         ,*         ,*         
لرستان,اليگودرز,ززوماهرو,ززشرقي,گوشه چال بزرگ,4,14,7,7
لرستان,اليگودرز,ززوماهرو,ززشرقي,ديگه,9,53,29,24
لرستان,اليگودرز,ززوماهرو,ززشرقي,احمدآباد,*         ,*         ,*         ,*         
لرستان,اليگودرز,ززوماهرو,ززشرقي,پيرامام,149,580,318,262
لرستان,اليگودرز,ززوماهرو,ززشرقي,بهارکار,6,21,11,10
لرستان,اليگودرز,ززوماهرو,ززشرقي,چالگردکشت ورزه,41,144,69,75
لرستان,اليگودرز,ززوماهرو,ززشرقي,خيراباد,4,15,9,6
لرستان,اليگودرز,ززوماهرو,ززشرقي,دره تاريک,*         ,*         ,*         ,*         
لرستان,اليگودرز,ززوماهرو,ززشرقي,ده پره کشت ورزه جعفرقلي,4,24,9,15
لرستان,اليگودرز,ززوماهرو,ززشرقي,ده سيدکشت ورزه,6,22,11,11
لرستان,اليگودرز,ززوماهرو,ززشرقي,رشيداباد,28,99,45,54
لرستان,اليگودرز,ززوماهرو,ززشرقي,سربيشه,8,35,20,15
لرستان,اليگودرز,ززوماهرو,ززشرقي,سرقلعه,*         ,*         ,*         ,*         
لرستان,اليگودرز,ززوماهرو,ززشرقي,سري کوه,24,73,31,42
لرستان,اليگودرز,ززوماهرو,ززشرقي,سه سوک,19,92,51,41
لرستان,اليگودرز,ززوماهرو,ززشرقي,علي آباد کشت ورزه,35,125,63,62
لرستان,اليگودرز,ززوماهرو,ززشرقي,گاوسر,*         ,*         ,*         ,*         
لرستان,اليگودرز,ززوماهرو,ززشرقي,ليرحسين چلي,*         ,*         ,*         ,*         
