Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
ايلام,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"159,310","580,158","295,199","284,959"
ايلام,ايلام,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"64,671","235,144","119,293","115,851"
ايلام,ايلام,چوار,                                                                                                    ,                                                                                                                                                                                                        ,"2,752","10,554","5,433","5,121"
ايلام,ايلام,چوار,اركوازئ,                                                                                                                                                                                                        ,915,"3,702","2,025","1,677"
ايلام,ايلام,چوار,اركوازئ,اواره (بهارستان),6,20,7,13
ايلام,ايلام,چوار,اركوازئ,بان زيارت,*         ,*         ,*         ,*         
ايلام,ايلام,چوار,اركوازئ,بان سرو,42,163,81,82
ايلام,ايلام,چوار,اركوازئ,بان کل والي,8,31,19,12
ايلام,ايلام,چوار,اركوازئ,بان سوهان,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,برجعلي,5,27,19,8
ايلام,ايلام,چوار,اركوازئ,بگ بگ بان خشگ,14,57,30,27
ايلام,ايلام,چوار,اركوازئ,پارده,48,165,78,87
ايلام,ايلام,چوار,اركوازئ,چم ژيه,11,42,16,26
ايلام,ايلام,چوار,اركوازئ,چم شاطر,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,چگا,36,130,67,63
ايلام,ايلام,چوار,اركوازئ,چنان,20,69,41,28
ايلام,ايلام,چوار,اركوازئ,حاجي بختيار,12,43,20,23
ايلام,ايلام,چوار,اركوازئ,داره ميرناصر,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,زمزمان,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,طاق تاوي,4,9,4,5
ايلام,ايلام,چوار,اركوازئ,قلعه دولگ,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,شهيدرجايي,14,52,24,28
ايلام,ايلام,چوار,اركوازئ,چنارگ,*         ,*         ,*         ,*         
ايلام,ايلام,چوار,اركوازئ,امام زاده سيد عيسي,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,انارك,12,45,23,22
ايلام,ايلام,چوار,اركوازئ,آوه زا,58,234,117,117
ايلام,ايلام,چوار,اركوازئ,بان امرود,10,31,17,14
ايلام,ايلام,چوار,اركوازئ,بان ويزه,20,66,40,26
ايلام,ايلام,چوار,اركوازئ,بوالحسن,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,پلكانه,*         ,*         ,*         ,*         
ايلام,ايلام,چوار,اركوازئ,پلك گردل,5,19,10,9
ايلام,ايلام,چوار,اركوازئ,پلك لك,35,140,62,78
ايلام,ايلام,چوار,اركوازئ,تازه اباد مله سياه,*         ,*         ,*         ,*         
ايلام,ايلام,چوار,اركوازئ,چشمه سرخ,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,چقاكبود,8,24,11,13
ايلام,ايلام,چوار,اركوازئ,چمسارد,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,داربيد,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,سركمر,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,سنجاويان,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,لاشكن,59,224,115,109
ايلام,ايلام,چوار,اركوازئ,پالايشگاه گاز,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,چشمه شيرالي,8,28,15,13
ايلام,ايلام,چوار,اركوازئ,پالايشگاه پتروشيمي,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,تنگ حمام,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,مورت,284,"1,088",558,530
ايلام,ايلام,چوار,اركوازئ,راه سفيد,28,108,56,52
ايلام,ايلام,چوار,اركوازئ,راهداري تونل,0,0,0,0
ايلام,ايلام,چوار,اركوازئ,پاسگاه راهنمايي ورانندگي چوار,*         ,*         ,*         ,*         
ايلام,ايلام,چوار,اركوازئ,سلطان اباد,8,23,12,11
ايلام,ايلام,چوار,اركوازئ,گله جار,81,311,163,148
ايلام,ايلام,چوار,اركوازئ,هركبودگلزار,32,103,44,59
ايلام,ايلام,چوار,اركوازئ,ندامتگاه دال آب,*         ,*         ,*         ,*         
ايلام,ايلام,چوار,اركوازئ,شهرك صنعتي ايلام,8,26,14,12
ايلام,ايلام,چوار,اركوازئ,مرغداري 25000قطعه اي چوار,*         ,*         ,*         ,*         
ايلام,ايلام,چوار,اركوازئ,گلزارحداد,29,99,48,51
ايلام,ايلام,چوار,بولي,                                                                                                                                                                                                        ,275,"1,021",497,524
ايلام,ايلام,چوار,بولي,پاچم دهارون,27,92,47,45
ايلام,ايلام,چوار,بولي,پاقلعه,30,105,56,49
ايلام,ايلام,چوار,بولي,تلخ اب,0,0,0,0
ايلام,ايلام,چوار,بولي,چمن سيدمحمد,33,123,59,64
ايلام,ايلام,چوار,بولي,دارتوت,13,46,23,23
ايلام,ايلام,چوار,بولي,ريزه وند,4,17,9,8
ايلام,ايلام,چوار,بولي,سرچم دهارون,12,49,16,33
ايلام,ايلام,چوار,بولي,سرچم لو,4,22,13,9
ايلام,ايلام,چوار,بولي,سر تنگ بيجار,9,27,9,18
ايلام,ايلام,چوار,بولي,شيرين اب,0,0,0,0
ايلام,ايلام,چوار,بولي,قبله,17,86,39,47
ايلام,ايلام,چوار,بولي,كبوتركنا,0,0,0,0
ايلام,ايلام,چوار,بولي,كمانه كبود,0,0,0,0
ايلام,ايلام,چوار,بولي,گره چقا,9,32,17,15
ايلام,ايلام,چوار,بولي,گنجوان,80,292,141,151
ايلام,ايلام,چوار,بولي,ميرمكان,14,52,29,23
ايلام,ايلام,چوار,بولي,ورحال  چشمه رمضان,16,56,28,28
ايلام,ايلام,چوار,بولي,سر پيتک,4,11,6,5
ايلام,ايلام,چوار,بولي,گلال شهدائ,0,0,0,0
ايلام,ايلام,چوار,بولي,پاسگاه مرزي ميمک,0,0,0,0
ايلام,ايلام,چوار,بولي,پاسگاه مرزي هلاله شمالي,0,0,0,0
ايلام,ايلام,چوار,بولي,پاسگاه مرزي هلاله جنوبي,0,0,0,0
ايلام,ايلام,چوار,بولي,پاچه انجير,*         ,*         ,*         ,*         
ايلام,ايلام,چوار,بولي,عبدالرحمن,0,0,0,0
ايلام,ايلام,چوار,بولي,شركت گاز تنگ بيجار,0,0,0,0
ايلام,ايلام,چوار,بولي,ايست بازرسي ميمك- بيجار,0,0,0,0
ايلام,ايلام,چوار,بولي,سنگ شكن ميمك,0,0,0,0
ايلام,ايلام,چوار,بولي,پاسگاه تنگ بيجار,0,0,0,0
ايلام,ايلام,چوار,چوار,                                                                                                                                                                                                        ,"1,562","5,831","2,911","2,920"
ايلام,ايلام,مركزئ,                                                                                                    ,                                                                                                                                                                                                        ,"59,440","215,543","109,237","106,306"
ايلام,ايلام,مركزئ,ده پائين,                                                                                                                                                                                                        ,"3,714","13,726","6,981","6,745"
ايلام,ايلام,مركزئ,ده پائين,هفت چشمه,"1,052","3,992","2,005","1,987"
ايلام,ايلام,مركزئ,ده پائين,متلوان,0,0,0,0
ايلام,ايلام,مركزئ,ده پائين,ايستگاه مخابراتي مانشت,0,0,0,0
