Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
كهگيلويه وبويراحمد,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"186,320","713,052","361,386","351,666"
كهگيلويه وبويراحمد,بويراحمد,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"77,569","299,885","152,996","146,889"
كهگيلويه وبويراحمد,بويراحمد,مارگون,                                                                                                    ,                                                                                                                                                                                                        ,"4,923","19,876","10,110","9,766"
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,                                                                                                                                                                                                        ,"2,246","9,343","4,760","4,583"
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,گشور زيلائي,*         ,*         ,*         ,*         
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,ابگل,15,73,39,34
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,بورك سفلي,97,418,219,199
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,بورك عليا,73,295,148,147
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,سيلاب,18,71,39,32
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,شاه غالب,21,85,41,44
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,عدور,26,97,38,59
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,كلوار,52,216,106,110
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,گل ديگ سيلاب,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,گهورمرده سيلاب,43,175,87,88
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,ليربورك,16,55,29,26
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,برافتاب سيلاب,12,42,22,20
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,وارهاي سردفون شاغالب,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,سرتنگ مهلاب ابگل,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,ابساكي سيلاب,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,واراب پوت سيلاب,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,ابله مرده سيلاب,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,چال خرسي سيلاب,7,30,19,11
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,ابرش سيلاب,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,كبوتران,21,91,43,48
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,باغ انجيرك,13,31,16,15
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,دوبندتيم دار,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,زتين سفلي,29,115,54,61
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,زتين عليا,26,110,63,47
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,زرين دوتو,4,10,4,6
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,شهروني,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,قباسوخته,*         ,*         ,*         ,*         
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,قلعه بني موشمي,50,218,104,114
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,كول ارزن,6,37,18,19
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,كولندزيلايي,13,44,19,25
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,كيمه سفلي,*         ,*         ,*         ,*         
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,كيمه عليا,*         ,*         ,*         ,*         
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,لعل مينا,58,251,135,116
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,لال شهروني كي محمدخان,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,لال علي محمدزرين,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,مورغم عليشاه,*         ,*         ,*         ,*         
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,مورغم وسطي,13,52,30,22
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,نسه مورغم,29,111,55,56
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,له وارحسين عليا,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,دو آخور طلعه زاز,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,برد پهن زيلائي,261,"1,059",561,498
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,چال باغچه زيلايي,55,218,107,111
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,بنه درازموشمي,34,140,68,72
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,موشمي سفلي,188,751,371,380
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,موشمي وسطي,113,481,251,230
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,اب بيدك زيلائي,60,239,124,115
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,بهسون موشمي,8,48,24,24
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,دره صحه,52,189,91,98
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,كاهدونكي موشمي,56,227,111,116
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,گله خورموشمي,15,61,32,29
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,گودتلخدان زيلائي,68,313,157,156
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,له فراخ موشمي,82,344,171,173
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,مله خويش سفلي,11,43,23,20
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,موشمي عليا,14,60,25,35
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,مله خويش عليا,*         ,*         ,*         ,*         
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,بالرود,97,450,244,206
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,پوله,60,266,130,136
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,زيرنا,85,320,168,152
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,سادات چاهن,193,850,429,421
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,مزرعه سياه كوه,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,انجمه,*         ,*         ,*         ,*         
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,بردجفته ميرفيض اله,*         ,*         ,*         ,*         
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,تنگ خشك طلعه زار,*         ,*         ,*         ,*         
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,چهارتل ميرمحمدفصيح,7,33,20,13
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,دره جوجق طلعه زار,*         ,*         ,*         ,*         
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,طلعه زارسفلي,20,85,42,43
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,طلعه زارعليا,*         ,*         ,*         ,*         
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,خرم راه,63,253,128,125
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,كلاغ خورده سفلي,7,27,14,13
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,ده بنياب چربيون,4,20,15,5
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,پاچات چربيون,0,0,0,0
كهگيلويه وبويراحمد,بويراحمد,مارگون,زيلائي,ده قنات چربيون,7,35,15,20
