Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
بوشهر,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"321,826","1,163,400","620,722","542,678"
بوشهر,بوشهر,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"85,523","298,594","153,512","145,082"
بوشهر,بوشهر,خارك,                                                                                                    ,                                                                                                                                                                                                        ,"2,334","8,193","4,232","3,961"
بوشهر,بوشهر,خارك,خارك,                                                                                                                                                                                                        ,"2,334","8,193","4,232","3,961"
بوشهر,بوشهر,مركزئ,                                                                                                    ,                                                                                                                                                                                                        ,"83,177","290,359","149,260","141,099"
بوشهر,بوشهر,مركزئ,انگالي,                                                                                                                                                                                                        ,653,"2,209","1,090","1,119"
بوشهر,بوشهر,مركزئ,انگالي,بن حماد,0,0,0,0
بوشهر,بوشهر,مركزئ,انگالي,حمود,16,59,28,31
بوشهر,بوشهر,مركزئ,انگالي,رستمي,26,83,41,42
بوشهر,بوشهر,مركزئ,انگالي,عسكري,15,44,22,22
بوشهر,بوشهر,مركزئ,انگالي,فراكه,0,0,0,0
بوشهر,بوشهر,مركزئ,انگالي,قلعه سوخته,81,274,140,134
بوشهر,بوشهر,مركزئ,انگالي,محرزي,54,166,78,88
بوشهر,بوشهر,مركزئ,انگالي,نودرار,*         ,*         ,*         ,*         
بوشهر,بوشهر,مركزئ,انگالي,كره بند,340,"1,203",602,601
بوشهر,بوشهر,مركزئ,انگالي,احشام حسن,4,15,5,10
بوشهر,بوشهر,مركزئ,انگالي,احشام شمالي,*         ,*         ,*         ,*         
بوشهر,بوشهر,مركزئ,انگالي,احشام شيخي,5,18,5,13
بوشهر,بوشهر,مركزئ,انگالي,تل بهي,0,0,0,0
بوشهر,بوشهر,مركزئ,انگالي,حسن نظام,*         ,*         ,*         ,*         
بوشهر,بوشهر,مركزئ,انگالي,حيدري,22,59,26,33
بوشهر,بوشهر,مركزئ,انگالي,زردكي سفلي,4,18,11,7
بوشهر,بوشهر,مركزئ,انگالي,زردكي عليا,16,46,24,22
بوشهر,بوشهر,مركزئ,انگالي,زندان,0,0,0,0
بوشهر,بوشهر,مركزئ,انگالي,سهيلي,*         ,*         ,*         ,*         
بوشهر,بوشهر,مركزئ,انگالي,كربلائي مراد,0,0,0,0
بوشهر,بوشهر,مركزئ,انگالي,محمدشاهي,11,49,28,21
بوشهر,بوشهر,مركزئ,انگالي,نوكارگزي,11,38,18,20
بوشهر,بوشهر,مركزئ,انگالي,نوكارمخي,32,92,36,56
بوشهر,بوشهر,مركزئ,انگالي,هپولو,0,0,0,0
بوشهر,بوشهر,مركزئ,انگالي,هفت جوش,8,16,9,7
بوشهر,بوشهر,مركزئ,حومه,                                                                                                                                                                                                        ,"6,628","22,766","11,606","11,160"
بوشهر,بوشهر,مركزئ,حومه,حسينكي,171,554,282,272
بوشهر,بوشهر,مركزئ,حومه,جزيره شيف,"1,080","3,969","2,058","1,911"
بوشهر,بوشهر,مركزئ,حومه,جزيره عباسك,0,0,0,0
بوشهر,بوشهر,مركزئ,حومه,هليله,664,"2,268","1,168","1,100"
بوشهر,بوشهر,مركزئ,حومه,بندرگاه,735,"2,545","1,327","1,218"
بوشهر,بوشهر,مركزئ,حومه,نيروگاه اتمي,764,"2,280","1,223","1,057"
بوشهر,بوشهر,مركزئ,حومه,تل سياه,163,495,222,273
بوشهر,بوشهر,مركزئ,حومه,شهرك صنعتي 2 بوشهر,14,46,25,21
بوشهر,بوشهر,مركزئ,حومه,احمدي,469,"1,620",828,792
بوشهر,بوشهر,مركزئ,حومه,دويره,"1,147","4,096","2,030","2,066"
بوشهر,بوشهر,مركزئ,حومه,سرمل,83,281,145,136
بوشهر,بوشهر,مركزئ,حومه,آبطويل,451,"1,507",757,750
بوشهر,بوشهر,مركزئ,حومه,قلعه چاه كوتاه,101,349,175,174
بوشهر,بوشهر,مركزئ,حومه,تل اشكي,216,739,351,388
بوشهر,بوشهر,مركزئ,حومه,چاه كوتاه,570,"2,017","1,015","1,002"
بوشهر,بوشهر,مركزئ,حومه,كنارآبادي,0,0,0,0
بوشهر,بوشهر,مركزئ,بوشهر,                                                                                                                                                                                                        ,"63,820","223,504","115,260","108,244"
بوشهر,بوشهر,مركزئ,چغادك,                                                                                                                                                                                                        ,"5,147","18,702","9,576","9,126"
بوشهر,بوشهر,مركزئ,بوشهر1,                                                                                                                                                                                                        ,"35,554","120,307","60,973","59,334"
بوشهر,بوشهر,مركزئ,بوشهر2,                                                                                                                                                                                                        ,"28,266","103,197","54,287","48,910"
بوشهر,بوشهر,مركزئ,عالي شهر,                                                                                                                                                                                                        ,"6,929","23,178","11,728","11,450"
بوشهر,تنگستان,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"22,080","76,706","38,970","37,736"
