Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
زنجان,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"321,983","1,057,461","534,849","522,612"
زنجان,ابهر,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"47,329","151,528","76,678","74,850"
زنجان,ابهر,مرکزي,                                                                                                    ,                                                                                                                                                                                                        ,"47,329","151,528","76,678","74,850"
زنجان,ابهر,مرکزي,ابهررود,                                                                                                                                                                                                        ,"1,492","4,734","2,430","2,304"
زنجان,ابهر,مرکزي,ابهررود,فونش اباد,582,"1,762",924,838
زنجان,ابهر,مرکزي,ابهررود,چالچوق,9,31,12,19
زنجان,ابهر,مرکزي,ابهررود,ميموندره,196,662,347,315
زنجان,ابهر,مرکزي,ابهررود,اسپاس,87,281,140,141
زنجان,ابهر,مرکزي,ابهررود,زره باش,91,293,158,135
زنجان,ابهر,مرکزي,ابهررود,قره اغاج,36,101,55,46
زنجان,ابهر,مرکزي,ابهررود,قشلاق مردعلي,0,0,0,0
زنجان,ابهر,مرکزي,ابهررود,کينه ورس,200,647,330,317
زنجان,ابهر,مرکزي,ابهررود,گل بلاغ / شاه بلاغي,0,0,0,0
زنجان,ابهر,مرکزي,ابهررود,عباس ابادسفلي,107,338,160,178
زنجان,ابهر,مرکزي,ابهررود,عباس ابادعليا,7,18,8,10
زنجان,ابهر,مرکزي,ابهررود,قزلجه,48,166,83,83
زنجان,ابهر,مرکزي,ابهررود,قفس اباد,129,435,213,222
زنجان,ابهر,مرکزي,حومه,                                                                                                                                                                                                        ,"1,982","6,045","3,084","2,961"
زنجان,ابهر,مرکزي,حومه,اسداباد,21,61,29,32
زنجان,ابهر,مرکزي,حومه,اهک محمداباد,0,0,0,0
زنجان,ابهر,مرکزي,حومه,برزابيل,10,30,12,18
زنجان,ابهر,مرکزي,حومه,قارلوق,35,123,60,63
زنجان,ابهر,مرکزي,حومه,مزرعه قره بلاغ,*         ,*         ,*         ,*         
زنجان,ابهر,مرکزي,حومه,قره تپه,9,32,18,14
زنجان,ابهر,مرکزي,حومه,قويوجوق,5,18,11,7
زنجان,ابهر,مرکزي,حومه,گلجه,15,47,25,22
زنجان,ابهر,مرکزي,حومه,مزرعه وازده,0,0,0,0
زنجان,ابهر,مرکزي,حومه,حسين ابادقارقالو,7,31,15,16
زنجان,ابهر,مرکزي,حومه,حصارعبدالکريم,7,18,10,8
زنجان,ابهر,مرکزي,حومه,داودگر,26,63,34,29
زنجان,ابهر,مرکزي,حومه,علي بلاغي,0,0,0,0
زنجان,ابهر,مرکزي,حومه,قلعه حسن آباد,0,0,0,0
زنجان,ابهر,مرکزي,حومه,اميراباد,4,18,10,8
