Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
سمنان,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"215,571","702,360","356,656","345,704"
سمنان,دامغان,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"30,296","94,190","47,122","47,068"
سمنان,دامغان,اميراباد,                                                                                                    ,                                                                                                                                                                                                        ,"4,122","12,296","6,277","6,019"
سمنان,دامغان,اميراباد,قهاب رستاق,                                                                                                                                                                                                        ,"1,676","5,235","2,678","2,557"
سمنان,دامغان,اميراباد,قهاب رستاق,اقباليه,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,كلاتو,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,ابراهيم آباد يزداني,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,اقبال آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,ايستگاه سرخده,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,بحرآباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,بهاء الدين آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,جنت آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,چاه علي مخبر,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,حاجي آباد موسويان,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مزرعه حسن ابادو,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,حيدرآباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,ده قاضي,6,19,7,12
سمنان,دامغان,اميراباد,قهاب رستاق,ذيل اباد,10,16,10,6
سمنان,دامغان,اميراباد,قهاب رستاق,رومنان,10,24,11,13
سمنان,دامغان,اميراباد,قهاب رستاق,سبحان,36,80,45,35
سمنان,دامغان,اميراباد,قهاب رستاق,سرخ ده,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,سلطانيه,4,13,8,5
سمنان,دامغان,اميراباد,قهاب رستاق,سيدآبادو,7,22,10,12
سمنان,دامغان,اميراباد,قهاب رستاق,شريف آباد,*         ,*         ,*         ,*         
سمنان,دامغان,اميراباد,قهاب رستاق,شريفيه,40,114,60,54
سمنان,دامغان,اميراباد,قهاب رستاق,شوکت آباد,24,80,42,38
سمنان,دامغان,اميراباد,قهاب رستاق,صلح آباد,63,165,82,83
سمنان,دامغان,اميراباد,قهاب رستاق,صالح آبادو/ صلح آباد,37,104,57,47
سمنان,دامغان,اميراباد,قهاب رستاق,علي آبادو,15,49,26,23
سمنان,دامغان,اميراباد,قهاب رستاق,علي آباد خرگوشي,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,فاضل آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,کامران آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,كبوترخان,*         ,*         ,*         ,*         
سمنان,دامغان,اميراباد,قهاب رستاق,كلا,55,146,77,69
سمنان,دامغان,اميراباد,قهاب رستاق,كلاتو,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,كوشكو,7,24,9,15
سمنان,دامغان,اميراباد,قهاب رستاق,گروه مشاعي حمزه,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,گروه مشاعي طباطبائي,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,گروه مشاعي شهيدبهشتي,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مجيداباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مجيداباداراسته,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,محمد آبادو,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مزرعه سيدها,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مزرعه شهيدچمران,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مزرعه شهيدشمسي پور,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مشغله,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,معصوم اباد,37,98,56,42
سمنان,دامغان,اميراباد,قهاب رستاق,مزرعه مهدي ابادو,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,ميل,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,نيم ايستگاه شريفيه,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,امامزاده هفت تن,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,ايستگاه اصلاح نژادگوسفندسنگسري,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,چاه حسين آبادکلا,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,چاه سلمان باني,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,گروه مشاعي سلمان فارسي,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,گروه مشاعي مصطفي خميني,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,باقر آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,چاه موسويان,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,حاج آباد حاج علي محمد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,گروه حسين سبحاني,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,گروه مشاعي فلسطين,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,گروه مشاعي محمدخليل نژاد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مراد آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مزرعه جوادالائمه,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,گروه مشاعي 13 آبان,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,دهو,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مرغداري گوشتي ابراهيم آبادي,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مزرعه اندكي,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,احمد آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,انباروچاه منابع طبيعي,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مزرعه تقي آباد,*         ,*         ,*         ,*         
سمنان,دامغان,اميراباد,قهاب رستاق,حسن آباد,322,"1,067",534,533
سمنان,دامغان,اميراباد,قهاب رستاق,خورزان,151,477,263,214
سمنان,دامغان,اميراباد,قهاب رستاق,قاسم آباد,16,45,22,23
سمنان,دامغان,اميراباد,قهاب رستاق,گروه مشاعي شهيدمدني,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مسيح آبادو,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,گروه مشاعي شهيدسيدحسن شاهچراغي,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,شركت كشت و صنعت حجاجي شماره 1,*         ,*         ,*         ,*         
سمنان,دامغان,اميراباد,قهاب رستاق,غياث آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,جعفر آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,چاه حسين خان,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,چاه کشاورزي همت آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مزرعه خرگوشي,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,خورس,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,عليان,80,220,108,112
سمنان,دامغان,اميراباد,قهاب رستاق,فخر آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,فرات,141,397,204,193
سمنان,دامغان,اميراباد,قهاب رستاق,کاظم آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,كلاته شور,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,كوره اجرسيدعلي حسيني,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مزرعه مهدي اباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,معبد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,معين آباد,23,62,32,30
سمنان,دامغان,اميراباد,قهاب رستاق,يزدان آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مزرعه باغو,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,چناران,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,ده نو,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,شيمي,55,187,101,86
سمنان,دامغان,اميراباد,قهاب رستاق,علي خان/علي خواه,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,كلو,67,241,118,123
سمنان,دامغان,اميراباد,قهاب رستاق,كلاته سلطان حسن,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,مزرعه كوكه,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,معدن آهک,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,معدن باغو,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,نوا,*         ,*         ,*         ,*         
سمنان,دامغان,اميراباد,قهاب رستاق,محمدآباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,محمود آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,پادگان شهيد هاشمي دامغاني,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,امرو,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,پينند/پينن,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,تلخوي,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,توچاه,40,149,81,68
سمنان,دامغان,اميراباد,قهاب رستاق,حصار,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,حصارو,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,ديان,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,ديزو,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,رشم,99,263,129,134
سمنان,دامغان,اميراباد,قهاب رستاق,سلم اباد,28,91,43,48
سمنان,دامغان,اميراباد,قهاب رستاق,کلاته عباس آباد,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,کلاته تنگه/تنگه,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,كلاته جعفر,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,كلاته حاج صادق,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,كلاته حاج علي,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,کلاته رباعي,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,كلاته سينه بند,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,كوشاهي,4,18,10,8
سمنان,دامغان,اميراباد,قهاب رستاق,كوه زر,185,709,367,342
سمنان,دامغان,اميراباد,قهاب رستاق,مزرعه گلوكي,0,0,0,0
سمنان,دامغان,اميراباد,قهاب رستاق,معدن سفيدلتو,0,0,0,0
