Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
يزد,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"340,657","1,138,533","586,013","552,520"
يزد,اردكان,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"28,216","97,960","53,513","44,447"
يزد,اردكان,خرانق,                                                                                                    ,                                                                                                                                                                                                        ,906,"4,666","3,428","1,238"
يزد,اردكان,خرانق,رباطات,                                                                                                                                                                                                        ,737,"4,113","3,098","1,015"
يزد,اردكان,خرانق,رباطات,اب انبارربيع,0,0,0,0
يزد,اردكان,خرانق,رباطات,چاهوك,0,0,0,0
يزد,اردكان,خرانق,رباطات,چك چك,0,0,0,0
يزد,اردكان,خرانق,رباطات,زيركوه,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه احمد,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه بزرگ,0,0,0,0
يزد,اردكان,خرانق,رباطات,هامانه,81,163,78,85
يزد,اردكان,خرانق,رباطات,معدن قانع,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه شهيد حسين مؤمني زاده,0,0,0,0
يزد,اردكان,خرانق,رباطات,مرغداري خبيري,0,0,0,0
يزد,اردكان,خرانق,رباطات,معدن بالكلي,0,0,0,0
يزد,اردكان,خرانق,رباطات,اب انبارحوض بلند,0,0,0,0
يزد,اردكان,خرانق,رباطات,احمداباد,*         ,*         ,*         ,*         
يزد,اردكان,خرانق,رباطات,انجيره نو,0,0,0,0
يزد,اردكان,خرانق,رباطات,بندر,0,0,0,0
يزد,اردكان,خرانق,رباطات,بندر,0,0,0,0
يزد,اردكان,خرانق,رباطات,بيدميان,0,0,0,0
يزد,اردكان,خرانق,رباطات,ثغوربند,0,0,0,0
يزد,اردكان,خرانق,رباطات,چاه بن رود,0,0,0,0
يزد,اردكان,خرانق,رباطات,چاه متك,30,90,52,38
يزد,اردكان,خرانق,رباطات,چاه ناصر,0,0,0,0
يزد,اردكان,خرانق,رباطات,حسين اباد,0,0,0,0
يزد,اردكان,خرانق,رباطات,خرانق,125,437,256,181
يزد,اردكان,خرانق,رباطات,خشومين,0,0,0,0
يزد,اردكان,خرانق,رباطات,درند,46,115,52,63
يزد,اردكان,خرانق,رباطات,دوكالي,0,0,0,0
يزد,اردكان,خرانق,رباطات,ده حالت,0,0,0,0
يزد,اردكان,خرانق,رباطات,دهوك,0,0,0,0
يزد,اردكان,خرانق,رباطات,رباط ريزاب,0,0,0,0
يزد,اردكان,خرانق,رباطات,زاجات,*         ,*         ,*         ,*         
يزد,اردكان,خرانق,رباطات,زرك,0,0,0,0
يزد,اردكان,خرانق,رباطات,ساغند,56,150,76,74
يزد,اردكان,خرانق,رباطات,ساربان,0,0,0,0
يزد,اردكان,خرانق,رباطات,سنجد,37,114,56,58
يزد,اردكان,خرانق,رباطات,شهرنو,0,0,0,0
يزد,اردكان,خرانق,رباطات,قاسم اباد,0,0,0,0
يزد,اردكان,خرانق,رباطات,گلريز,0,0,0,0
يزد,اردكان,خرانق,رباطات,مروك,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه احمد,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه اقا,22,53,25,28
يزد,اردكان,خرانق,رباطات,مزرعه حاج لطفعلي,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه حاجي,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه حاجي اقا,5,10,6,4
يزد,اردكان,خرانق,رباطات,مزرعه حاجي باقر,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه حاجي حسن,*         ,*         ,*         ,*         
يزد,اردكان,خرانق,رباطات,حاجي علي بيك,4,6,2,4
يزد,اردكان,خرانق,رباطات,مزرعه حيدر,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه خوش,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه سليمان,*         ,*         ,*         ,*         
يزد,اردكان,خرانق,رباطات,مزرعه شهيدمحمدحسن رجبي,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه محمدرحيم,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه اكبر,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه نو,0,0,0,0
يزد,اردكان,خرانق,رباطات,معدن چاه رمضان,0,0,0,0
يزد,اردكان,خرانق,رباطات,معدن سرب انجيره,0,0,0,0
يزد,اردكان,خرانق,رباطات,مهدي اباد,0,0,0,0
يزد,اردكان,خرانق,رباطات,ميل سفيد,7,20,11,9
يزد,اردكان,خرانق,رباطات,نفيس اباد,12,24,12,12
يزد,اردكان,خرانق,رباطات,مزرعه خيراباديها,0,0,0,0
يزد,اردكان,خرانق,رباطات,اب انباركارگر,0,0,0,0
يزد,اردكان,خرانق,رباطات,كارگاه شركت توسعه راهها,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه علي شمسي,0,0,0,0
يزد,اردكان,خرانق,رباطات,كارگاه شركت راهسازي توسعه راهها,0,0,0,0
يزد,اردكان,خرانق,رباطات,ايستگاه راه اهن ني باد,0,0,0,0
يزد,اردكان,خرانق,رباطات,رباط ساغند,0,0,0,0
يزد,اردكان,خرانق,رباطات,شركت تعاوني معدن صدف زرين يزد,0,0,0,0
يزد,اردكان,خرانق,رباطات,همت اباد,0,0,0,0
يزد,اردكان,خرانق,رباطات,اب انبار بنيادمسكن,0,0,0,0
يزد,اردكان,خرانق,رباطات,اب بالا,*         ,*         ,*         ,*         
يزد,اردكان,خرانق,رباطات,مزرعه عباسعلي مومني,0,0,0,0
يزد,اردكان,خرانق,رباطات,گيلور,0,0,0,0
يزد,اردكان,خرانق,رباطات,ايستگاه فيبر نوري ساغند,0,0,0,0
يزد,اردكان,خرانق,رباطات,چاه آب آشاميدني قديم,0,0,0,0
يزد,اردكان,خرانق,رباطات,آب انبار ريز آب,0,0,0,0
يزد,اردكان,خرانق,رباطات,چاه نور,0,0,0,0
يزد,اردكان,خرانق,رباطات,معدن تنگه زرين اردکان فولادي,0,0,0,0
يزد,اردكان,خرانق,رباطات,معدن گل کاشي,0,0,0,0
يزد,اردكان,خرانق,رباطات,معدن سنگ آهن درند,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه علي احمدزاده,0,0,0,0
يزد,اردكان,خرانق,رباطات,معدن آهن نفيس آباد,0,0,0,0
يزد,اردكان,خرانق,رباطات,مرغداري شرکت تعاوني 90 يزد,0,0,0,0
يزد,اردكان,خرانق,رباطات,کارخانه گندله سازي / در حال ساخت,0,0,0,0
يزد,اردكان,خرانق,رباطات,حسن اباد,0,0,0,0
يزد,اردكان,خرانق,رباطات,همت اباد,0,0,0,0
يزد,اردكان,خرانق,رباطات,علي اباد,5,16,10,6
يزد,اردكان,خرانق,رباطات,الله اباد,0,0,0,0
يزد,اردكان,خرانق,رباطات,انارك,0,0,0,0
يزد,اردكان,خرانق,رباطات,بادامو,0,0,0,0
يزد,اردكان,خرانق,رباطات,جهان شير,0,0,0,0
يزد,اردكان,خرانق,رباطات,چامگو,0,0,0,0
يزد,اردكان,خرانق,رباطات,چاه سربالا,0,0,0,0
يزد,اردكان,خرانق,رباطات,چاه نرگس,0,0,0,0
يزد,اردكان,خرانق,رباطات,حوض هفت,0,0,0,0
يزد,اردكان,خرانق,رباطات,درچاهو,0,0,0,0
يزد,اردكان,خرانق,رباطات,ده سفيد,0,0,0,0
يزد,اردكان,خرانق,رباطات,رباط پشت بادام,263,770,372,398
يزد,اردكان,خرانق,رباطات,رحمت اباد,0,0,0,0
يزد,اردكان,خرانق,رباطات,رودشور,0,0,0,0
يزد,اردكان,خرانق,رباطات,رهنشك,0,0,0,0
يزد,اردكان,خرانق,رباطات,زمان اباد,0,0,0,0
يزد,اردكان,خرانق,رباطات,شوراب,0,0,0,0
يزد,اردكان,خرانق,رباطات,كاهو,0,0,0,0
يزد,اردكان,خرانق,رباطات,گزستان,0,0,0,0
يزد,اردكان,خرانق,رباطات,مغستان اكبر,35,86,39,47
يزد,اردكان,خرانق,رباطات,مجتمع اهن چادرملو,*         ,*         ,*         ,*         
يزد,اردكان,خرانق,رباطات,نيوك,0,0,0,0
يزد,اردكان,خرانق,رباطات,اب انبارسورك,0,0,0,0
يزد,اردكان,خرانق,رباطات,حوض رضا,0,0,0,0
يزد,اردكان,خرانق,رباطات,حوض اسكمبيلو,0,0,0,0
يزد,اردكان,خرانق,رباطات,سازمان انرژي اتمي,0,0,0,0
يزد,اردكان,خرانق,رباطات,حوض سينه لردنبه شورو,0,0,0,0
يزد,اردكان,خرانق,رباطات,چاه اب اشاميدني رباطپشت بادام,0,0,0,0
يزد,اردكان,خرانق,رباطات,چاه شمسي,0,0,0,0
يزد,اردكان,خرانق,رباطات,حوض چهار,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه پائين,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه قاسم اباد,0,0,0,0
يزد,اردكان,خرانق,رباطات,حوض اداره راه,0,0,0,0
يزد,اردكان,خرانق,رباطات,حوض حاجي علي اكبر,0,0,0,0
يزد,اردكان,خرانق,رباطات,اب انبار حوض نه,0,0,0,0
يزد,اردكان,خرانق,رباطات,حوض محمود,0,0,0,0
يزد,اردكان,خرانق,رباطات,مجتمع پرواربندئ شترداران,0,0,0,0
يزد,اردكان,خرانق,رباطات,شركت معدن رباط سنگ معدن اهن,0,0,0,0
يزد,اردكان,خرانق,رباطات,ايستگاه تقويت تلويزيون خورشيدرباط,0,0,0,0
يزد,اردكان,خرانق,رباطات,حوض سفيد,0,0,0,0
يزد,اردكان,خرانق,رباطات,ايستگاه راه آهن ساغند,0,0,0,0
يزد,اردكان,خرانق,رباطات,شركت اس دئ ام,0,0,0,0
يزد,اردكان,خرانق,رباطات,مزرعه سفيدان,0,0,0,0
يزد,اردكان,خرانق,رباطات,ايستگاه راه آهن جندق,0,0,0,0
يزد,اردكان,خرانق,رباطات,مرغداري احمد آباد,0,0,0,0
يزد,اردكان,خرانق,رباطات,شرکت خزر آسيا چانتک,0,0,0,0
يزد,اردكان,خرانق,رباطات,معدن فلدسپات سديک هاتفي,0,0,0,0
يزد,اردكان,خرانق,رباطات,دکل مخابراتي,0,0,0,0
يزد,اردكان,خرانق,رباطات,معدن گل کاشي,0,0,0,0
يزد,اردكان,خرانق,رباطات,کارگاه شرکت توسعه راهها,0,0,0,0
يزد,اردكان,خرانق,رباطات,شرکت شن سازي ريبار,0,0,0,0
يزد,اردكان,خرانق,رباطات,دکل مخابرات,0,0,0,0
يزد,اردكان,خرانق,رباطات,مرغداري احمد مظفري,0,0,0,0
يزد,اردكان,خرانق,رباطات,مرغداري عابدين فتحي,0,0,0,0
يزد,اردكان,خرانق,رباطات,شترداري جلال مظفري,0,0,0,0
يزد,اردكان,خرانق,رباطات,بوکن کال اشکف,0,0,0,0
يزد,اردكان,خرانق,رباطات,حوض اول,0,0,0,0
يزد,اردكان,خرانق,رباطات,آب انبار,0,0,0,0
يزد,اردكان,خرانق,رباطات,چاه شور,0,0,0,0
يزد,اردكان,خرانق,رباطات,شرکت سيمين سپاهان,0,0,0,0
يزد,اردكان,خرانق,زرين,                                                                                                                                                                                                        ,169,553,330,223
يزد,اردكان,خرانق,زرين,حاجي ابادزرين,65,178,97,81
يزد,اردكان,خرانق,زرين,مزرعه حسين قلي,0,0,0,0
يزد,اردكان,خرانق,زرين,اب انبارحاج احمد,0,0,0,0
يزد,اردكان,خرانق,زرين,اب انبارحاج عبدالوهاب,0,0,0,0
يزد,اردكان,خرانق,زرين,اب انبارچقاسفيد,0,0,0,0
