Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
هرمزگان,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"493,660","1,776,415","906,814","869,601"
هرمزگان,ابوموسي,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,924,"7,402","5,899","1,503"
هرمزگان,ابوموسي,تنب,                                                                                                    ,                                                                                                                                                                                                        ,40,"1,148","1,090",58
هرمزگان,ابوموسي,تنب,تنب,                                                                                                                                                                                                        ,40,"1,148","1,090",58
هرمزگان,ابوموسي,تنب,تنب,تنب بزرگ,38,690,632,58
هرمزگان,ابوموسي,تنب,تنب,تنب كوچك,*         ,*         ,*         ,*         
هرمزگان,ابوموسي,تنب,تنب,فارور بزرگ,*         ,*         ,*         ,*         
هرمزگان,ابوموسي,تنب,تنب,فارور كوچك,0,0,0,0
هرمزگان,ابوموسي,مركزئ,                                                                                                    ,                                                                                                                                                                                                        ,884,"6,254","4,809","1,445"
هرمزگان,ابوموسي,مركزئ,سيرئ,                                                                                                                                                                                                        ,27,"2,041","2,021",20
هرمزگان,ابوموسي,مركزئ,سيرئ,سيري,27,"2,041","2,021",20
هرمزگان,ابوموسي,مركزئ,ابوموسي,                                                                                                                                                                                                        ,857,"4,213","2,788","1,425"
هرمزگان,بندرعباس,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"196,220","680,366","347,202","333,164"
هرمزگان,بندرعباس,فين,                                                                                                    ,                                                                                                                                                                                                        ,"4,763","16,359","8,142","8,217"
هرمزگان,بندرعباس,فين,فين,                                                                                                                                                                                                        ,"2,951","10,415","5,275","5,140"
هرمزگان,بندرعباس,فين,فين,كوران,126,456,234,222
هرمزگان,بندرعباس,فين,فين,اوين سفلي,58,191,99,92
هرمزگان,بندرعباس,فين,فين,اوين عليا,28,103,43,60
هرمزگان,بندرعباس,فين,فين,پروزك,35,109,57,52
هرمزگان,بندرعباس,فين,فين,گردسياه,0,0,0,0
هرمزگان,بندرعباس,فين,فين,بست بيخ,0,0,0,0
هرمزگان,بندرعباس,فين,فين,كم گرمه,0,0,0,0
هرمزگان,بندرعباس,فين,فين,مهدي اباد(ختنه سورئ ),121,427,211,216
هرمزگان,بندرعباس,فين,فين,پابند,33,115,60,55
هرمزگان,بندرعباس,فين,فين,باغستان,36,128,68,60
هرمزگان,بندرعباس,فين,فين,بركه شيخ,0,0,0,0
هرمزگان,بندرعباس,فين,فين,پرزين,*         ,*         ,*         ,*         
هرمزگان,بندرعباس,فين,فين,تربكستان,12,46,26,20
هرمزگان,بندرعباس,فين,فين,تربوييه,27,52,30,22
هرمزگان,بندرعباس,فين,فين,تيزج,0,0,0,0
هرمزگان,بندرعباس,فين,فين,چاكرتو,45,148,74,74
هرمزگان,بندرعباس,فين,فين,چاهو,0,0,0,0
هرمزگان,بندرعباس,فين,فين,خايين,13,67,35,32
هرمزگان,بندرعباس,فين,فين,دازان,0,0,0,0
هرمزگان,بندرعباس,فين,فين,دشتمارم,119,437,221,216
هرمزگان,بندرعباس,فين,فين,دمتنگمصري,21,63,31,32
هرمزگان,بندرعباس,فين,فين,دميلو,0,0,0,0
هرمزگان,بندرعباس,فين,فين,علي اباد,27,93,51,42
هرمزگان,بندرعباس,فين,فين,كهتك,63,195,105,90
هرمزگان,بندرعباس,فين,فين,كهن بالا,62,183,91,92
هرمزگان,بندرعباس,فين,فين,گلدنو,0,0,0,0
هرمزگان,بندرعباس,فين,فين,مزرا,0,0,0,0
هرمزگان,بندرعباس,فين,فين,منگو,5,16,8,8
هرمزگان,بندرعباس,فين,فين,تنگ بازگران,0,0,0,0
هرمزگان,بندرعباس,فين,فين,ابكهور,0,0,0,0
هرمزگان,بندرعباس,فين,فين,گل اندام,27,78,34,44
هرمزگان,بندرعباس,فين,فين,قلمان,0,0,0,0
هرمزگان,بندرعباس,فين,فين,تشكن,0,0,0,0
هرمزگان,بندرعباس,فين,فين,بنگرسو,0,0,0,0
هرمزگان,بندرعباس,فين,فين,شياري,0,0,0,0
هرمزگان,بندرعباس,فين,فين,مازغ كوارو,0,0,0,0
هرمزگان,بندرعباس,فين,فين,تنگ تربوئيه,0,0,0,0
هرمزگان,بندرعباس,فين,فين,غايب,0,0,0,0
هرمزگان,بندرعباس,فين,فين,چهل سواران,0,0,0,0
هرمزگان,بندرعباس,فين,فين,سوتغان,0,0,0,0
هرمزگان,بندرعباس,فين,فين,گاونيز,0,0,0,0
هرمزگان,بندرعباس,فين,فين,گروسياه,0,0,0,0
