Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
تهران,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"4,288,563","13,267,637","6,673,672","6,593,965"
تهران,تهران,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"2,924,208","8,737,510","4,347,534","4,389,976"
تهران,تهران,كن,                                                                                                    ,                                                                                                                                                                                                        ,"1,613","5,013","2,600","2,413"
تهران,تهران,كن,سولقان,                                                                                                                                                                                                        ,"1,613","5,013","2,600","2,413"
تهران,تهران,كن,سولقان,جيحون ورديج,0,0,0,0
تهران,تهران,كن,سولقان,جيحون كندر,0,0,0,0
تهران,تهران,كن,سولقان,واريش,145,483,241,242
تهران,تهران,كن,سولقان,ورديج,271,778,394,384
تهران,تهران,كن,سولقان,امامزاده عقيل,12,32,17,15
تهران,تهران,كن,سولقان,كشارسفلي,40,136,63,73
تهران,تهران,كن,سولقان,كشارعليا,243,774,404,370
تهران,تهران,كن,سولقان,هرياس,0,0,0,0
تهران,تهران,كن,سولقان,باغ دره سنگان,64,218,109,109
تهران,تهران,كن,سولقان,سنگان بالا,156,481,257,224
تهران,تهران,كن,سولقان,سنگان پايين,179,509,277,232
تهران,تهران,كن,سولقان,سنگان وسط,129,377,198,179
تهران,تهران,كن,سولقان,رندان,91,297,147,150
تهران,تهران,كن,سولقان,طالون,55,170,96,74
تهران,تهران,كن,سولقان,امام زاده داود,142,468,245,223
تهران,تهران,كن,سولقان,كيگاه,86,290,152,138
تهران,تهران,مركزئ,                                                                                                    ,                                                                                                                                                                                                        ,"2,912,511","8,699,284","4,327,639","4,371,645"
تهران,تهران,مركزئ,سياهرود,                                                                                                                                                                                                        ,"1,446","5,578","3,484","2,094"
تهران,تهران,مركزئ,سياهرود,مسگراباد,722,"2,265","1,225","1,040"
تهران,تهران,مركزئ,سياهرود,مزرعه دره انارئ,0,0,0,0
تهران,تهران,مركزئ,سياهرود,سنجريان,60,172,91,81
تهران,تهران,مركزئ,سياهرود,طلادر,*         ,*         ,*         ,*         
تهران,تهران,مركزئ,سياهرود,مزرعه پنج تن ال عبا,*         ,*         ,*         ,*         
تهران,تهران,مركزئ,سياهرود,كافه هزاردره,0,0,0,0
تهران,تهران,مركزئ,سياهرود,تلوبالا,68,209,106,103
تهران,تهران,مركزئ,سياهرود,تلوپائين,*         ,*         ,*         ,*         
تهران,تهران,مركزئ,سياهرود,هاجراباد,92,282,131,151
تهران,تهران,مركزئ,سياهرود,همه سين,368,"1,127",606,521
تهران,تهران,مركزئ,سياهرود,قره چشمه,0,0,0,0
تهران,تهران,مركزئ,سياهرود,كارگاه اسفالت حسن فرشادي,*         ,*         ,*         ,*         
تهران,تهران,مركزئ,سياهرود,سايت نيروي هوائي,0,0,0,0
تهران,تهران,مركزئ,سياهرود,شركت توسعه راههائ ايران,*         ,*         ,*         ,*         
تهران,تهران,مركزئ,سياهرود,مجتمع نظامي قدس,*         ,*         ,*         ,*         
تهران,تهران,مركزئ,سياهرود,محل تخليه زباله شهرداري,*         ,*         ,*         ,*         
تهران,تهران,مركزئ,سياهرود,ميدان تيرتلو,0,0,0,0
تهران,تهران,مركزئ,سياهرود,اردوگاه اموزشي شهيدمحراب,0,0,0,0
تهران,تهران,مركزئ,سياهرود,گردشگاه جنگلي تلو,*         ,*         ,*         ,*         
تهران,تهران,مركزئ,سياهرود,معدن سنگ چيني,0,0,0,0
تهران,تهران,مركزئ,سياهرود,سرخه حصار,128,413,226,187
تهران,تهران,مركزئ,تهران,                                                                                                                                                                                                        ,"2,911,065","8,693,706","4,324,155","4,369,551"
تهران,تهران,مركزئ,تهران 1,                                                                                                                                                                                                        ,"166,881","487,508","238,693","248,815"
تهران,تهران,مركزئ,تهران 2,                                                                                                                                                                                                        ,"239,742","701,303","343,033","358,270"
تهران,تهران,مركزئ,تهران 3,                                                                                                                                                                                                        ,"119,052","330,649","158,401","172,248"
تهران,تهران,مركزئ,تهران 4,                                                                                                                                                                                                        ,"304,169","919,001","457,460","461,541"
تهران,تهران,مركزئ,تهران 5,                                                                                                                                                                                                        ,"292,257","858,346","421,444","436,902"
تهران,تهران,مركزئ,تهران 6,                                                                                                                                                                                                        ,"85,092","251,384","123,161","128,223"
تهران,تهران,مركزئ,تهران 7,                                                                                                                                                                                                        ,"115,930","312,194","152,024","160,170"
تهران,تهران,مركزئ,تهران 8,                                                                                                                                                                                                        ,"148,582","425,197","208,379","216,818"
تهران,تهران,مركزئ,تهران 9,                                                                                                                                                                                                        ,"57,688","174,239","88,163","86,076"
تهران,تهران,مركزئ,تهران 10,                                                                                                                                                                                                        ,"117,405","327,115","162,162","164,953"
تهران,تهران,مركزئ,تهران 11,                                                                                                                                                                                                        ,"107,627","307,940","154,477","153,463"
تهران,تهران,مركزئ,تهران 12,                                                                                                                                                                                                        ,"79,479","241,831","122,661","119,170"
تهران,تهران,مركزئ,تهران 13,                                                                                                                                                                                                        ,"84,161","248,952","123,289","125,663"
تهران,تهران,مركزئ,تهران 14,                                                                                                                                                                                                        ,"171,121","515,795","258,577","257,218"
تهران,تهران,مركزئ,تهران 15,                                                                                                                                                                                                        ,"204,306","641,279","325,985","315,294"
تهران,تهران,مركزئ,تهران 16,                                                                                                                                                                                                        ,"87,642","268,406","134,726","133,680"
تهران,تهران,مركزئ,تهران 17,                                                                                                                                                                                                        ,"88,398","273,231","137,540","135,691"
تهران,تهران,مركزئ,تهران 18,                                                                                                                                                                                                        ,"130,586","419,882","213,913","205,969"
تهران,تهران,مركزئ,تهران 19,                                                                                                                                                                                                        ,"79,515","261,027","133,048","127,979"
تهران,تهران,مركزئ,تهران 20,                                                                                                                                                                                                        ,"115,719","365,259","183,091","182,168"
تهران,تهران,مركزئ,تهران 21,                                                                                                                                                                                                        ,"60,602","186,821","94,035","92,786"
تهران,تهران,مركزئ,تهران 22,                                                                                                                                                                                                        ,"55,111","176,347","89,893","86,454"
تهران,تهران,آفتاب,                                                                                                    ,                                                                                                                                                                                                        ,"9,537","32,630","16,811","15,819"
تهران,تهران,آفتاب,آفتاب,                                                                                                                                                                                                        ,"3,727","12,626","6,418","6,208"
تهران,تهران,آفتاب,آفتاب,جعفرابادباقراف,104,427,230,197
تهران,تهران,آفتاب,آفتاب,آفتاب_ سعيد آباد آهنچي,31,114,61,53
تهران,تهران,آفتاب,آفتاب,نعمت ابادغار,*         ,*         ,*         ,*         
تهران,تهران,آفتاب,آفتاب,رشيداباد,6,20,10,10
تهران,تهران,آفتاب,آفتاب,قلعه نوحاجي موسي,300,"1,079",565,514
تهران,تهران,آفتاب,آفتاب,صالح ابادصيداباد,463,"1,646",836,810
تهران,تهران,آفتاب,آفتاب,شهرك رسالت,"2,627","8,625","4,338","4,287"
تهران,تهران,آفتاب,آفتاب,حسن ابادباقراف,194,707,372,335
تهران,تهران,آفتاب,آفتاب,كريم آباد,0,0,0,0
تهران,تهران,آفتاب,خلازير,                                                                                                                                                                                                        ,"5,810","20,004","10,393","9,611"
تهران,تهران,آفتاب,خلازير,مرتضي گرد,"4,474","15,506","8,095","7,411"
تهران,تهران,آفتاب,خلازير,خلازير,702,"2,356","1,231","1,125"
تهران,تهران,آفتاب,خلازير,جعفرابادجنگل,171,515,246,269
تهران,تهران,آفتاب,خلازير,ديناراباد,0,0,0,0
تهران,تهران,آفتاب,خلازير,مراداباد,*         ,*         ,*         ,*         
تهران,تهران,آفتاب,خلازير,ولي اباد,*         ,*         ,*         ,*         
تهران,تهران,آفتاب,خلازير,پلايين,62,238,138,100
تهران,تهران,آفتاب,خلازير,عباس ابادرستم اباد,10,30,19,11
تهران,تهران,آفتاب,خلازير,جهان اباد بالا,33,81,46,35
تهران,تهران,آفتاب,خلازير,رحيم اباد,11,43,20,23
تهران,تهران,آفتاب,خلازير,شكراباد,98,447,199,248
تهران,تهران,آفتاب,خلازير,كاشانك,154,486,256,230
تهران,تهران,آفتاب,خلازير,مرجان اباد,92,292,141,151
تهران,دماوند,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"39,373","125,480","64,552","60,928"
تهران,دماوند,مركزئ,                                                                                                    ,                                                                                                                                                                                                        ,"26,337","84,375","43,687","40,688"
تهران,دماوند,مركزئ,ابرشيوه,                                                                                                                                                                                                        ,"3,541","11,567","6,296","5,271"
تهران,دماوند,مركزئ,ابرشيوه,دهنار,91,272,137,135
تهران,دماوند,مركزئ,ابرشيوه,كهنك,37,89,42,47
تهران,دماوند,مركزئ,ابرشيوه,مومج,159,403,197,206
تهران,دماوند,مركزئ,ابرشيوه,هوير,108,303,156,147
تهران,دماوند,مركزئ,ابرشيوه,يهر,63,181,92,89
تهران,دماوند,مركزئ,ابرشيوه,آرو,276,841,439,402
تهران,دماوند,مركزئ,ابرشيوه,اندراب,0,0,0,0
تهران,دماوند,مركزئ,ابرشيوه,خورمندان,0,0,0,0
تهران,دماوند,مركزئ,ابرشيوه,رودافشان,19,54,29,25
تهران,دماوند,مركزئ,ابرشيوه,صنم,0,0,0,0
تهران,دماوند,مركزئ,ابرشيوه,كلاك,40,92,51,41
تهران,دماوند,مركزئ,ابرشيوه,مشهدفيروزكوه,64,139,72,67
تهران,دماوند,مركزئ,ابرشيوه,يدره,6,19,13,6
تهران,دماوند,مركزئ,ابرشيوه,سيداباد,161,492,267,225
تهران,دماوند,مركزئ,ابرشيوه,سربندان,823,"3,352","1,935","1,417"
تهران,دماوند,مركزئ,ابرشيوه,درختبيد,0,0,0,0
تهران,دماوند,مركزئ,ابرشيوه,زرشكي,0,0,0,0
