Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
اردبيل,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"377,423","1,270,420","650,255","620,165"
اردبيل,اردبيل,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"180,975","605,992","309,504","296,488"
اردبيل,اردبيل,مركزئ,                                                                                                    ,                                                                                                                                                                                                        ,"172,862","578,237","295,041","283,196"
اردبيل,اردبيل,مركزئ,ارشق شرقي,                                                                                                                                                                                                        ,970,"3,403","1,712","1,691"
اردبيل,اردبيل,مركزئ,ارشق شرقي,چاغونگنش,13,40,16,24
اردبيل,اردبيل,مركزئ,ارشق شرقي,خواجه بلاغي,76,255,139,116
اردبيل,اردبيل,مركزئ,ارشق شرقي,دليكلي داش,7,19,10,9
اردبيل,اردبيل,مركزئ,ارشق شرقي,سرخانلو,35,122,65,57
اردبيل,اردبيل,مركزئ,ارشق شرقي,الماس كندي,*         ,*         ,*         ,*         
اردبيل,اردبيل,مركزئ,ارشق شرقي,ايمير,10,42,22,20
اردبيل,اردبيل,مركزئ,ارشق شرقي,چات قيه,13,41,18,23
اردبيل,اردبيل,مركزئ,ارشق شرقي,شريف بيگلو,73,248,110,138
اردبيل,اردبيل,مركزئ,ارشق شرقي,كفتاره,7,27,11,16
اردبيل,اردبيل,مركزئ,ارشق شرقي,گل تپه,21,72,37,35
اردبيل,اردبيل,مركزئ,ارشق شرقي,محمدجان لو,7,23,11,12
اردبيل,اردبيل,مركزئ,ارشق شرقي,نقدي كندي,27,92,48,44
اردبيل,اردبيل,مركزئ,ارشق شرقي,قشلاق اوچ بلاغ,4,9,4,5
اردبيل,اردبيل,مركزئ,ارشق شرقي,ابدارلو,4,7,6,1
اردبيل,اردبيل,مركزئ,ارشق شرقي,اق قلعه,20,73,32,41
اردبيل,اردبيل,مركزئ,ارشق شرقي,بايرام بدني,11,38,28,10
