Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
قم,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"383,532","1,292,283","658,540","633,743"
قم,قم,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"383,532","1,292,283","658,540","633,743"
قم,قم,جعفراباد,                                                                                                    ,                                                                                                                                                                                                        ,"5,312","19,063","9,897","9,166"
قم,قم,جعفراباد,جعفرآباد,                                                                                                                                                                                                        ,"2,760","9,676","5,013","4,663"
قم,قم,جعفراباد,جعفرآباد,اشتريه,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,دولت اباد,104,308,147,161
قم,قم,جعفراباد,جعفرآباد,ديزار,*         ,*         ,*         ,*         
قم,قم,جعفراباد,جعفرآباد,شريف اباد,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,طغرود,143,457,227,230
قم,قم,جعفراباد,جعفرآباد,کلاغ نشين,25,78,39,39
قم,قم,جعفراباد,جعفرآباد,گلستان,16,53,28,25
قم,قم,جعفراباد,جعفرآباد,لاچينک,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,مجتمع رفاهي آفتاب,*         ,*         ,*         ,*         
قم,قم,جعفراباد,جعفرآباد,مجتمع دامشهر جعفريه,*         ,*         ,*         ,*         
قم,قم,جعفراباد,جعفرآباد,دوچاه,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,پستگان,221,862,444,418
قم,قم,جعفراباد,جعفرآباد,جعفراباد,279,919,483,436
قم,قم,جعفراباد,جعفرآباد,قزل اباد,22,77,38,39
قم,قم,جعفراباد,جعفرآباد,باقراباد,459,"1,739",892,847
قم,قم,جعفراباد,جعفرآباد,عسگرلي,79,309,158,151
قم,قم,جعفراباد,جعفرآباد,علي ابادانقلاب,364,"1,350",700,650
قم,قم,جعفراباد,جعفرآباد,ادريس اباد,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,الويراباد,150,537,295,242
قم,قم,جعفراباد,جعفرآباد,بخش اباد,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,خدراباد,16,53,28,25
قم,قم,جعفراباد,جعفرآباد,نوراباد,42,146,78,68
قم,قم,جعفراباد,جعفرآباد,پاچيان,119,385,204,181
قم,قم,جعفراباد,جعفرآباد,دولت اباد,*         ,*         ,*         ,*         
قم,قم,جعفراباد,جعفرآباد,شريف ابادزند,105,327,165,162
قم,قم,جعفراباد,جعفرآباد,صيداباد,23,75,38,37
قم,قم,جعفراباد,جعفرآباد,عبدل ابادبالا,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,علي اباد نظرعلي خان,34,144,79,65
قم,قم,جعفراباد,جعفرآباد,فتح اباد,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,کريم اباد,23,79,44,35
قم,قم,جعفراباد,جعفرآباد,مقبل اباد,14,55,26,29
قم,قم,جعفراباد,جعفرآباد,نجم اباد,35,110,58,52
قم,قم,جعفراباد,جعفرآباد,حاجي ابادکاشاني,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,حيدراباد,97,319,159,160
قم,قم,جعفراباد,جعفرآباد,رحمت اباد,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,بستان اباد,99,326,174,152
قم,قم,جعفراباد,جعفرآباد,کتانعلي,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,محموداباد,137,462,235,227
قم,قم,جعفراباد,جعفرآباد,پل خرابه,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,حسين ابادزند,51,176,90,86
قم,قم,جعفراباد,جعفرآباد,حسين ابادگاييني حسين ابادپل,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,رستک,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,رضاابادگاييني,*         ,*         ,*         ,*         
قم,قم,جعفراباد,جعفرآباد,سعداباد,18,64,34,30
قم,قم,جعفراباد,جعفرآباد,شريف ابادگاوخوني,23,66,36,30
قم,قم,جعفراباد,جعفرآباد,شمس ابادگاييني,*         ,*         ,*         ,*         
قم,قم,جعفراباد,جعفرآباد,صفدر,26,80,44,36
قم,قم,جعفراباد,جعفرآباد,صفي اباد,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,عبدل ابادپايين,19,71,39,32
قم,قم,جعفراباد,جعفرآباد,علي ابادرودخانه,*         ,*         ,*         ,*         
قم,قم,جعفراباد,جعفرآباد,فيض اباد,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,محمداباداسلامي,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,معصوم اباد,*         ,*         ,*         ,*         
قم,قم,جعفراباد,جعفرآباد,چاه صادق خان,0,0,0,0
قم,قم,جعفراباد,جعفرآباد,محمدابادگاييني 92,0,0,0,0
قم,قم,جعفراباد,جعفريه,                                                                                                                                                                                                        ,"2,552","9,387","4,884","4,503"
قم,قم,خلجستان,                                                                                                    ,                                                                                                                                                                                                        ,"2,792","7,207","3,640","3,567"
قم,قم,خلجستان,دستجرد,                                                                                                                                                                                                        ,"1,158","2,782","1,354","1,428"
قم,قم,خلجستان,دستجرد,احمداباد,16,36,21,15
قم,قم,خلجستان,دستجرد,حسن اباد,18,43,19,24
قم,قم,خلجستان,دستجرد,رزبند,*         ,*         ,*         ,*         
قم,قم,خلجستان,دستجرد,سفت,12,25,10,15
قم,قم,خلجستان,دستجرد,سفيداله,15,43,25,18
قم,قم,خلجستان,دستجرد,سناوند,30,72,34,38
قم,قم,خلجستان,دستجرد,طينوج,32,61,29,32
قم,قم,خلجستان,دستجرد,عيسي اباد,44,88,38,50
قم,قم,خلجستان,دستجرد,کندرود,55,113,55,58
قم,قم,خلجستان,دستجرد,نوراباد,4,8,5,3
قم,قم,خلجستان,دستجرد,ورزنه,44,125,68,57
قم,قم,خلجستان,دستجرد,خرابک بالا,*         ,*         ,*         ,*         
قم,قم,خلجستان,دستجرد,رستگان,52,104,48,56
قم,قم,خلجستان,دستجرد,فوجرد,67,138,59,79
قم,قم,خلجستان,دستجرد,مقبول اباد,0,0,0,0
قم,قم,خلجستان,دستجرد,نايه,161,394,197,197
قم,قم,خلجستان,دستجرد,مزرعه شهيدسبزعلي,0,0,0,0
قم,قم,خلجستان,دستجرد,جوزه,39,108,55,53
قم,قم,خلجستان,دستجرد,گيو,110,247,111,136
قم,قم,خلجستان,دستجرد,منصوراباد,48,112,51,61
قم,قم,خلجستان,دستجرد,همت اباد,22,64,36,28
قم,قم,خلجستان,دستجرد,اداره گلخانه هاي کوثر,32,128,72,56
قم,قم,خلجستان,دستجرد,امره,62,111,47,64
قم,قم,خلجستان,دستجرد,جريک اغاج,15,30,15,15
قم,قم,خلجستان,دستجرد,زيزگان,123,359,177,182
قم,قم,خلجستان,دستجرد,سرخده,29,64,34,30
قم,قم,خلجستان,دستجرد,موجان,54,121,52,69
قم,قم,خلجستان,دستجرد,وشاره,70,175,88,87
قم,قم,خلجستان,قاهان,                                                                                                                                                                                                        ,"1,117","2,900","1,515","1,385"
قم,قم,خلجستان,قاهان,روشگان,12,35,19,16
قم,قم,خلجستان,قاهان,کياب,13,28,16,12
قم,قم,خلجستان,قاهان,اسفيد,73,225,109,116
قم,قم,خلجستان,قاهان,الگان,4,12,8,4
قم,قم,خلجستان,قاهان,چمانک,22,61,33,28
