Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
قزوين,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"397,165","1,273,761","650,499","623,262"
قزوين,بوئين زهرا,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"36,814","122,994","63,080","59,914"
قزوين,بوئين زهرا,رامند,                                                                                                    ,                                                                                                                                                                                                        ,"5,708","19,087","9,721","9,366"
قزوين,بوئين زهرا,رامند,ابراهيم آباد,                                                                                                                                                                                                        ,"1,399","4,473","2,316","2,157"
قزوين,بوئين زهرا,رامند,ابراهيم آباد,چسگين,136,387,170,217
قزوين,بوئين زهرا,رامند,ابراهيم آباد,علي آباد,13,39,24,15
قزوين,بوئين زهرا,رامند,ابراهيم آباد,قلعه گنجي,144,425,213,212
قزوين,بوئين زهرا,رامند,ابراهيم آباد,مجيدآباد,186,603,318,285
قزوين,بوئين زهرا,رامند,ابراهيم آباد,محمدآبادگرگر,26,77,41,36
قزوين,بوئين زهرا,رامند,ابراهيم آباد,مرغداري عبداله خان,0,0,0,0
قزوين,بوئين زهرا,رامند,ابراهيم آباد,نوده,137,427,212,215
قزوين,بوئين زهرا,رامند,ابراهيم آباد,مزرعه شورقلعه,0,0,0,0
قزوين,بوئين زهرا,رامند,ابراهيم آباد,ابراهيم آباد,300,938,521,417
قزوين,بوئين زهرا,رامند,ابراهيم آباد,قشلاق چرخلو,390,"1,360",706,654
قزوين,بوئين زهرا,رامند,ابراهيم آباد,مزرعه ناصرآباد,*         ,*         ,*         ,*         
قزوين,بوئين زهرا,رامند,ابراهيم آباد,ينگي كهريز,64,213,108,105
قزوين,بوئين زهرا,رامند,رامندجنوبي,                                                                                                                                                                                                        ,"1,608","5,180","2,582","2,598"
قزوين,بوئين زهرا,رامند,رامندجنوبي,بندسر,45,138,71,67
قزوين,بوئين زهرا,رامند,رامندجنوبي,سنجدر,20,77,40,37
قزوين,بوئين زهرا,رامند,رامندجنوبي,طالافار,0,0,0,0
قزوين,بوئين زهرا,رامند,رامندجنوبي,مرادبيگلو,64,240,113,127
قزوين,بوئين زهرا,رامند,رامندجنوبي,يزن,66,175,84,91
قزوين,بوئين زهرا,رامند,رامندجنوبي,سومينك,50,151,71,80
