Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
گلستان,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"550,249","1,868,819","938,327","930,492"
گلستان,بندرگز,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"15,247","46,130","23,113","23,017"
گلستان,بندرگز,مركزئ,                                                                                                    ,                                                                                                                                                                                                        ,"10,671","32,854","16,483","16,371"
گلستان,بندرگز,مركزئ,انزان شرقي,                                                                                                                                                                                                        ,"2,216","6,950","3,483","3,467"
گلستان,بندرگز,مركزئ,انزان شرقي,سرمحله,152,430,216,214
گلستان,بندرگز,مركزئ,انزان شرقي,ابراهيم اباد,297,960,485,475
گلستان,بندرگز,مركزئ,انزان شرقي,حسين اباد,207,714,351,363
گلستان,بندرگز,مركزئ,انزان شرقي,محمداباد,82,269,138,131
گلستان,بندرگز,مركزئ,انزان شرقي,باغوكناره,371,"1,242",623,619
گلستان,بندرگز,مركزئ,انزان شرقي,سرطاق,218,667,329,338
گلستان,بندرگز,مركزئ,انزان شرقي,گل افرا,223,668,335,333
گلستان,بندرگز,مركزئ,انزان شرقي,باغو,218,662,329,333
گلستان,بندرگز,مركزئ,انزان شرقي,سوته ده,127,397,186,211
گلستان,بندرگز,مركزئ,انزان شرقي,كاركنده,321,941,491,450
گلستان,بندرگز,مركزئ,انزان غربي,                                                                                                                                                                                                        ,"1,740","5,162","2,563","2,599"
گلستان,بندرگز,مركزئ,انزان غربي,دشتي كلاته غربي,166,454,220,234
گلستان,بندرگز,مركزئ,انزان غربي,وطنا,128,364,173,191
گلستان,بندرگز,مركزئ,انزان غربي,طرح وطنا,0,0,0,0
گلستان,بندرگز,مركزئ,انزان غربي,دشتي كلاته شرقي,169,509,242,267
گلستان,بندرگز,مركزئ,انزان غربي,كوه صحرا,109,332,168,164
گلستان,بندرگز,مركزئ,انزان غربي,ولفرا,118,344,171,173
گلستان,بندرگز,مركزئ,انزان غربي,گز(گزشرقي ),422,"1,276",643,633
گلستان,بندرگز,مركزئ,انزان غربي,گزغربي,628,"1,883",946,937
گلستان,بندرگز,مركزئ,بندرگز,                                                                                                                                                                                                        ,"6,715","20,742","10,437","10,305"
گلستان,بندرگز,نوكنده,                                                                                                    ,                                                                                                                                                                                                        ,"4,576","13,276","6,630","6,646"
گلستان,بندرگز,نوكنده,بنفشه تپه,                                                                                                                                                                                                        ,610,"1,772",880,892
گلستان,بندرگز,نوكنده,بنفشه تپه,بنفش تپه,117,300,142,158
گلستان,بندرگز,نوكنده,بنفشه تپه,استون اباد,182,552,278,274
گلستان,بندرگز,نوكنده,بنفشه تپه,جفاكنده,311,920,460,460
گلستان,بندرگز,نوكنده,ليوان,                                                                                                                                                                                                        ,"1,650","4,854","2,401","2,453"
گلستان,بندرگز,نوكنده,ليوان,كهنه كلباد,108,318,151,167
گلستان,بندرگز,نوكنده,ليوان,مزرعه نوده,0,0,0,0
گلستان,بندرگز,نوكنده,ليوان,تلور,370,"1,067",527,540
گلستان,بندرگز,نوكنده,ليوان,ليوان غربي,415,"1,229",596,633
گلستان,بندرگز,نوكنده,ليوان,ليوان شرقي,757,"2,240","1,127","1,113"
گلستان,بندرگز,نوكنده,نوكنده,                                                                                                                                                                                                        ,"2,316","6,650","3,349","3,301"
گلستان,تركمن,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"21,315","79,978","40,231","39,747"
گلستان,تركمن,مركزئ,                                                                                                    ,                                                                                                                                                                                                        ,"17,756","66,520","33,517","33,003"
گلستان,تركمن,مركزئ,جعفربائ جنوبي,                                                                                                                                                                                                        ,"1,821","6,894","3,480","3,414"
گلستان,تركمن,مركزئ,جعفربائ جنوبي,اسكله,*         ,*         ,*         ,*         
گلستان,تركمن,مركزئ,جعفربائ جنوبي,اشوراده,*         ,*         ,*         ,*         
گلستان,تركمن,مركزئ,جعفربائ جنوبي,يموت,40,146,66,80
گلستان,تركمن,مركزئ,جعفربائ جنوبي,چاپاقلي,770,"3,064","1,585","1,479"
گلستان,تركمن,مركزئ,جعفربائ جنوبي,صيداباد,159,552,265,287
گلستان,تركمن,مركزئ,جعفربائ جنوبي,اوركت حاجي,99,395,199,196
گلستان,تركمن,مركزئ,جعفربائ جنوبي,هاشمنلي,41,154,83,71
گلستان,تركمن,مركزئ,جعفربائ جنوبي,پنج پيكر,710,"2,528","1,227","1,301"
گلستان,تركمن,مركزئ,فراغي,                                                                                                                                                                                                        ,"1,423","5,656","2,828","2,828"
گلستان,تركمن,مركزئ,فراغي,خواجه لر,527,"2,193","1,089","1,104"
گلستان,تركمن,مركزئ,فراغي,ارخ كوچك,163,721,359,362
گلستان,تركمن,مركزئ,فراغي,اسلام تپه,267,"1,119",526,593
گلستان,تركمن,مركزئ,فراغي,اق سين تپه,56,204,111,93
گلستان,تركمن,مركزئ,فراغي,گاميشلي نزار,290,996,532,464
گلستان,تركمن,مركزئ,فراغي,محمد آبادشمالي,56,194,103,91
گلستان,تركمن,مركزئ,فراغي,خمبرآباد,64,229,108,121
گلستان,تركمن,مركزئ,بندرتركمن,                                                                                                                                                                                                        ,"14,512","53,970","27,209","26,761"
گلستان,تركمن,سيجوال,                                                                                                    ,                                                                                                                                                                                                        ,"3,559","13,458","6,714","6,744"
گلستان,تركمن,سيجوال,قره سو غربي,                                                                                                                                                                                                        ,"2,054","7,816","3,906","3,910"
گلستان,تركمن,سيجوال,قره سو غربي,سيجوال,976,"3,747","1,846","1,901"
گلستان,تركمن,سيجوال,قره سو غربي,نياز آباد,578,"2,226","1,123","1,103"
گلستان,تركمن,سيجوال,قره سو غربي,قره سو,500,"1,843",937,906
گلستان,تركمن,سيجوال,قره سو شرقي,                                                                                                                                                                                                        ,"1,505","5,642","2,808","2,834"
گلستان,تركمن,سيجوال,قره سو شرقي,قره تپه,281,982,493,489
گلستان,تركمن,سيجوال,قره سو شرقي,پيخي حاجي,118,483,253,230
گلستان,تركمن,سيجوال,قره سو شرقي,صفرحاجي,91,352,181,171
گلستان,تركمن,سيجوال,قره سو شرقي,آنه حاجي,59,198,98,100
گلستان,تركمن,سيجوال,قره سو شرقي,قره قاشلي,677,"2,731","1,357","1,374"
گلستان,تركمن,سيجوال,قره سو شرقي,ايوان اباد,86,252,119,133
گلستان,تركمن,سيجوال,قره سو شرقي,زابلي محله عليا,96,319,145,174
گلستان,تركمن,سيجوال,قره سو شرقي,زابلي محله سفلي,91,304,149,155
گلستان,تركمن,سيجوال,قره سو شرقي,آشورآباد,6,21,13,8
گلستان,علي آباد,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"42,725","140,709","70,385","70,324"
گلستان,علي آباد,مركزئ,                                                                                                    ,                                                                                                                                                                                                        ,"30,060","97,957","48,786","49,171"
گلستان,علي آباد,مركزئ,كتول,                                                                                                                                                                                                        ,"7,801","26,732","13,408","13,324"
گلستان,علي آباد,مركزئ,كتول,حسن طبيب,419,"1,510",734,776
گلستان,علي آباد,مركزئ,كتول,اودك دوجي,746,"2,691","1,354","1,337"
گلستان,علي آباد,مركزئ,كتول,بلوك غلام,75,242,111,131
گلستان,علي آباد,مركزئ,كتول,حاجي اباد,103,317,163,154
گلستان,علي آباد,مركزئ,كتول,امام ابادسيستانيها,91,303,157,146
گلستان,علي آباد,مركزئ,كتول,باغه شورتپه نفس,117,409,201,208
گلستان,علي آباد,مركزئ,كتول,بهلكه نفس,196,698,342,356
گلستان,علي آباد,مركزئ,كتول,خاتم اباد,73,255,135,120
گلستان,علي آباد,مركزئ,كتول,بدراق انه گلدي,119,446,225,221
گلستان,علي آباد,مركزئ,كتول,بدراق نوري,623,"2,283","1,135","1,148"
گلستان,علي آباد,مركزئ,كتول,عرفان اباد,323,"1,163",619,544
گلستان,علي آباد,مركزئ,كتول,بلوچ اباد,193,670,325,345
گلستان,علي آباد,مركزئ,كتول,كوچك استاجيق,676,"2,320","1,179","1,141"
گلستان,علي آباد,مركزئ,كتول,الوستان,123,367,183,184
گلستان,علي آباد,مركزئ,كتول,قوش كرپي,175,582,306,276
گلستان,علي آباد,مركزئ,كتول,اسلام آباد مزرعه 2,93,291,149,142
گلستان,علي آباد,مركزئ,كتول,كوچك نظرخاني,516,"1,881",930,951
گلستان,علي آباد,مركزئ,كتول,معصوم آباد فندرسك,236,748,370,378
گلستان,علي آباد,مركزئ,كتول,زابلي محله ماهستان,154,559,293,266
گلستان,علي آباد,مركزئ,كتول,اميرابادفندرسك,78,233,125,108
گلستان,علي آباد,مركزئ,كتول,اسلام ابادفندرسك,70,206,104,102
گلستان,علي آباد,مركزئ,كتول,حاجي كلاته,471,"1,473",742,731
گلستان,علي آباد,مركزئ,كتول,نصرت اباد,170,546,274,272
گلستان,علي آباد,مركزئ,كتول,پيچك محله,804,"2,503","1,242","1,261"
گلستان,علي آباد,مركزئ,كتول,اسلام آباد مزرعه 1,376,"1,426",694,732
گلستان,علي آباد,مركزئ,كتول,حكيم اباد,571,"1,901",959,942
گلستان,علي آباد,مركزئ,كتول,ساوركلاته,125,402,202,200
گلستان,علي آباد,مركزئ,كتول,حسين اباد,85,307,155,152
گلستان,علي آباد,مركزئ,زرين گل,                                                                                                                                                                                                        ,"2,997","10,175","5,065","5,110"
گلستان,علي آباد,مركزئ,زرين گل,الازمن,217,704,347,357
گلستان,علي آباد,مركزئ,زرين گل,شهرک صنعتي علي آباد,10,33,21,12
گلستان,علي آباد,مركزئ,زرين گل,اميرابادسرخ محله,693,"2,843","1,429","1,414"
گلستان,علي آباد,مركزئ,زرين گل,زرين گل,194,612,307,305
گلستان,علي آباد,مركزئ,زرين گل,مهدي اباد,860,"2,848","1,408","1,440"
گلستان,علي آباد,مركزئ,زرين گل,ايستگاه چوببري,0,0,0,0
گلستان,علي آباد,مركزئ,زرين گل,چينو,33,98,52,46
گلستان,علي آباد,مركزئ,زرين گل,خاكپيرزن,55,180,84,96
گلستان,علي آباد,مركزئ,زرين گل,ميان رستاق,48,144,82,62
گلستان,علي آباد,مركزئ,زرين گل,افراتخته,67,224,115,109
گلستان,علي آباد,مركزئ,زرين گل,سياه رودبار,98,295,150,145
گلستان,علي آباد,مركزئ,زرين گل,شيرين اباد,162,443,222,221
گلستان,علي آباد,مركزئ,زرين گل,پرديس سياه رودبار,*         ,*         ,*         ,*         
گلستان,علي آباد,مركزئ,زرين گل,كرداباد,558,"1,745",845,900
گلستان,علي آباد,مركزئ,علي اباد,                                                                                                                                                                                                        ,"16,655","52,838","26,213","26,625"
گلستان,علي آباد,مركزئ,مزرعه,                                                                                                                                                                                                        ,"1,352","4,009","2,011","1,998"
گلستان,علي آباد,مركزئ,سنگدوين,                                                                                                                                                                                                        ,"1,255","4,203","2,089","2,114"
گلستان,علي آباد,كمالان,                                                                                                    ,                                                                                                                                                                                                        ,"12,664","42,751","21,598","21,153"
گلستان,علي آباد,كمالان,استرآباد,                                                                                                                                                                                                        ,"2,896","9,170","4,631","4,539"
گلستان,علي آباد,كمالان,استرآباد,الستان,40,116,50,66
گلستان,علي آباد,كمالان,استرآباد,الامن,55,153,73,80
گلستان,علي آباد,كمالان,استرآباد,غَريب آباد,11,29,15,14
گلستان,علي آباد,كمالان,استرآباد,چلي سفلي,9,33,18,15
گلستان,علي آباد,كمالان,استرآباد,چلي عليا,21,60,30,30
گلستان,علي آباد,كمالان,استرآباد,چه جا,16,36,16,20
گلستان,علي آباد,كمالان,استرآباد,خولين دره,11,31,15,16
گلستان,علي آباد,كمالان,استرآباد,ريگ چشمه,13,42,18,24
گلستان,علي آباد,كمالان,استرآباد,سياه مرزكوه,21,51,31,20
گلستان,علي آباد,كمالان,استرآباد,طاوير,18,60,38,22
گلستان,علي آباد,كمالان,استرآباد,عباس اباد,199,620,310,310
گلستان,علي آباد,كمالان,استرآباد,گنو,27,85,46,39
گلستان,علي آباد,كمالان,استرآباد,ماهيان,31,98,55,43
گلستان,علي آباد,كمالان,استرآباد,نرسو,13,41,25,16
گلستان,علي آباد,كمالان,استرآباد,وسي سر,18,49,25,24
