Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
خراسان شمالي,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"254,747","863,092","433,633","429,459"
خراسان شمالي,اسفراين,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"36,519","120,513","60,334","60,179"
خراسان شمالي,اسفراين,بام وصفي آباد,                                                                                                    ,                                                                                                                                                                                                        ,"5,642","16,887","8,140","8,747"
خراسان شمالي,اسفراين,بام وصفي آباد,بام,                                                                                                                                                                                                        ,"2,524","6,902","3,278","3,624"
خراسان شمالي,اسفراين,بام وصفي آباد,بام,كلاته بام,72,168,78,90
خراسان شمالي,اسفراين,بام وصفي آباد,بام,اق قلعه,77,219,104,115
خراسان شمالي,اسفراين,بام وصفي آباد,بام,غوزه زن /گيوه جان /,45,149,77,72
خراسان شمالي,اسفراين,بام وصفي آباد,بام,ديواني,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,عنبراباد,38,98,43,55
خراسان شمالي,اسفراين,بام وصفي آباد,بام,فتح اباد,54,151,68,83
خراسان شمالي,اسفراين,بام وصفي آباد,بام,قوچقر,20,43,21,22
خراسان شمالي,اسفراين,بام وصفي آباد,بام,كلاته سراب,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,گروانگو,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,نورقاب,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,كورنان,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,نوده بام,322,825,382,443
خراسان شمالي,اسفراين,بام وصفي آباد,بام,اغش /اقج /,61,143,63,80
خراسان شمالي,اسفراين,بام وصفي آباد,بام,بيش اباد,49,112,54,58
خراسان شمالي,اسفراين,بام وصفي آباد,بام,خرگلي,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,دره محموداباد,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,قارضي كرجي,134,366,176,190
خراسان شمالي,اسفراين,بام وصفي آباد,بام,تارخه,50,128,60,68
خراسان شمالي,اسفراين,بام وصفي آباد,بام,رنداباد,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,اردين,106,267,126,141
خراسان شمالي,اسفراين,بام وصفي آباد,بام,اسفنج,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,بام,492,"1,368",607,761
خراسان شمالي,اسفراين,بام وصفي آباد,بام,عيسي باغ,22,45,17,28
خراسان شمالي,اسفراين,بام وصفي آباد,بام,كوشكندر,61,138,58,80
خراسان شمالي,اسفراين,بام وصفي آباد,بام,مرواري چاه,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,ناوق عليا,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,امام زاده سلطان مصيب,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,بكراباد,61,169,83,86
خراسان شمالي,اسفراين,بام وصفي آباد,بام,چهارمست/ چهارفصل /,26,80,35,45
خراسان شمالي,اسفراين,بام وصفي آباد,بام,دستجرد,174,463,231,232
خراسان شمالي,اسفراين,بام وصفي آباد,بام,زالي,21,56,25,31
خراسان شمالي,اسفراين,بام وصفي آباد,بام,كاريزدر,54,145,80,65
خراسان شمالي,اسفراين,بام وصفي آباد,بام,ناوق سفلي,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,داشخانه,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,تي جي ري سفلي,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,تي جي ري عليا,0,0,0,0
خراسان شمالي,اسفراين,بام وصفي آباد,بام,دهنه اجاق,345,"1,046",529,517
خراسان شمالي,اسفراين,بام وصفي آباد,بام,باباقدرت,*         ,*         ,*         ,*         
