Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
خراسان جنوبي,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"223,984","768,898","389,917","378,981"
خراسان جنوبي,بيرجند,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"74,657","261,324","132,182","129,142"
خراسان جنوبي,بيرجند,مركزئ,                                                                                                    ,                                                                                                                                                                                                        ,"74,657","261,324","132,182","129,142"
خراسان جنوبي,بيرجند,مركزئ,القورات,                                                                                                                                                                                                        ,"3,159","9,479","4,690","4,789"
خراسان جنوبي,بيرجند,مركزئ,القورات,چشمه موليد,21,61,31,30
خراسان جنوبي,بيرجند,مركزئ,القورات,موليد,30,59,31,28
خراسان جنوبي,بيرجند,مركزئ,القورات,سراسياب,6,10,5,5
خراسان جنوبي,بيرجند,مركزئ,القورات,روبخت,45,113,57,56
خراسان جنوبي,بيرجند,مركزئ,القورات,خنگ,128,353,175,178
خراسان جنوبي,بيرجند,مركزئ,القورات,نوده,51,118,53,65
خراسان جنوبي,بيرجند,مركزئ,القورات,مزداب,144,356,168,188
خراسان جنوبي,بيرجند,مركزئ,القورات,اسماعيل اباد,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,گلون اباد,56,126,59,67
خراسان جنوبي,بيرجند,مركزئ,القورات,ماهوسك,28,59,32,27
خراسان جنوبي,بيرجند,مركزئ,القورات,ماهوك,23,62,31,31
خراسان جنوبي,بيرجند,مركزئ,القورات,سرحد,29,87,40,47
خراسان جنوبي,بيرجند,مركزئ,القورات,اسو,184,538,255,283
خراسان جنوبي,بيرجند,مركزئ,القورات,نقنج,123,296,139,157
خراسان جنوبي,بيرجند,مركزئ,القورات,بلنجاب,52,139,68,71
خراسان جنوبي,بيرجند,مركزئ,القورات,بيدسك,29,71,34,37
خراسان جنوبي,بيرجند,مركزئ,القورات,سمائ,7,18,8,10
خراسان جنوبي,بيرجند,مركزئ,القورات,صدگل,28,75,35,40
خراسان جنوبي,بيرجند,مركزئ,القورات,طورمان,54,144,61,83
خراسان جنوبي,بيرجند,مركزئ,القورات,مروك,18,49,23,26
خراسان جنوبي,بيرجند,مركزئ,القورات,هادربادعليا,20,51,21,30
خراسان جنوبي,بيرجند,مركزئ,القورات,النگ,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,يهن,24,45,23,22
خراسان جنوبي,بيرجند,مركزئ,القورات,پيشكوه عليا,5,20,9,11
خراسان جنوبي,بيرجند,مركزئ,القورات,دل اباد,100,254,123,131
خراسان جنوبي,بيرجند,مركزئ,القورات,ذغال در,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,ساقي,101,226,113,113
خراسان جنوبي,بيرجند,مركزئ,القورات,فلارگ,52,124,65,59
خراسان جنوبي,بيرجند,مركزئ,القورات,كلاج درگ,6,10,4,6
خراسان جنوبي,بيرجند,مركزئ,القورات,ماسن,47,144,79,65
خراسان جنوبي,بيرجند,مركزئ,القورات,مرغزار,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,نوخان,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,نوگيدر,34,89,41,48
خراسان جنوبي,بيرجند,مركزئ,القورات,غيوك,58,145,64,81
خراسان جنوبي,بيرجند,مركزئ,القورات,ارويز,38,100,48,52
خراسان جنوبي,بيرجند,مركزئ,القورات,القور,31,86,43,43
خراسان جنوبي,بيرجند,مركزئ,القورات,النگي,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,برج زياد,27,66,28,38
خراسان جنوبي,بيرجند,مركزئ,القورات,بزقنج,33,94,43,51
خراسان جنوبي,بيرجند,مركزئ,القورات,پسوج/ پسوچ /,23,56,27,29
خراسان جنوبي,بيرجند,مركزئ,القورات,پيرانج,32,97,47,50
خراسان جنوبي,بيرجند,مركزئ,القورات,خونيك,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,دره گزان سفلي,46,123,57,66
خراسان جنوبي,بيرجند,مركزئ,القورات,سنگ اباد,21,74,33,41
خراسان جنوبي,بيرجند,مركزئ,القورات,كوشك,66,198,103,95
خراسان جنوبي,بيرجند,مركزئ,القورات,مافريز,52,154,77,77
خراسان جنوبي,بيرجند,مركزئ,القورات,موگرد,*         ,*         ,*         ,*         
خراسان جنوبي,بيرجند,مركزئ,القورات,اشتك,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,راهدارخانه,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,اغلدر,8,20,12,8
خراسان جنوبي,بيرجند,مركزئ,القورات,پگان,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,جمال الدين,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,حاجي اباد,38,109,53,56
خراسان جنوبي,بيرجند,مركزئ,القورات,زيراج,30,81,37,44
خراسان جنوبي,بيرجند,مركزئ,القورات,شارقنج,23,42,19,23
خراسان جنوبي,بيرجند,مركزئ,القورات,كورگزبالا,*         ,*         ,*         ,*         
خراسان جنوبي,بيرجند,مركزئ,القورات,كورگزپائين,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,مياباد/مهياباد/,28,69,30,39
خراسان جنوبي,بيرجند,مركزئ,القورات,مرقچ,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,تنگل بالا,15,57,35,22
خراسان جنوبي,بيرجند,مركزئ,القورات,اسياب خيراباد,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,شريف اباد/  اشكمبراباد/,50,183,100,83
خراسان جنوبي,بيرجند,مركزئ,القورات,ساختمان پليس راه,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,شكرانه /شكراب پايين,92,302,147,155
خراسان جنوبي,بيرجند,مركزئ,القورات,كريم اباد,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,كلاته بجدي,87,316,169,147
خراسان جنوبي,بيرجند,مركزئ,القورات,معدن سنگ مرك,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,کلاته داروغه,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,كلاته نو,14,40,19,21
خراسان جنوبي,بيرجند,مركزئ,القورات,سنگبري كرماني,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,القورات,دستگرد,898,"3,365","1,712","1,653"
خراسان جنوبي,بيرجند,مركزئ,شاخنات,                                                                                                                                                                                                        ,942,"2,594","1,237","1,357"
خراسان جنوبي,بيرجند,مركزئ,شاخنات,اسنان,65,175,81,94
خراسان جنوبي,بيرجند,مركزئ,شاخنات,اوجاد,43,81,43,38
خراسان جنوبي,بيرجند,مركزئ,شاخنات,دارج,70,211,111,100
خراسان جنوبي,بيرجند,مركزئ,شاخنات,بيدخت,56,140,59,81
خراسان جنوبي,بيرجند,مركزئ,شاخنات,رزوك,4,12,4,8
خراسان جنوبي,بيرجند,مركزئ,شاخنات,رهنيچ,20,47,22,25
خراسان جنوبي,بيرجند,مركزئ,شاخنات,ساقدر,40,84,38,46
خراسان جنوبي,بيرجند,مركزئ,شاخنات,كرشكك,0,0,0,0
خراسان جنوبي,بيرجند,مركزئ,شاخنات,نوغاب چيك,41,92,42,50
خراسان جنوبي,بيرجند,مركزئ,شاخنات,نويك,20,43,18,25
خراسان جنوبي,بيرجند,مركزئ,شاخنات,ورقنه,38,96,54,42
خراسان جنوبي,بيرجند,مركزئ,شاخنات,بويك وسطي,99,237,105,132
خراسان جنوبي,بيرجند,مركزئ,شاخنات,گازار,224,622,337,285
خراسان جنوبي,بيرجند,مركزئ,شاخنات,جليل اباد,*         ,*         ,*         ,*         
خراسان جنوبي,بيرجند,مركزئ,شاخنات,مهموئي,221,750,321,429
خراسان جنوبي,بيرجند,مركزئ,فشارود,                                                                                                                                                                                                        ,884,"2,435","1,184","1,251"
خراسان جنوبي,بيرجند,مركزئ,فشارود,افكشت,34,118,55,63
خراسان جنوبي,بيرجند,مركزئ,فشارود,تاج كوه,35,109,56,53
خراسان جنوبي,بيرجند,مركزئ,فشارود,چاه زرد,33,91,44,47
خراسان جنوبي,بيرجند,مركزئ,فشارود,حصارسنگي,97,275,131,144
خراسان جنوبي,بيرجند,مركزئ,فشارود,خدادادگان,*         ,*         ,*         ,*         
خراسان جنوبي,بيرجند,مركزئ,فشارود,دهنه,4,13,7,6
