Ostan,Shahrestan,Bakhsh,Shahr,Abadi,Family,Population,Male,Female
البرز,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"856,116","2,712,400","1,376,335","1,336,065"
البرز,کرج,                                                                                                    ,                                                                                                    ,                                                                                                                                                                                                        ,"623,801","1,973,470","999,790","973,680"
البرز,کرج,مرکزي,                                                                                                    ,                                                                                                                                                                                                        ,"617,773","1,956,267","990,891","965,376"
البرز,کرج,مرکزي,گرمدره,                                                                                                                                                                                                        ,75,221,119,102
البرز,کرج,مرکزي,گرمدره,فرماندهي مرکز آموزش محمد رسول الله,0,0,0,0
البرز,کرج,مرکزي,گرمدره,باغ پير,33,94,49,45
البرز,کرج,مرکزي,گرمدره,قلعه عبدالله خان,*         ,*         ,*         ,*         
البرز,کرج,مرکزي,گرمدره,شهرک طالقاني,35,111,58,53
البرز,کرج,مرکزي,گرمدره,انستيتوپاستور,0,0,0,0
البرز,کرج,مرکزي,گرمدره,پادگان شهيدميثمي,0,0,0,0
البرز,کرج,مرکزي,گرمدره,پادگان قديروفجرسپاه,0,0,0,0
البرز,کرج,مرکزي,گرمدره,پادگان امام سجاد,0,0,0,0
البرز,کرج,مرکزي,گرمدره,سايت رادارنهاجا,0,0,0,0
البرز,کرج,مرکزي,گرمدره,اسفالت ران,0,0,0,0
البرز,کرج,مرکزي,گرمدره,کارخانه اسفالت پاراديس,0,0,0,0
البرز,کرج,مرکزي,گرمدره,مرکز آموزش نظامي مدرس,0,0,0,0
البرز,کرج,مرکزي,گرمدره,مزرعه کاظم اباد,5,9,7,2
البرز,کرج,مرکزي,محمدآباد,                                                                                                                                                                                                        ,"2,293","11,939","8,312","3,627"
البرز,کرج,مرکزي,محمدآباد,علي ابادگونه,"1,015","3,256","1,699","1,557"
البرز,کرج,مرکزي,محمدآباد,فرودگاه پيام /مجتمع مخابراتي 13ابان /,0,0,0,0
البرز,کرج,مرکزي,محمدآباد,مرکزسنجش ازدورايران,0,0,0,0
البرز,کرج,مرکزي,محمدآباد,دامداري برادران جمالي,0,0,0,0
البرز,کرج,مرکزي,محمدآباد,مرغداري دکترسليماني /مرغداري مرغبان,0,0,0,0
البرز,کرج,مرکزي,محمدآباد,قزل حصار,*         ,*         ,*         ,*         
البرز,کرج,مرکزي,محمدآباد,خدايارخان,0,0,0,0
البرز,کرج,مرکزي,محمدآباد,گلستانک,539,"1,827",930,897
البرز,کرج,مرکزي,محمدآباد,مرکزتحقيقات منطقه البرز,0,0,0,0
البرز,کرج,مرکزي,محمدآباد,شهرک اصلاح وتهيه نهال وبذر,622,"2,001","1,016",985
البرز,کرج,مرکزي,محمدآباد,پلي کلينيک دامپزشکي,0,0,0,0
البرز,کرج,مرکزي,محمدآباد,نهالستان کرج,0,0,0,0
البرز,کرج,مرکزي,محمدآباد,قلعه روستايي,115,365,181,184
البرز,کرج,مرکزي,کمال آباد,                                                                                                                                                                                                        ,"1,636","4,892","2,549","2,343"
البرز,کرج,مرکزي,کمال آباد,محموداباد,"1,254","3,817","1,959","1,858"
البرز,کرج,مرکزي,کمال آباد,خوارس,5,6,5,1
البرز,کرج,مرکزي,کمال آباد,دروان,64,182,96,86
البرز,کرج,مرکزي,کمال آباد,هلجرد,5,20,12,8
البرز,کرج,مرکزي,کمال آباد,اتشگاه,108,300,166,134
البرز,کرج,مرکزي,کمال آباد,سياه کلان,200,567,311,256
البرز,کرج,مرکزي,کرج,                                                                                                                                                                                                        ,"508,420","1,592,492","802,398","790,094"
البرز,کرج,مرکزي,ماهدشت,                                                                                                                                                                                                        ,"19,147","62,910","32,297","30,613"
البرز,کرج,مرکزي,کمال شهر,                                                                                                                                                                                                        ,"43,171","141,669","72,661","69,008"
البرز,کرج,مرکزي,محمدشهر,                                                                                                                                                                                                        ,"35,902","119,418","60,988","58,430"
البرز,کرج,مرکزي,کرج 1,                                                                                                                                                                                                        ,"42,052","132,269","65,540","66,729"
البرز,کرج,مرکزي,کرج 2,                                                                                                                                                                                                        ,"36,600","113,729","57,193","56,536"
البرز,کرج,مرکزي,کرج 4,                                                                                                                                                                                                        ,"40,432","124,175","62,445","61,730"
البرز,کرج,مرکزي,کرج 5,                                                                                                                                                                                                        ,"68,578","211,627","105,240","106,387"
البرز,کرج,مرکزي,کرج 6,                                                                                                                                                                                                        ,"75,127","235,718","117,585","118,133"
البرز,کرج,مرکزي,کرج 7,                                                                                                                                                                                                        ,"50,143","168,034","89,691","78,343"
البرز,کرج,مرکزي,کرج 8,                                                                                                                                                                                                        ,"41,774","127,866","62,935","64,931"
البرز,کرج,مرکزي,کرج 9,                                                                                                                                                                                                        ,"31,412","95,189","46,901","48,288"
البرز,کرج,مرکزي,کرج 10,                                                                                                                                                                                                        ,"67,632","214,076","108,966","105,110"
البرز,کرج,مرکزي,گرمدره,                                                                                                                                                                                                        ,"7,129","22,726","11,567","11,159"
البرز,کرج,مرکزي,کرج 11,                                                                                                                                                                                                        ,"22,564","72,128","37,054","35,074"
البرز,کرج,مرکزي,کرج 12,                                                                                                                                                                                                        ,"32,106","97,681","48,848","48,833"
البرز,کرج,آسارا,                                                                                                    ,                                                                                                                                                                                                        ,"5,977","17,150","8,853","8,297"
البرز,کرج,آسارا,آدران,                                                                                                                                                                                                        ,"2,743","7,679","3,957","3,722"
