ostan,shahrestan,bakhsh,fam,pop,m,f,lat,lon
مرکزي,اراک,مرکزي,179582,565357,286833,278524,35.9929045,52.94912620817931
مرکزي,اراک,ساروق,3373,10491,5318,5173,34.3918838,49.4278054676798
مرکزي,اراک,معصوميه,5207,15889,8076,7813,34.14869125,50.111871225
مرکزي,آشتيان,مرکزي,5582,16357,8238,8119,35.9929045,52.94912620817931
مرکزي,تفرش,مرکزي,8588,24913,12390,12523,35.9929045,52.94912620817931
مرکزي,خمين,مرکزي,30913,94109,47478,46631,35.9929045,52.94912620817931
مرکزي,خمين,کمره,3698,10908,5498,5410,33.669786200000004,49.83327709944115
مرکزي,دليجان,مرکزي,16453,51621,26372,25249,35.9929045,52.94912620817931
مرکزي,ساوه,مرکزي,78635,259354,132786,126568,35.9929045,52.94912620817931
مرکزي,ساوه,نوبران,8807,24182,12083,12099,35.155515550000004,49.742173441379194
مرکزي,شازند,مرکزي,14992,45840,22946,22894,35.9929045,52.94912620817931
مرکزي,شازند,سربند,3520,10214,5034,5180,33.7527063,49.184466860488065
مرکزي,شازند,زاليان,13766,43398,21975,21423,34.0192695,49.28770244010844
مرکزي,شازند,قره کهريز,5936,18119,9183,8936,33.84375135,49.56599155239988
مرکزي,محلات,مرکزي,18436,55342,28063,27279,35.9929045,52.94912620817931
مرکزي,زرنديه,خرقان,3389,10055,5064,4991,35.37303635,49.85814187943611
مرکزي,زرنديه,مرکزي,17094,53852,27393,26459,35.9929045,52.94912620817931
مرکزي,کميجان,مرکزي,6787,21186,10589,10597,35.9929045,52.94912620817931
مرکزي,کميجان,ميلاجرد,4552,15255,7896,7359,34.7087011,49.19488483605127
مرکزي,خنداب,قره چاي,9682,29872,15250,14622,34.2528523,49.32457648295892
مرکزي,خنداب,مرکزي,7110,24146,12612,11534,35.9929045,52.94912620817931
مرکزي,فراهان,مرکزي,5685,16237,8138,8099,35.9929045,52.94912620817931
مرکزي,فراهان,خنجين,4059,12757,6516,6241,34.7699461,49.54680082672588
گيلان,آستارا,مركزئ,21920,68443,34433,34010,34.9970417,50.289292719649126
گيلان,آستارا,لوندويل,6822,22814,11425,11389,38.304666600000004,48.92446824975918
گيلان,آستانه اشرفيه,كياشهر,11999,33085,16750,16335,#,#
گيلان,آستانه اشرفيه,مركزئ,26825,75045,37617,37428,34.9970417,50.289292719649126
گيلان,بندرانزلي,مركزئ,48192,139015,69227,69788,34.9970417,50.289292719649126
گيلان,طوالش,مركزئ,29589,97982,49382,48600,34.9970417,50.289292719649126
گيلان,طوالش,کرگانرود,8459,26508,13278,13230,#,#
گيلان,طوالش,اسالم,13078,42219,21257,20962,37.65446815,48.82007148116358
گيلان,طوالش,حويق,9929,33940,17305,16635,38.183932299999995,48.902675364252474
گيلان,رشت,خمام,18948,54860,27812,27048,37.43307425,49.634237317611486
گيلان,رشت,سنگر,19319,57303,29005,28298,37.14334705,49.700664924750235
گيلان,رشت,كوچصفهان,16074,45823,23130,22693,#,#
گيلان,رشت,لشت نشاء,11479,31894,16123,15771,37.425716300000005,49.86381729343506
گيلان,رشت,مركزئ,246759,740985,369424,371561,34.9970417,50.289292719649126
گيلان,رشت,خشكبيجار,9122,26102,13180,12922,#,#
گيلان,رودبار,رحمت آبادوبلوكات,5041,14891,7403,7488,#,#
گيلان,رودبار,عمارلو,2589,7208,3597,3611,36.68349215,49.92109397350435
گيلان,رودبار,مركزئ,20167,63336,32338,30998,34.9970417,50.289292719649126
گيلان,رودبار,خورگام,3348,9284,4597,4687,36.8055373,49.74609190046196
گيلان,رودسر,رحيم آباد,10304,30166,15158,15008,36.8299275,50.27893958326378
گيلان,رودسر,مركزئ,20772,58592,29292,29300,34.9970417,50.289292719649126
گيلان,رودسر,چابكسر,8662,25004,12577,12427,#,#
گيلان,رودسر,كلاچائ,11847,33636,16683,16953,#,#
گيلان,صومعه سرا,تولم,8769,25791,12980,12811,37.33103305,49.43338893254916
گيلان,صومعه سرا,مركزئ,26192,78144,38928,39216,34.9970417,50.289292719649126
گيلان,صومعه سرا,ميرزاكوچك جنگلي,7014,21139,10409,10730,#,#
گيلان,فومن,مركزئ,27038,80120,40090,40030,34.9970417,50.289292719649126
گيلان,فومن,سردارجنگل,4169,12188,6037,6151,37.2166767,49.060923919029065
گيلان,لنگرود,مركزئ,35917,103282,51795,51487,34.9970417,50.289292719649126
گيلان,لنگرود,اطاقور,4577,12774,6486,6288,37.0437591,50.02808295134477
گيلان,لنگرود,كومله,8857,24630,12394,12236,#,#
گيلان,لاهيجان,مركزئ,49729,144292,72338,71954,34.9970417,50.289292719649126
گيلان,لاهيجان,رودبنه,8649,23252,11857,11395,37.33601835,50.20712433849101
گيلان,شفت,احمدسرگوراب,7472,21823,10972,10851,37.135167550000006,49.37290005139745
گيلان,شفت,مركزئ,10944,32403,16240,16163,34.9970417,50.289292719649126
گيلان,املش,رانكوه,5357,14804,7494,7310,#,#
