ostan,shahrestan,bakhsh,shahr,district,fam,pop,m,f,lat,lon
مرکزي,اراک,مرکزي,اراک,1,31781,99398,49657,49741,34.0910893,49.736975
مرکزي,اراک,مرکزي,اراک,2,34125,103525,51327,52198,34.0743638,49.6903038
مرکزي,اراک,مرکزي,اراک,3,33936,109730,55502,54228,34.0772103,49.6468487
مرکزي,اراک,مرکزي,اراک,4,33143,103622,52552,51070,34.1053422,49.6782122
مرکزي,اراک,مرکزي,اراک,5,32724,104669,54105,50564,34.1098233,49.7035649
گيلان,رشت,مرکزئ,رشت,1,57155,167304,81562,85742,37.305415,49.581012
گيلان,رشت,مرکزئ,رشت,2,30225,86358,41713,44645,37.273893,49.586375
گيلان,رشت,مرکزئ,رشت,3,50266,148955,74485,74470,37.271542,49.619666
گيلان,رشت,مرکزئ,رشت,4,63661,194227,97166,97061,37.270451,49.529225
گيلان,رشت,مرکزئ,رشت,5,26835,83151,41387,41764,37.219700,49.634730
مازندران,سارئ,مرکزئ,ساري,1,34957,104873,51511,53362,36.557476,53.078892
مازندران,سارئ,مرکزئ,ساري,2,32790,98824,48784,50040,36.560440,53.058661
مازندران,سارئ,مرکزئ,ساري,3,34185,106123,53528,52595,36.539447,53.068599
آذربايجان شرقي,تبريز,مرکزي,تبريز,1,68898,218647,112628,106019,38.077200,46.311521
آذربايجان شرقي,تبريز,مرکزي,تبريز,2,62348,196507,96588,99919,38.055947,46.344994
آذربايجان شرقي,تبريز,مرکزي,تبريز,3,74267,229474,115934,113540,38.067454,46.255840
آذربايجان شرقي,تبريز,مرکزي,تبريز,4,102481,315183,158698,156485,38.076557,46.254213
آذربايجان شرقي,تبريز,مرکزي,تبريز,5,40273,126124,63484,62640,38.048792,46.366868
آذربايجان شرقي,تبريز,مرکزي,تبريز,6,31917,98910,50346,48564,38.086204,46.232163
آذربايجان شرقي,تبريز,مرکزي,تبريز,7,49419,155872,78930,76942,38.043623,46.191210
آذربايجان شرقي,تبريز,مرکزي,تبريز,8,10191,29384,14201,15183,38.081109,46.298423
آذربايجان شرقي,تبريز,مرکزي,تبريز,9,202,634,322,312,38.014272,46.423150
آذربايجان شرقي,تبريز,مرکزي,تبريز,10,57902,187958,95530,92428,38.111448,46.290836
آذربايجان غربي,اروميه,مرکزئ,اروميه,1,55456,174900,86953,87947,37.536228,45.056599
آذربايجان غربي,اروميه,مرکزئ,اروميه,2,60350,207453,105684,101769,37.560073,45.078367
آذربايجان غربي,اروميه,مرکزئ,اروميه,3,47132,164753,82726,82027,37.558008,45.051901
آذربايجان غربي,اروميه,مرکزئ,اروميه,4,42989,130262,65303,64959,37.552752,45.070465
آذربايجان غربي,اروميه,مرکزئ,اروميه,5,19123,58856,28377,30479,37.534659,45.045068
کرمانشاه,کرمانشاه,مرکزي,کرمانشاه,1,29487,93376,45244,48132,34.329601,47.079725
کرمانشاه,کرمانشاه,مرکزي,کرمانشاه,2,34727,120381,62443,57938,34.32874188150232,47.0579862052889
کرمانشاه,کرمانشاه,مرکزي,کرمانشاه,3,48917,166192,83647,82545,34.314692818888894,47.07269631324424
کرمانشاه,کرمانشاه,مرکزي,کرمانشاه,4,25035,75486,36896,38590,34.29393861982548,47.05454318256223
کرمانشاه,کرمانشاه,مرکزي,کرمانشاه,5,53418,173837,87365,86472,34.3818775147474,47.130990655575005
کرمانشاه,کرمانشاه,مرکزي,کرمانشاه,6,27907,93372,46703,46669,34.357534129498774,47.07328300422596
کرمانشاه,کرمانشاه,مرکزي,کرمانشاه,7,39144,131421,65523,65898,34.38099119839369,47.10379029421193
