ostan,shahrestan,bakhsh,shahr,fam,pop,m,f,lat,lon
مرکزي,اراک,مرکزي,امان آباد,1410,4108,2095,2013,34.0055317,49.9138051
مرکزي,اراک,مرکزي,اميريه,2367,7379,3718,3661,34.0901371,49.6926803
مرکزي,اراک,مرکزي,داودآباد,906,2748,1359,1389,34.2922268,49.8553198
مرکزي,اراک,مرکزي,سده,2773,8103,4053,4050,34.0215961,49.61369327917178
مرکزي,اراک,مرکزي,شمس آباد,1651,4922,2469,2453,33.8155472,49.7413767
مرکزي,اراک,مرکزي,مشهدميقان,2238,6963,3600,3363,#,#
مرکزي,اراک,مرکزي,حاجي آباد,704,4699,3613,1086,34.0738254,49.8240895
مرکزي,اراک,مرکزي,اراک,165709,520944,263143,257801,34.0865203,49.6888415
مرکزي,اراک,مرکزي,داودآباد,1824,5491,2783,2708,34.2922268,49.8553198
مرکزي,اراک,ساروق,ساروق,1973,6166,3123,3043,34.4133717,49.4960624
مرکزي,اراک,ساروق,مشهدالکوبه,933,2980,1523,1457,34.324391500000004,49.54644035556373
مرکزي,اراک,ساروق,ساروق,467,1345,672,673,34.4133717,49.4960624
مرکزي,اراک,معصوميه,معصوميه,1907,5697,2897,2800,34.08813725,49.90597911768508
مرکزي,اراک,معصوميه,مشک آباد,2172,6449,3301,3148,34.14869125,50.129998067064044
مرکزي,اراک,معصوميه,کارچان,1128,3743,1878,1865,34.1003203,49.9325663
مرکزي,آشتيان,مرکزي,سياوشان,722,1849,870,979,34.4471495,49.9929004
مرکزي,آشتيان,مرکزي,گرکان,959,2603,1317,1286,34.5514268,49.9610861
مرکزي,آشتيان,مرکزي,مزرعه نو,1113,3142,1548,1594,34.404972,50.1460629
مرکزي,آشتيان,مرکزي,آشتيان,2788,8763,4503,4260,34.5216784,50.0018687
مرکزي,تفرش,مرکزي,بازرجان,1313,3429,1681,1748,34.7828854,49.9266779
مرکزي,تفرش,مرکزي,رودبار,1161,3016,1525,1491,34.88815105,49.70040534585211
مرکزي,تفرش,مرکزي,خرازان,409,861,397,464,34.8262038,50.0701939589527
مرکزي,تفرش,مرکزي,کوه پناه,473,1114,561,553,34.6034223,49.8705925362314
مرکزي,تفرش,مرکزي,تفرش,5232,16493,8226,8267,34.6927402,50.0146963
مرکزي,خمين,مرکزي,آشناخور,1105,3626,1813,1813,33.463279,49.928251
مرکزي,خمين,مرکزي,حمزه لو,1213,3276,1696,1580,33.802569399999996,50.03733980677882
مرکزي,خمين,مرکزي,رستاق,1539,4436,2277,2159,33.5575587,50.031136230482716
مرکزي,خمين,مرکزي,صالحان,2361,6406,3207,3199,33.770622599999996,50.19880656281404
مرکزي,خمين,مرکزي,گله زن,1361,3483,1715,1768,33.63812325,50.28458979342398
مرکزي,خمين,مرکزي,خمين,23334,72882,36770,36112,33.627309600000004,50.08786920603542
مرکزي,خمين,کمره,چهارچشمه,1609,4646,2277,2369,33.637548,49.6620011
مرکزي,خمين,کمره,خرم دشت,1653,4888,2511,2377,#,#
مرکزي,خمين,کمره,قورچي باشي,436,1374,710,664,33.67494,49.8760505
مرکزي,دليجان,مرکزي,دودهک,1137,3494,1813,1681,34.1397195,50.5724111
مرکزي,دليجان,مرکزي,هستيجان,799,2021,1054,967,33.860551,50.7768007
مرکزي,دليجان,مرکزي,جاسب,527,1302,654,648,34.0840869,50.876939162447144
مرکزي,دليجان,مرکزي,جوشق,506,1310,650,660,34.0397854,51.018358
مرکزي,دليجان,مرکزي,دليجان,12612,40902,20880,20022,33.9880486,50.6862901
مرکزي,دليجان,مرکزي,نراق,872,2592,1321,1271,34.0096318,50.8402395
مرکزي,ساوه,مرکزي,شاهسونکندي,668,1781,930,851,35.0851001,50.016137615987546
مرکزي,ساوه,مرکزي,طرازناهيد,3320,12319,6369,5950,#,#
مرکزي,ساوه,مرکزي,قره چاي,1716,6056,3204,2852,34.9119772,50.3672504
