ostan,shahrestan,fam,pop,m,f,lat,lon
مرکزي,اراک,188180,591756,300245,291511,34.1435505,49.880639406774876
مرکزي,آشتيان,5582,16357,8238,8119,34.4406391,50.02094529822111
مرکزي,تفرش,8588,24913,12390,12523,34.7884236,49.89185004105268
مرکزي,خمين,34611,105017,52976,52041,33.6446965,50.0801376
مرکزي,دليجان,16453,51621,26372,25249,34.024671049999995,50.791462331429166
مرکزي,ساوه,87444,283538,144871,138667,35.0767671,50.08369776204522
مرکزي,شازند,38214,117571,59138,58433,33.9085387,49.319500814870736
مرکزي,محلات,18436,55342,28063,27279,33.9060573,50.4526427
مرکزي,زرنديه,20483,63907,32457,31450,35.3331485,50.29661239605119
مرکزي,کميجان,11339,36441,18485,17956,34.744939849999994,49.28823928642289
مرکزي,خنداب,16792,54018,27862,26156,34.38132915,49.14618441726515
مرکزي,فراهان,9744,28994,14654,14340,34.6213325,49.631180053816514
گيلان,آستارا,28742,91257,45858,45399,38.353680749999995,48.88664164712122
گيلان,آستانه اشرفيه,38824,108130,54367,53763,37.376031299999994,50.038094654217716
گيلان,بندرانزلي,48193,139016,69228,69788,37.4592329,49.523213
گيلان,طوالش,61055,200649,101222,99427,37.89906,48.827541055793816
گيلان,رشت,321703,956971,478678,478293,37.290428500000004,49.683288084940685
گيلان,رودبار,31146,94720,47936,46784,36.8229185,49.569371679805116
گيلان,رودسر,51586,147399,73711,73688,36.933458900000005,50.378020825996764
گيلان,صومعه سرا,41975,125074,62317,62757,37.378414,49.34687535515346
گيلان,فومن,31209,92310,46129,46181,37.174847299999996,49.139437164563105
گيلان,لنگرود,49351,140686,70675,70011,37.1546374,50.17146737763723
گيلان,لاهيجان,58378,167544,84195,83349,37.276083299999996,50.106852700756534
گيلان,شفت,18416,54226,27212,27014,37.1359852,49.42871629885583
گيلان,املش,15306,43225,21561,21664,36.95625975,50.11558942072554
گيلان,رضوانشهر,22246,69865,34974,34891,37.555438949999996,48.97976823970555
گيلان,سياهكل,16351,46975,23278,23697,36.9431978,49.873685491420375
گيلان,ماسال,16901,52649,26256,26393,37.3962676,48.990859340313825
مازندران,آمل,133034,401639,202502,199137,36.189526650000005,52.34879432184014
مازندران,بابل,174351,531930,267777,264153,36.24011285,52.64449387236175
مازندران,بهشهر,55140,168769,85319,83450,36.705140650000004,53.51690974869843
مازندران,تنكابن,56636,166132,83213,82919,36.840058549999995,50.83784316824561
مازندران,رامسر,25312,74179,37220,36959,36.80606005,50.56996583302315
مازندران,سارئ,165467,504298,253451,250847,36.43471825,53.17014066399264
مازندران,سوادکوه,14956,43913,22197,21716,36.08384165,52.96060599945773
مازندران,قائم شهر,102950,309199,155247,153952,36.4780534,52.87672186938974
مازندران,نور,39350,121531,61228,60303,36.369021149999995,52.045509846783126
مازندران,نوشهر,45759,138913,70275,68638,36.512615249999996,51.690953723866656
مازندران,بابلسر,44482,135191,67443,67748,36.72459035,52.71642803956658
مازندران,محمودآباد,32810,98407,50046,48361,36.6543295,52.31852593761212
مازندران,نكا,38178,119511,60094,59417,36.61451535,53.38213884519669
مازندران,چالوس,39105,116542,59097,57445,36.47110685,51.267617317973404
مازندران,جويبار,25278,77576,39390,38186,36.6400238,52.9100038
مازندران,گلوگاه,13147,40078,20249,19829,36.8302657,53.796981202260284
مازندران,فريدونکنار,20066,60031,30531,29500,36.68806265,52.53720663590585
مازندران,عباس آباد,17345,52832,26865,25967,36.68834175,51.17466439634302
مازندران,مياندورود,18253,55053,27647,27406,36.663060349999995,53.21220652205355
مازندران,سيمرغ,6636,19376,9751,9625,36.580518350000006,52.81598039658348
مازندران,سوادکوه شمالي,8476,24834,12475,12359,36.2531276,52.886813806768046
مازندران,کلاردشت,8067,23648,11981,11667,36.41013409999999,51.059321611785954
آذربايجان شرقي,اهر,46202,154530,77756,76774,38.5317068,47.13896670795512
