ostan,shahrestan,fam,pop,m,f,lat,lon
مرکزي,اراک,188180,591756,300245,291511,34.0865203,49.6888415
مرکزي,آشتيان,5582,16357,8238,8119,34.5216784,50.0018687
مرکزي,تفرش,8588,24913,12390,12523,34.6927402,50.0146963
مرکزي,خمين,34611,105017,52976,52041,31.5351472,49.9515693
مرکزي,دليجان,16453,51621,26372,25249,33.9880486,50.6862901
مرکزي,ساوه,87444,283538,144871,138667,35.0206133,50.3584834
مرکزي,شازند,38214,117571,59138,58433,33.9293155,49.4070049
مرکزي,محلات,18436,55342,28063,27279,13.95,45.616667
مرکزي,زرنديه,20483,63907,32457,31450,35.3643977,50.3429694
مرکزي,کميجان,11339,36441,18485,17956,34.7207822,49.3219622
مرکزي,خنداب,16792,54018,27862,26156,15.6569172,87.6379394
مرکزي,فراهان,9744,28994,14654,14340,34.6213325,49.631180053816514
گيلان,آستارا,28742,91257,45858,45399,38.4193239,48.8715278
گيلان,آستانه اشرفيه,38824,108130,54367,53763,37.2607374,49.9456642
گيلان,بندرانزلي,48193,139016,69228,69788,37.4592329,49.523213
گيلان,طوالش,61055,200649,101222,99427,37.89906,48.827541055793816
گيلان,رشت,321703,956971,478678,478293,37.2038369,49.563278
گيلان,رودبار,31146,94720,47936,46784,36.8219055,49.4268249
گيلان,رودسر,51586,147399,73711,73688,37.1381592,50.2927862
گيلان,صومعه سرا,41975,125074,62317,62757,37.301672,49.3147378
گيلان,فومن,31209,92310,46129,46181,37.2273234,49.3141954
گيلان,لنگرود,49351,140686,70675,70011,34.5275292,50.9793732
گيلان,لاهيجان,58378,167544,84195,83349,30.4538442,55.9088085
گيلان,شفت,18416,54226,27212,27014,37.1703562,49.4027782
گيلان,املش,15306,43225,21561,21664,37.0961905,50.1844452
گيلان,رضوانشهر,22246,69865,34974,34891,37.5479126,49.1395774
گيلان,سياهكل,16351,46975,23278,23697,37.1521893,49.8716407
گيلان,ماسال,16901,52649,26256,26393,37.3640801,49.1328792
مازندران,آمل,133034,401639,202502,199137,20.8114158,72.9560202
مازندران,بابل,174351,531930,267777,264153,32.6319335,44.5629362
مازندران,بهشهر,55140,168769,85319,83450,36.6911785,53.543415
مازندران,تنكابن,56636,166132,83213,82919,36.840058549999995,50.83784316824561
مازندران,رامسر,25312,74179,37220,36959,36.9225518,50.6431897
مازندران,سارئ,165467,504298,253451,250847,36.5659598,53.0587229
مازندران,سوادكوه,14956,43913,22197,21716,36.0187685,53.0445403
مازندران,قائم شهر,102950,309199,155247,153952,36.4636399,52.8579311
مازندران,نور,39350,121531,61228,60303,36.5732661,52.0101
مازندران,نوشهر,45759,138913,70275,68638,36.6508069,51.5034126
مازندران,بابلسر,44482,135191,67443,67748,36.7008777,52.6481047
مازندران,محمودآباد,32810,98407,50046,48361,37.3659163,45.130571
مازندران,نكا,38178,119511,60094,59417,31.9975683,-9.0360833
مازندران,چالوس,39105,116542,59097,57445,36.6506329,51.4223717
مازندران,جويبار,25278,77576,39390,38186,34.70424,69.2224038
مازندران,گلوگاه,13147,40078,20249,19829,36.7283914,53.8088538
مازندران,فريدونكنار,20066,60031,30531,29500,36.6858,52.5265
مازندران,عباس آباد,17345,52832,26865,25967,33.4133638,50.1003408
مازندران,مياندورود,18253,55053,27647,27406,36.663060349999995,53.21220652205355
مازندران,سيمرغ,6636,19376,9751,9625,36.580532,52.8097463
مازندران,سوادکوه شمالي,8476,24834,12475,12359,36.2531276,52.886813806768046
مازندران,کلاردشت,8067,23648,11981,11667,36.5055519,51.1587669
آذربايجان شرقي,اهر,46202,154530,77756,76774,38.4774934,47.0662215
آذربايجان شرقي,تبريز,563660,1773033,897157,875876,38.5509297,44.9633826
آذربايجان شرقي,سراب,38446,125341,64578,60763,37.9407851,47.5374867
آذربايجان شرقي,مراغه,80261,262604,133740,128864,37.3916705,46.2397524
آذربايجان شرقي,مرند,75711,244971,124646,120325,38.4306358,45.7741
آذربايجان شرقي,ميانه,57665,182848,94355,88493,37.4284538,47.7057976
آذربايجان شرقي,هشترود,17173,57199,29608,27591,37.4758937,47.0499618
آذربايجان شرقي,بناب,42325,134892,68457,66435,37.3386053,46.0592907
آذربايجان شرقي,بستان آباد,27647,94769,49047,45722,37.8429496,46.8339774
آذربايجان شرقي,شبستر,43982,135421,68050,67371,38.1783704,45.7002363
آذربايجان شرقي,کليبر,14145,46125,23545,22580,38.8653368,47.038217
آذربايجان شرقي,هريس,20639,69093,34722,34371,37.8264601,47.5151485
آذربايجان شرقي,جلفا,19443,61358,31562,29796,38.9376054,45.6252101
آذربايجان شرقي,ملکان,33598,111319,57666,53653,37.1429593,46.104082
آذربايجان شرقي,آذرشهر,35364,110311,56028,54283,37.7577189,45.9784018
آذربايجان شرقي,اسکو,50674,158270,80561,77709,37.9163003,46.1243894
آذربايجان شرقي,چاراويماق,9016,31071,15982,15089,37.055143599999994,47.14785118078131
آذربايجان شرقي,ورزقان,16273,52650,27001,25649,38.5087607,46.6487801
آذربايجان شرقي,عجب شير,20608,70852,38188,32664,37.4770929,45.8936922
آذربايجان شرقي,خداآفرين,10196,32995,16751,16244,39.08118775,46.94414641819588
آذربايجان غربي,اروميه,304306,1040565,527278,513287,35.6978905,51.3796759
آذربايجان غربي,پيرانشهر,34560,138864,70967,67897,36.6994559,45.140337
آذربايجان غربي,خوئ,101130,348664,176634,172030,38.5504343,44.95354
آذربايجان غربي,سردشت,31049,118849,60447,58402,36.1553184,45.4799637
آذربايجان غربي,سلماس,53907,196546,100817,95729,38.1969035,44.7685015
آذربايجان غربي,ماكو,27009,94751,48623,46128,13.5102105,22.6742679
آذربايجان غربي,مهاباد,65562,236849,119308,117541,33.5252176,52.2132573
آذربايجان غربي,مياندوآب,83234,273949,141296,132653,37.0085898,46.0550939
آذربايجان غربي,نقده,37481,127671,64587,63084,36.9555967,45.3878933
آذربايجان غربي,بوكان,74250,251409,127379,124030,35.3221017,45.6935321
آذربايجان غربي,شاهين دژ,27669,92456,46461,45995,36.6784386,46.5656627
آذربايجان غربي,تكاب,23482,80556,40235,40321,34.5764171,67.4973499
آذربايجان غربي,اشنويه,19336,73886,37188,36698,37.0418235,45.0983499
آذربايجان غربي,چالدران,11970,45060,23036,22024,39.0651269,44.3844026
آذربايجان غربي,پلدشت,11537,42170,21602,20568,39.3493344,45.0699174
آذربايجان غربي,چايپاره,13718,47292,24071,23221,37.0351416,47.81089266884206
آذربايجان غربي,شوط,15756,55682,28390,27292,39.2178874,44.7711898
کرمانشاه,اسلام آبادغرب,40911,140876,71369,69507,34.2930003,46.9378837
کرمانشاه,کرمانشاه,323291,1083833,548326,535507,34.3239414,47.0735891
کرمانشاه,پاوه,18471,60431,30459,29972,35.0458307,46.3622191
کرمانشاه,سرپل ذهاب,23696,85342,42874,42468,34.4607687,45.863763
کرمانشاه,سنقر,25554,81661,41185,40476,34.7832217,47.5988073
کرمانشاه,قصرشيرين,6903,23929,12747,11182,37.1509024,46.1094402
کرمانشاه,کنگاور,23253,76216,38417,37799,34.5051774,47.9658794
کرمانشاه,گيلانغرب,16570,57007,28830,28177,34.1411088,45.9140759
کرمانشاه,جوانرود,20592,75169,38294,36875,34.8039724,46.4920807
کرمانشاه,صحنه,21788,70757,35715,35042,34.4812132,47.6935934
کرمانشاه,هرسين,22506,78350,39544,38806,34.2721,47.5861
کرمانشاه,ثلاث باباجاني,9270,35219,17988,17231,34.7312742,46.1777575
کرمانشاه,دالاهو,10266,35987,17887,18100,34.2827909,46.2436869
کرمانشاه,روانسر,13790,47657,24380,23277,34.7161309,46.6508369
خوزستان,آبادان,85015,298090,149510,148580,30.3636097,48.2591475
خوزستان,انديمشک,48636,171412,87649,83763,32.458325,48.3521137
خوزستان,اهواز,362480,1302591,656830,645761,30.4046053,48.203769
خوزستان,ايذه,48682,198871,99521,99350,31.8303661,49.8685539
خوزستان,بندرماهشهر,81211,296271,149664,146607,30.5577268,49.1997454
خوزستان,بهبهان,51838,180593,91889,88704,30.5942065,50.2434128
خوزستان,خرمشهر,47380,170976,85245,85731,30.4333105,48.1779858
خوزستان,دزفول,125351,443971,229800,214171,32.3780257,48.4032064
